COVID-19 Vaccinations in the United States
Date generated: Sat Mar 06 2021 15:09:42 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Indian Health Svc,1123090,53922,N/A,620761,29804,617558,N/A,416618,20,414078,N/A,198047,9.5,197418,N/A
Illinois,4334465,34206,43987,3204414,25288,3202223,32497,2204820,17.4,2203119,22.4,984808,7.8,984349,10
Indiana,2191530,32553,42437,1748623,25974,1748295,33854,1079060,16,1078825,20.9,652106,9.7,652014,12.6
Kansas,1085815,37271,49064,683046,23446,682509,30840,475698,16.3,475329,21.5,237853,8.2,237671,10.7
Kentucky,1538415,34434,44401,1162694,26025,1162282,33545,789697,17.7,789351,22.8,397436,8.9,397349,11.5
Louisiana,1576670,33916,44274,1179138,25364,1178911,33105,740587,15.9,740404,20.8,418275,9,418237,11.7
Massachusetts,2476070,35924,44697,2005708,29100,2004222,36179,1379021,20,1377902,24.9,605400,8.8,605046,10.9
Maryland,2093170,34623,44432,1548380,25611,1547807,32855,1025554,17,1025117,21.8,568160,9.4,568006,12.1
Maine,503580,37463,45974,382117,28427,381951,34870,257677,19.2,257562,23.5,128080,9.5,128022,11.7
Marshall Islands,35000,59918,76818,12592,21557,12584,27620,9674,16.6,9665,21.2,2870,4.9,2869,6.3
Michigan,3290960,32953,41961,2555112,25585,2554528,32571,1644210,16.5,1643811,21,930381,9.3,930195,11.9
Minnesota,1952000,34612,45014,1562547,27707,1561759,36014,1043647,18.5,1043098,24.1,523861,9.3,523610,12.1
Missouri,2029675,33070,42579,1504236,24509,1503652,31544,945451,15.4,945028,19.8,493114,8,492987,10.3
Northern Mariana Islands,44010,77371,99193,19905,34993,19900,44852,11598,20.4,11594,26.1,8294,14.6,8293,18.7
Mississippi,1059665,35605,46526,710560,23875,710413,31192,463252,15.6,463147,20.3,251916,8.5,251876,11.1
Montana,404125,37812,48099,312296,29220,311970,37131,205372,19.2,205113,24.4,107265,10,107202,12.8
North Carolina,3529525,33653,43109,2680413,25557,2678717,32718,1706016,16.3,1704915,20.8,936887,8.9,936290,11.4
North Dakota,293900,38566,50508,255282,33499,255034,43828,158378,20.8,158195,27.2,86601,11.4,86548,14.9
Nebraska,709110,36658,48625,535213,27668,534747,36668,344129,17.8,343810,23.6,185032,9.6,184882,12.7
New Hampshire,482575,35491,43693,358497,26366,357884,32404,261912,19.3,261465,23.7,109525,8.1,109382,9.9
New Jersey,2938890,33087,42325,2403077,27055,2400522,34572,1661209,18.7,1659269,23.9,829628,9.3,829010,11.9
New Mexico,894645,42667,55191,765965,36530,763722,47115,502054,23.9,499943,30.8,272879,13,272348,16.8
Nevada,1018580,33069,42663,773285,25105,773063,32379,493295,16,493138,20.7,261159,8.5,261098,10.9
New York State,6849315,35209,44403,4864621,25006,4862406,31522,3155309,16.2,3153440,20.4,1604606,8.2,1604224,10.4
Ohio,3972035,33981,43596,2918114,24964,2916856,32014,1874115,16,1873287,20.6,1021509,8.7,1021078,11.2
Oklahoma,1731720,43764,57633,1213040,30656,1212206,40343,761033,19.2,760351,25.3,435582,11,435468,14.5
Oregon,1405845,33332,41951,1097974,26032,1096527,32721,690687,16.4,689837,20.6,397904,9.4,397326,11.9
Pennsylvania,4439935,34682,43668,3169691,24759,3167450,31153,2174827,17,2173142,21.4,988025,7.7,987469,9.7
Puerto Rico,1230670,38534,46955,596130,18666,595956,22738,379836,11.9,379694,14.5,216953,6.8,216921,8.3
Rhode Island,371455,35064,43452,300529,28369,300397,35140,215497,20.3,215403,25.2,85952,8.1,85912,10
Republic of Palau,14600,81532,104532,8185,45708,8185,58602,5145,28.7,5145,36.8,3127,17.5,3127,22.4
South Carolina,1579375,30675,39117,1232377,23936,1231374,30498,800539,15.5,799826,19.8,425519,8.3,425240,10.5
South Dakota,391440,44248,58638,304382,34407,303992,45538,198905,22.5,198624,29.8,105267,11.9,105165,15.8
Tennessee,2256060,33036,42414,1540428,22557,1540171,28955,990140,14.5,989928,18.6,523776,7.7,523718,9.8
Texas,9164325,31606,42435,6591175,22731,6568995,30418,4098216,14.1,4083950,18.9,2235145,7.7,2227365,10.3
Utah,990800,30905,43556,796749,24852,795900,34988,456278,14.2,455684,20,206656,6.4,206516,9.1
Virginia,2825165,33099,42327,2342449,27444,2340804,35070,1503158,17.6,1501915,22.5,823381,9.6,823036,12.3
Veterans Health,3194405,N/A,N/A,2535768,N/A,2535748,N/A,1628955,N/A,1628941,N/A,905414,N/A,905408,N/A
Virgin Islands,40420,38613,49504,22365,21365,22330,27348,14581,13.9,14548,17.8,7359,7,7356,9
Vermont,253300,40594,49668,179580,28779,179449,35187,114893,18.4,114800,22.5,60708,9.7,60664,11.9
Washington,2628620,34519,44165,2001032,26278,1999915,33602,1276221,16.8,1275434,21.4,711273,9.3,710945,11.9
Wisconsin,1895165,32549,41599,1656753,28455,1656037,36350,1059657,18.2,1059148,23.2,583220,10,583011,12.8
West Virginia,680665,37980,47513,574473,32055,573955,40064,345274,19.3,344938,24.1,219837,12.3,219686,15.3
Wyoming,236065,40788,53045,166712,28805,166648,37447,104955,18.1,104905,23.6,59185,10.2,59172,13.3
