COVID-19 Vaccinations in the United States
Date generated: Tue May 18 2021 15:13:52 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Missouri,5674925,92464,119050,4452067,72540,4389752,92089,2463204,40.1,2423300,50.8,2001604,32.6,1982929,41.6,3058965,2315960,300000,0,136297,1744434,2570969,367,763028,1101731,136782,63,762854,1083354,136660,61,1864822,40.1,2423300,50.8,30.4,1846269,38.7,2463204,824195,77.6,723468,68.1,330671,365400,27369,28,1559992,146887,534343,2462962,47,2001578,38.2,763020,1101724,136771,63,4451803,85028,108389
Northern Mariana Islands,72330,127158,163023,44896,78928,43808,98738,24109,42.4,23408,52.8,20927,36.8,20540,46.3,49530,20200,2600,0,130,6200,38566,0,2691,18102,134,0,2691,17715,134,0,20793,42.4,23408,52.8,36.6,20406,46,24109,2543,26.3,2379,24.6,372,1962,45,0,4879,50455,747983,24109,49.6,20927,43.1,2691,18102,134,0,44896,92424,148901
Mississippi,2529915,85006,111080,1688183,56724,1677628,73659,966236,32.5,959381,42.1,767726,25.8,763894,33.5,1245075,1126040,158800,0,47811,805942,833562,868,356598,364261,46840,27,356500,360566,46801,27,720886,32.5,959381,42.1,24.2,717093,31.5,966236,358475,73.7,309370,63.6,164334,132339,12687,10,649946,133543,519817,966176,38.3,767709,30.4,356594,364255,46833,27,1688116,66951,100337
Montana,1049245,98172,124882,825322,77221,814010,96884,459999,43,452999,53.9,388079,36.3,383820,45.7,515385,466660,67200,0,27068,386693,411322,239,175092,186433,26481,73,175025,182256,26466,73,361598,43,452999,53.9,33.8,357354,42.5,459999,164330,79.6,148898,72.1,72279,70429,6148,42,306222,148337,508264,459938,50.1,388062,42.3,175079,186432,26478,73,825239,89935,114347
North Carolina,10876760,103706,132848,7766959,74055,7629430,93185,4347792,41.5,4257890,52,3587027,34.2,3539459,43.2,5818020,4455340,603400,0,257469,3206632,4302529,329,1398140,1934457,254395,35,1396389,1889554,253481,35,3332632,41.5,4257890,52,31.8,3285978,40.1,4347792,1369230,78.2,1226436,70,576451,622092,27868,25,2616207,149404,621141,4345525,48.4,3586428,39.9,1398058,1933956,254379,35,7764115,86407,121048
North Dakota,664790,87236,114246,593419,77870,585202,100569,309962,40.7,305474,52.5,268603,35.2,265617,45.6,327990,301300,35500,0,23692,259781,309946,0,113475,134159,20968,1,113353,131371,20892,1,247635,40.7,305474,52.5,32.5,244725,42.1,309962,98202,81.9,86700,72.3,42929,40747,3024,0,190088,158612,554708,309880,48.6,268594,42.1,113471,134156,20966,1,593321,93107,104322
Nebraska,1912970,98892,131175,1610007,83230,1582549,108518,890017,46,871708,59.8,771037,39.9,761753,52.2,1024530,785140,103300,0,57515,661702,887970,2820,301203,411213,57797,824,301129,402040,57763,821,713240,46,871708,59.8,36.9,703990,48.3,890017,267127,85.5,247338,79.2,119690,122691,4374,583,517845,165733,612233,889841,55,770998,47.7,301189,411201,57784,824,1609793,99529,118274
New Hampshire,1524445,112115,138027,1214150,89295,1198883,108549,815221,60,802357,72.6,483812,35.6,482255,43.7,782145,631500,110800,0,56003,505994,652113,40,196630,230441,56724,17,196490,229048,56700,17,427088,60,802357,72.6,31.4,425555,38.5,815221,246400,97.1,198658,78.3,86830,99412,12404,12,421499,166033,600497,814870,68,483678,40.4,196546,230397,56718,17,1213660,101259,127189
New Jersey,10138285,114142,146009,8395059,94516,8233489,118576,5004560,56.3,4891587,70.4,3941273,44.4,3891124,56,5410665,4154920,572700,0,322538,3572450,4499596,475,1543732,2072489,325021,31,1543509,2022701,324886,28,3616252,56.3,4891587,70.4,40.7,3566238,51.4,5004560,1304830,88.4,1135081,76.9,531490,531154,72422,15,2320673,157277,687092,5004058,65.7,3941210,51.7,1543720,2072477,324982,31,8394554,110188,133077
New Mexico,2169015,103443,133808,2019397,96307,1977160,121972,1142921,54.5,1113964,68.7,934402,44.6,918868,56.7,1091415,944700,132900,0,55762,899904,1061121,2610,386096,492842,54714,750,385864,477632,54623,749,879688,54.5,1113964,68.7,42,864245,53.3,1142921,336170,89,293936,77.8,133883,145391,14225,437,611915,162051,574412,1142811,63.9,934371,52.3,386083,492831,54707,750,2019272,112971,121348
Nevada,2727720,88558,114249,2343297,76077,2309839,96746,1315517,42.7,1293962,54.2,1046594,34,1036424,43.4,1434420,1127500,165800,0,89344,973882,1280071,0,419213,539647,87729,5,419156,529562,87701,5,958865,42.7,1293962,54.2,31.1,948723,39.7,1315517,389480,78.5,339564,68.5,162742,159805,17013,4,731319,147452,549975,1315491,50.2,1046587,39.9,419210,539645,87727,5,2343265,89376,104040
New York State,21214365,109051,137530,18012199,92591,17709525,114809,10107731,52,9902055,64.2,8321690,42.8,8223684,53.3,11143665,8902400,1168300,0,700341,7567073,9741272,3513,3315348,4320316,685314,712,3314708,4223327,684955,694,7636376,52,9902055,64.2,39.3,7538729,48.9,10107731,2688413,81.6,2378790,72.2,1147857,1096165,134381,387,4969572,150769,643611,10106831,60.3,8321396,49.6,3315243,4320221,685234,698,18011114,107380,126478
Ohio,11344535,97052,124514,9332134,79836,9176137,100714,5045592,43.2,4947921,54.3,4424053,37.8,4368197,47.9,6012435,4715600,616500,0,350054,3967059,5005773,9248,1785579,2298363,337343,2768,1785367,2242845,337226,2759,4086710,43.2,4947921,54.3,35,4030971,44.2,5045592,1653633,80.8,1542573,75.4,705360,768885,66751,1577,3187334,155759,554387,5045443,50.5,4424021,44.2,1785570,2298352,337331,2768,9331985,93313,113437
Oklahoma,3860065,97551,128466,2855457,72163,2817431,93766,1589343,40.2,1565732,52.1,1283509,32.4,1269765,42.3,1970865,1675200,214000,0,78578,1336551,1440289,39,580026,626038,77423,22,579876,612486,77381,22,1206086,40.2,1565732,52.1,30.5,1192384,39.7,1589343,514461,81,438606,69.1,231582,193071,13947,6,949230,149454,607758,1589223,47.8,1283480,38.6,580014,626029,77415,22,2855307,85868,116084
Oregon,4539165,107621,135450,3659139,86756,3587854,107063,2140584,50.8,2086687,62.3,1656877,39.3,1638617,48.9,2335125,1926840,277200,0,124153,1535005,1998026,1955,667356,865752,123425,344,666285,848983,123010,339,1533452,50.8,2086687,62.3,36.4,1515607,45.2,2140584,633903,82.7,578937,75.6,264064,277539,37157,177,1169014,152597,592518,2139687,58.7,1656867,45.4,667354,865745,123424,344,3658231,100287,124437
Pennsylvania,14115885,110263,138835,11612451,90708,11439585,112513,7010884,54.8,6879029,67.7,5032660,39.3,4991243,49.1,7153965,5956920,1005000,0,422217,4951331,6238606,297,1994614,2610939,426865,242,1993868,2570479,426658,238,4605795,54.8,6879029,67.7,36,4564585,44.9,7010884,2304812,96.3,1785381,74.6,838257,887730,59259,135,4048068,169137,589793,7009718,63.3,5032301,45.4,1994508,2610718,426833,242,11610963,104778,127382
Puerto Rico,3673280,115017,140150,2365696,74074,2325651,88733,1455368,45.6,1423605,54.3,1007674,31.6,998276,38.1,1882140,1601140,190000,0,76132,964252,1325030,282,370905,560432,76318,19,370818,551213,76226,19,931356,45.6,1423605,54.3,29.2,922050,35.2,1455368,418748,77.1,342476,63.1,159137,170714,12622,3,745018,137222,676569,1454916,53.3,1007593,36.9,370893,560395,76286,19,2365195,86721,134683
Rhode Island,1357925,128183,158847,1073731,101356,1051153,122961,604806,57.1,588638,68.9,498493,47.1,492496,57.6,758745,538080,61100,0,40929,441342,591429,31,195104,262571,40809,9,195077,256616,40794,9,457684,57.1,588638,68.9,43.2,451702,52.8,604806,173496,92.8,161203,86.2,74058,81908,5234,3,330764,176836,725985,604757,65.2,498487,53.7,195100,262569,40809,9,1073676,115761,146408
Republic of Palau,24600,137376,176129,20625,115178,20625,147670,12976,72.5,12976,92.9,9131,51,9131,65.4,0,20800,3800,0,1299,19325,1,0,7813,19,1299,0,7813,19,1299,0,7832,72.5,12976,92.9,43.7,7832,56.1,12976,1610,52.9,1503,49.4,1344,8,151,0,2920,95926,808147,12976,84.9,9131,59.7,7813,19,1299,0,20625,134874,160868
South Carolina,4855205,94299,120252,3580076,69533,3534818,87549,2002988,38.9,1973368,48.9,1636837,31.8,1620962,40.1,2531685,2026520,297000,0,113813,1461982,2003220,1061,621650,903828,111148,211,620834,889037,110880,211,1525689,38.9,1973368,48.9,29.6,1510082,37.4,2002988,763543,81.5,660733,70.5,277967,362107,20514,145,1407646,150225,518152,2001605,45.3,1636353,37,621584,903432,111126,211,3578200,80955,109847
South Dakota,922975,104331,138261,749677,84742,738790,110671,410356,46.4,403489,60.4,363211,41.1,359143,53.8,448695,417680,56600,0,20912,341649,387103,13,161106,180978,21116,11,161069,176955,21108,11,342095,46.4,403489,60.4,38.7,338035,50.6,410356,136175,89.7,126429,83.2,65449,57923,3052,5,256123,168645,607736,410338,55.6,363209,49.2,161105,180977,21116,11,749658,101566,125047
Tennessee,5806670,85027,109166,4593848,67268,4540358,85359,2545494,37.3,2510111,47.2,2044935,29.9,2027538,38.1,3024450,2429620,352600,0,127330,1951729,2507411,7378,838422,1080288,124058,2167,838217,1063234,123925,2162,1920877,37.3,2510111,47.2,28.1,1903613,35.8,2545494,865257,75.7,754105,66,381823,348195,22726,1361,1646474,143999,507846,2545113,43.6,2044855,35,838409,1080254,124025,2167,4593394,78714,99505
Texas,28654065,98821,132682,21334970,73579,20918828,96864,11966680,41.3,11746494,54.4,9455859,32.6,9267318,42.9,15120105,11769660,1764300,0,774630,9238387,11321153,800,3922976,4774169,758068,646,3844755,4678976,742953,633,8700153,41.3,11746494,54.4,30,8583571,39.7,11966680,2995261,80.2,2581450,69.1,1070972,1303348,206953,176,5562759,148967,767336,11963090,49.6,9453969,39.2,3922192,4773214,757916,646,21330769,88505,118891
