COVID-19 Vaccinations in the United States
Date generated: Sat Feb 27 2021 15:09:21 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Oklahoma,1385540,35015,46112,1006064,25425,1005607,33467,647372,16.4,647018,21.5,345705,8.7,345621,11.5
Oregon,1177945,27928,35150,927860,21999,926629,27651,595929,14.1,595146,17.8,322835,7.7,322402,9.6
Pennsylvania,3806965,29737,37443,2562627,20017,2560918,25188,1804661,14.1,1803390,17.7,752848,5.9,752409,7.4
Puerto Rico,995210,31162,37971,536377,16795,536219,20459,350005,11,349873,13.3,186418,5.8,186392,7.1
Rhode Island,304145,28710,35578,234889,22173,234777,27464,167665,15.8,167589,19.6,67700,6.4,67666,7.9
Republic of Palau,9200,51377,65870,8143,45474,8143,58302,5141,28.7,5141,36.8,3083,17.2,3083,22.1
South Carolina,1294405,25140,32059,1025316,19914,1024382,25371,710435,13.8,709753,17.6,313285,6.1,313042,7.8
South Dakota,319230,36085,47821,259553,29339,259250,38836,172279,19.5,172042,25.8,86836,9.8,86776,13
Tennessee,1877820,27497,35303,1257333,18411,1257146,23634,821513,12,821359,15.4,416149,6.1,416105,7.8
Texas,7419305,25587,34355,5273077,18186,5256095,24338,3381100,11.7,3369831,15.6,1682309,5.8,1676702,7.8
Utah,816550,25470,35896,662575,20667,662026,29103,378359,11.8,377993,16.6,168912,5.3,168810,7.4
Virginia,2428885,28456,36390,1922788,22527,1921481,28788,1267905,14.9,1266915,19,636415,7.5,636148,9.5
Veterans Health,2595905,N/A,N/A,2118065,N/A,2118048,N/A,1397648,N/A,1397635,N/A,719102,N/A,719098,N/A
Virgin Islands,36080,34467,44189,18684,17849,18672,22868,12363,11.8,12353,15.1,5978,5.7,5975,7.3
Vermont,206910,33159,40572,151538,24285,151426,29692,98746,15.8,98662,19.3,49372,7.9,49338,9.7
Washington,2166300,28448,36397,1609190,21132,1608348,27023,1081544,14.2,1080959,18.2,515850,6.8,515596,8.7
Wisconsin,1588265,27278,34862,1359943,23357,1359395,29839,909389,15.6,909015,20,439535,7.5,439355,9.6
West Virginia,571155,31870,39869,501913,28006,501465,35004,302863,16.9,302589,21.1,189352,10.6,189209,13.2
Wyoming,194055,33530,43605,145577,25153,145532,32702,95024,16.4,94989,21.3,48449,8.4,48440,10.9
