COVID-19 Vaccinations in the United States
Date generated: Fri May 14 2021 15:13:34 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4067270,N/A,N/A,3223436,N/A,3195426,N/A,1931000,N/A,1911624,N/A,1303152,N/A,1303049,0,1294851,N/A,2161770,1722800,182700,0,92152,1413416,1717469,399,526533,687382,89237,0,526482,679157,89212,0,1213915,N/A,1911624,N/A,0,1205639,0,1931000,168149,0,119124,0,41922,73309,3893,0,292006,0,0,1928557,0,1303049,0,526512,687310,89227,0,3220899,0,0
Delaware,1100125,112977,142838,846379,86918,834216,108313,485440,49.9,478035,62.1,372385,38.2,372367,44.3,368964,47.9,581685,459040,59400,0,36592,341589,467938,260,137034,199165,36060,126,136982,195821,36035,126,336325,49.9,478035,62.1,34.5,332929,43.2,485440,169171,89.6,144915,76.7,59062,78445,7330,78,314907,166700,582366,485318,57.8,372367,44.3,137032,199154,36055,126,846240,100766,130997
Florida,22341735,104023,129534,16937994,78863,16785595,97320,9655320,45,9552609,55.4,7359406,34.3,7358622,39.4,7311015,42.4,11587095,9214840,1539800,0,657391,7242383,9009115,29105,2944852,3756673,648401,9480,2944123,3709324,648091,9477,6711005,45,9552609,55.4,31.2,6662924,38.6,9655320,3864740,85.9,3236209,72,1617168,1467396,144447,7198,7379793,164093,496777,9649099,51.6,7358622,39.4,2944284,3756605,648253,9480,16931090,90560,119500
Federated States of Micronesia,77800,75065,96237,38461,37109,38437,47546,22510,21.7,22490,27.8,16604,16,16603,18.8,16600,20.5,0,67600,10200,0,657,37804,0,0,15915,29,660,0,15911,29,660,0,15944,21.7,22490,27.8,15.4,15940,19.7,22510,1957,11.1,1612,9.1,1495,5,112,0,3442,19536,441569,22504,25.4,16603,18.8,15914,29,660,0,38454,43446,87901
Georgia,10097845,95106,124457,6960793,65560,6873718,84719,3935412,37.1,3878426,47.8,3037554,28.6,3037378,33.8,3007300,37.1,5229705,4314040,554100,0,169683,3127110,3663487,513,1330714,1540052,166499,289,1330419,1510322,166274,285,2871055,37.1,3878426,47.8,27,2841026,35,3935412,1177943,77.7,998015,65.8,560771,415568,21522,154,2247681,148171,665666,3934110,43.8,3037378,33.8,1330681,1539998,166410,289,6959413,77429,112347
Guam,173470,104646,134162,145571,87816,141516,109449,81866,49.4,79425,61.4,64698,39,64697,45.7,63085,48.8,98670,63700,11100,0,1782,57249,86540,0,23071,39840,1787,0,23066,38232,1787,0,62911,49.4,79425,61.4,38,61298,47.4,81866,14083,50,12341,43.8,5191,7005,145,0,26437,93811,615557,81860,57.8,64697,45.7,23070,39840,1787,0,145564,102827,122540
Hawaii,1636880,115609,146673,1413166,99809,1394098,124919,845900,59.7,830104,74.4,592676,41.9,592530,48.9,588784,52.8,913380,648300,75200,0,27025,515434,776947,93760,211589,335694,27322,18071,211369,332121,27240,18054,565354,59.7,830104,74.4,39.9,561544,50.3,845900,256799,95.7,211023,78.6,88155,114800,6659,1409,461487,171909,609757,844812,69.8,592530,48.9,211551,335621,27298,18060,1412642,116640,135155
Iowa,3076105,97497,126681,2612715,82810,2580154,106257,1452950,46.1,1432425,59,1241247,39.3,1241236,46.4,1229520,50.6,1580865,1321440,173800,0,101024,1173154,1338415,122,541911,600139,99136,61,541826,588547,99086,61,1142111,46.1,1432425,59,36.2,1130434,46.6,1452950,477050,86.3,447585,80.9,240781,198091,8669,44,921084,166575,556304,1452920,54.3,1241236,46.4,541905,600136,99134,61,2612700,97624,114940
Idaho,1524185,85290,113842,1160043,64913,1159999,86641,636000,35.6,635860,47.5,538266,30.1,538255,36,538208,40.2,780585,649500,94100,0,34673,513894,610878,598,227838,275704,34539,185,227829,275666,34528,185,503727,35.6,635860,47.5,28.2,503680,37.6,636000,225652,77.6,208208,71.6,97511,103290,7329,78,432424,148768,524370,635986,42.5,538255,36,227836,275702,34532,185,1160024,77572,101924
Indian Health Svc,1698405,81544,N/A,1303786,62597,1270921,N/A,735157,35.3,715991,N/A,581676,27.9,581563,0,568023,N/A,713505,911200,73700,0,20885,729568,553333,0,314475,246477,20724,0,314289,233044,20690,0,560952,35.3,715991,N/A,26.9,547333,0,735157,146704,0,119469,0,68812,48431,2226,0,266960,0,0,734898,0,581563,0,314412,246439,20712,0,1303397,0,0
Illinois,13017785,102730,132107,10434159,82341,10257871,104099,6303613,49.7,6175091,62.7,4472084,35.3,4471999,41.3,4417572,44.8,6892665,5334620,790500,0,347355,4367345,5713216,6243,1751340,2370729,347900,2115,1749011,2320067,346389,2105,4124184,49.7,6175091,62.7,32.5,4071183,41.3,6303613,1755138,85.9,1390143,68,645101,691386,52411,1245,3099419,151692,637117,6302883,58.2,4471999,41.3,1751302,2370707,347875,2115,10433376,96268,120115
Indiana,5877350,87302,113809,4621947,68654,4567383,88442,2598461,38.6,2562808,49.6,2106606,31.3,2106575,36.9,2091538,40.5,3123510,2381340,372500,0,152194,1904271,2555512,9970,833814,1119147,150372,3273,833720,1104265,150282,3271,1956234,38.6,2562808,49.6,29.1,1941256,37.6,2598461,864174,79.6,805513,74.2,402621,382392,18484,2016,1679106,154650,541321,2598354,45.5,2106575,36.9,833806,1119138,150358,3273,4621837,81013,103020
Kansas,2856065,98035,129055,2179220,74802,2153559,97311,1287998,44.2,1269971,57.4,1040979,35.7,1040961,42.5,1030030,46.5,1424085,1270780,161200,0,64643,993541,1120474,562,451564,524484,64751,180,451454,513693,64704,179,976228,44.2,1269971,57.4,33.5,965326,43.6,1287998,423843,89.1,356046,74.9,173196,170832,11916,102,749754,157681,600661,1287901,52.5,1040961,42.5,451557,524478,64746,180,2179114,88882,116493
Kentucky,4125365,92338,119065,3374208,75525,3337091,96314,1920800,43,1897401,54.8,1580321,35.4,1580287,41.5,1566814,45.2,2090205,1792460,242700,0,123244,1513817,1736796,351,669518,789792,120711,300,669427,776441,120647,299,1459610,43,1897401,54.8,32.7,1446167,41.7,1920800,616006,82.1,541710,72.2,246206,267414,27905,185,1114960,148550,549635,1920505,50.5,1580287,41.5,669507,789788,120692,300,3373238,88626,108386
Louisiana,3775620,81217,106022,2900359,62389,2877983,80816,1569918,33.8,1556416,43.7,1356658,29.2,1356629,34.6,1347971,37.9,1910220,1633300,232100,0,96980,1360945,1441425,1009,605083,658151,92917,507,604941,649684,92841,505,1263741,33.8,1556416,43.7,27.2,1255130,35.2,1569918,560226,75.6,522083,70.5,249047,256443,16489,104,1089260,146994,509515,1569814,40,1356629,34.6,605078,658144,92900,507,2900240,73923,96235
Massachusetts,8378640,121562,151247,7103369,103059,6975976,125927,4225852,61.3,4133135,74.6,3087288,44.8,3087270,51.3,3051702,55.1,4550520,3415420,412700,0,235802,2968321,3899120,126,1205188,1644980,237088,32,1203643,1611690,236339,30,2850200,61.3,4133135,74.6,41.4,2815363,50.8,4225852,1089345,93.2,941433,80.5,428783,455604,57033,13,1973067,168735,716532,4225801,70.2,3087270,51.3,1205182,1644973,237083,32,7103354,118060,139255
Maryland,6962150,115159,147785,5408440,89460,5315690,112836,3152888,52.2,3090810,65.6,2466731,40.8,2466632,47.8,2436846,51.7,3777930,2786520,397700,0,210175,2248314,2946099,3852,966048,1295801,203759,1123,965897,1266214,203617,1118,2262972,52.2,3090810,65.6,37.4,2233229,47.4,3152888,829936,86.5,742822,77.4,363241,336907,42240,434,1518367,158263,725681,3152576,61.1,2466632,47.8,966026,1295786,203697,1123,5408234,104752,134850
Maine,1594490,118619,145566,1324706,98549,1308211,119431,782500,58.2,771024,70.4,635150,47.3,635127,53.6,630091,57.5,806910,691380,96200,0,85628,576966,661927,185,248386,301315,85389,60,248356,296322,85358,55,549761,58.2,771024,70.4,40.9,544733,49.7,782500,262701,92.1,244470,85.7,111257,113931,19267,15,485927,170342,558950,782437,66,635127,53.6,248383,301312,85372,60,1324638,111790,134563
Marshall Islands,51300,87823,112594,28726,49177,28662,62908,15603,26.7,15558,34.1,13186,22.6,13179,26.4,13167,28.9,0,40500,10800,0,95,28631,0,0,13083,5,98,0,13064,5,98,0,13088,26.7,15558,34.1,22.4,13069,28.7,15603,952,9.6,807,8.1,798,0,9,0,1750,17623,516616,15587,31.2,13179,26.4,13076,5,98,0,28703,57539,102839
Michigan,10435450,104492,133056,7875785,78861,7759972,98942,4504927,45.1,4430658,56.5,3724513,37.3,3724473,43.3,3681406,46.9,5483010,4341540,610900,0,261085,3337576,4275834,1290,1490722,1967243,265990,558,1490426,1924564,265860,556,3458523,45.1,4430658,56.5,34.6,3415546,43.5,4504927,1432790,81.2,1311099,74.3,656379,603492,50851,377,2666106,151020,591109,4504754,52.4,3724473,43.3,1490705,1967229,265981,558,7875593,91630,121413
Minnesota,5694500,100973,131316,4847982,85963,4767915,109949,2826997,50.1,2771626,63.9,2255008,40,2254972,47.2,2230013,51.4,3040440,2355260,298800,0,213523,2014444,2619727,288,887152,1152183,215581,92,886845,1127656,215422,90,2039427,50.1,2771626,63.9,36.2,2014591,46.5,2826997,817099,88.8,749538,81.4,316985,392569,39959,25,1511627,164239,618710,2826781,59.2,2254972,47.2,887145,1152172,215563,92,4847747,101458,119179
Missouri,5588965,91064,117247,4348456,70851,4300624,90220,2419947,39.4,2390941,50.2,1939858,31.6,1939831,37,1923911,40.4,3002805,2289260,296900,0,132947,1707314,2507833,362,736852,1069422,133521,63,736698,1053750,133402,61,1806337,39.4,2390941,50.2,29.4,1790509,37.6,2419947,820017,77.2,716335,67.4,326983,362545,26779,28,1549032,145855,526250,2419747,46.2,1939831,37,736845,1069416,133507,63,4348243,83050,106747
Northern Mariana Islands,72330,127158,163023,43854,77096,42859,96599,23627,41.5,23008,51.9,20309,35.7,20309,41.8,19933,44.9,49530,20200,2600,0,76,5756,38022,0,2395,17834,80,0,2395,17458,80,0,20229,41.5,23008,51.9,35.6,19853,44.7,23627,2524,26.1,2343,24.2,350,1950,43,0,4826,49907,747983,23627,48.6,20309,41.8,2395,17834,80,0,43854,90279,148901
Mississippi,2520735,84698,110677,1674671,56270,1664443,73080,960093,32.3,953428,41.9,759328,25.5,759309,30.1,755662,33.2,1240395,1122540,157800,0,47318,799365,827121,867,352535,360447,46320,26,352441,356915,46280,26,713008,32.3,953428,41.9,24,709382,31.1,960093,357548,73.5,307664,63.2,163364,131705,12586,9,647464,133033,517931,960030,38.1,759309,30.1,352531,360441,46311,26,1674605,66415,99973
Montana,1040525,97357,123844,809959,75784,799892,95204,453478,42.4,447371,53.2,378056,35.4,378039,41.2,374144,44.5,508365,465160,67000,0,25564,380569,403596,230,171052,181912,25021,71,170986,178082,25005,71,353035,42.4,447371,53.2,33,349139,41.6,453478,163479,79.2,147610,71.5,71606,70072,5890,42,304264,147388,504040,453419,49.4,378039,41.2,171040,181911,25017,71,809880,88261,113397
North Carolina,10615150,101212,129653,7609404,72553,7499038,91593,4282082,40.8,4214171,51.5,3491025,33.3,3490414,38.8,3448529,42.1,5601570,4414180,599400,0,253074,3148753,4207248,329,1358126,1882956,249908,35,1356563,1842923,249008,35,3241117,40.8,4214171,51.5,30.9,3199521,39.1,4282082,1364922,77.9,1217518,69.5,572158,617980,27355,25,2603448,148676,606201,4280665,47.6,3490414,38.8,1358044,1882454,249881,35,7607439,84663,118136
North Dakota,663320,87043,113994,586153,76917,578788,99467,306982,40.3,303051,52.1,264447,34.7,264439,41.5,261656,45,326820,301000,35500,0,23170,256847,306136,0,111695,132255,20496,1,111585,129647,20423,1,243951,40.3,303051,52.1,32,241233,41.5,306982,97961,81.7,86306,72,42729,40605,2972,0,189473,158098,553482,306939,48.2,264439,41.5,111691,132253,20494,1,586099,91974,104092
Nebraska,1886260,97511,129343,1576707,81509,1554288,106580,877638,45.4,863317,59.2,749896,38.8,749857,46.4,741650,50.9,1011660,772000,102600,0,56582,648316,869062,2747,291026,401136,56930,804,290954,392999,56896,801,692966,45.4,863317,59.2,35.8,684754,47,877638,266224,85.2,245439,78.6,118683,121930,4255,571,514867,164780,603684,877462,54.3,749857,46.4,291012,401124,56917,804,1576494,97470,116622
New Hampshire,1503825,110599,136160,1201567,88369,1187762,107543,806543,59.3,794934,72,478289,35.2,478155,39.9,476814,43.2,777465,622160,104200,0,54699,503468,643365,35,195922,226838,55513,16,195783,225527,55488,16,422776,59.3,794934,72,31.1,421326,38.1,806543,245695,96.8,198168,78.1,86712,99194,12251,11,420591,165676,592374,806195,67.3,478155,39.9,195838,226795,55506,16,1201077,100209,125468
New Jersey,9932665,111827,143048,8156536,91830,8034400,115709,4896860,55.1,4814046,69.3,3796892,42.7,3796829,49.8,3756241,54.1,5279625,4091540,561500,0,311996,3484888,4359177,475,1486249,1996179,314433,31,1486036,1955875,314302,28,3482459,55.1,4814046,69.3,39.2,3441939,49.6,4896860,1296447,87.9,1119341,75.9,523648,524908,70770,15,2297883,155732,673157,4896366,64.3,3796829,49.8,1486238,1996166,314394,31,8156047,107058,130378
New Mexico,2157365,102887,133089,1970066,93955,1936298,119451,1123386,53.6,1100170,67.9,902795,43.1,902764,50.5,890244,54.9,1085565,940700,131100,0,53080,881253,1033235,2498,374458,475513,52110,714,374238,463271,52021,714,850685,53.6,1100170,67.9,40.6,838223,51.7,1123386,334361,88.5,289717,76.7,131893,143614,13793,417,606058,160500,571327,1123286,62.8,902764,50.5,374445,475502,52103,714,1969947,110211,120696
Nevada,2673630,86802,111984,2264766,73528,2238285,93749,1292498,42,1275123,53.4,1007414,32.7,1007407,38.4,998554,41.8,1393470,1115960,164200,0,85459,944321,1234986,0,399718,523596,84095,5,399665,514814,84070,5,923319,42,1275123,53.4,30,914484,38.3,1292498,387451,78.1,336119,67.8,160787,158836,16492,4,725503,146279,539069,1292471,49.3,1007407,38.4,399715,523594,84093,5,2264734,86381,101977
New York State,20878375,107324,135352,17507860,89998,17276630,112002,9898395,50.9,9750798,63.2,8011020,41.2,8010739,47.8,7926915,51.4,10945935,8784440,1148000,0,671651,7389748,9443084,3377,3190828,4162490,657016,686,3190229,4079344,656674,668,7354004,50.9,9750798,63.2,37.8,7270241,47.1,9898395,2671064,81,2346856,71.2,1133506,1082098,130873,379,4916582,149162,633418,9897529,59,8010739,47.8,3190727,4162403,656937,672,17506839,104374,124474
Ohio,11200305,95818,122931,9123816,78054,8994641,98722,4957157,42.4,4880631,53.6,4303920,36.8,4303825,43,4253263,46.7,5917665,4673440,609200,0,338522,3889731,4886704,8859,1737037,2238103,326134,2646,1736823,2187818,325985,2637,3977786,42.4,4880631,53.6,34,3927278,43.1,4957157,1644905,80.4,1526846,74.6,698052,762240,65028,1526,3159866,154417,547339,4956764,49.6,4303825,43,1737011,2238083,326085,2646,9123675,91230,111995
Oklahoma,3844535,97159,127949,2815020,71141,2781847,92582,1571930,39.7,1552405,51.7,1260212,31.8,1260183,37.9,1247190,41.5,1960335,1671700,212500,0,76739,1316973,1421270,38,567637,616933,75620,22,567494,604097,75577,22,1184592,39.7,1552405,51.7,29.9,1171613,39,1571930,512910,80.8,435742,68.6,229789,192267,13680,6,944964,148782,605313,1571810,47.3,1260183,37.9,567626,616924,75611,22,2814874,84652,115617
Oregon,4482115,106268,133748,3525900,83597,3472812,103630,2084544,49.4,2045426,61,1572905,37.3,1572895,43.1,1558190,46.5,2294175,1916640,271300,0,117949,1484939,1921156,1856,633197,822020,117368,320,632343,808549,116982,316,1455537,49.4,2045426,61,34.5,1441208,43,2084544,629416,82.2,572418,74.7,260656,275498,36095,169,1158968,151286,585071,2084528,57.1,1572895,43.1,633195,822013,117367,320,3525881,96659,122873
Pennsylvania,13870505,108346,136422,11288966,88181,11162608,109788,6866823,53.6,6771847,66.6,4842853,37.8,4842470,43.7,4810656,47.3,7013565,5877640,979300,0,405032,4831540,6052107,287,1922114,2510724,409787,228,1921441,2479417,409574,224,4433066,53.6,6771847,66.6,34.6,4401082,43.3,6866823,2290476,95.7,1761836,73.6,827761,877036,56911,128,4009635,167531,579541,6865651,62,4842470,43.7,1922005,2510509,409728,228,11287587,101859,125168
Puerto Rico,3611970,113097,137811,2265054,70923,2236914,85347,1408609,44.1,1385901,52.9,951310,29.8,951231,34.9,944945,36.1,1848210,1573960,189800,0,74337,917483,1272954,280,344362,532419,74510,19,344290,526217,74419,19,876800,44.1,1385901,52.9,27.5,870526,33.2,1408609,414717,76.4,337595,62.2,156695,168538,12359,3,736373,135630,665276,1408181,51.6,951231,34.9,344351,532383,74478,19,2264578,83032,132435
Rhode Island,1344815,126946,157313,1020874,96367,1006243,117708,591296,55.8,580516,67.9,460011,43.4,460005,49.6,456409,53.4,748215,535600,61000,0,40193,424871,555781,29,181912,238021,40070,8,181887,234459,40055,8,419941,55.8,580516,67.9,39.6,416354,48.7,591296,172831,92.4,159411,85.2,73491,80772,5145,3,328274,175504,718976,591255,63.7,460005,49.6,181908,238019,40070,8,1020826,110063,144995
Republic of Palau,24600,137376,176129,20625,115178,20625,147670,12975,72.5,12975,92.9,9130,51,9130,59.7,9130,65.4,0,20800,3800,0,1299,19325,1,0,7813,18,1299,0,7813,18,1299,0,7831,72.5,12975,92.9,43.7,7831,56.1,12975,1610,52.9,1503,49.4,1344,8,151,0,2920,95926,808147,12975,84.8,9130,59.7,7813,18,1299,0,20625,134874,160868
South Carolina,4803955,93304,118982,3507825,68130,3469819,85939,1972337,38.3,1948497,48.3,1591804,30.9,1591324,36,1577380,39.1,2504775,2006480,292700,0,109689,1426911,1970164,1061,598042,886495,107056,211,597331,873036,106802,211,1484748,38.3,1948497,48.3,28.8,1470578,36.4,1972337,760362,81.1,654264,69.8,274111,360042,19966,145,1398534,149253,512683,1971287,44.6,1591324,36,597979,886104,107030,211,3506312,79329,108687
South Dakota,916555,103605,137300,739400,83580,730181,109381,405892,45.9,400388,60,356620,40.3,356618,48.3,352879,52.9,444015,416040,56500,0,20280,336971,382136,13,157488,178652,20469,11,157451,174955,20462,11,336151,45.9,400388,60,38,332417,49.8,405892,135756,89.4,125657,82.7,64992,57716,2944,5,255129,167991,603509,405875,55,356618,48.3,157487,178651,20469,11,739382,100174,124177
Tennessee,5727160,83863,107671,4436045,64957,4393733,82603,2480854,36.3,2454053,46.1,1953189,28.6,1953110,33.5,1938292,36.4,2960100,2418260,348800,0,123123,1916212,2389709,7001,816078,1015067,119994,2050,815885,1000494,119866,2047,1833195,36.3,2454053,46.1,26.8,1818426,34.2,2480854,854726,74.8,736753,64.4,378101,335420,21938,1294,1617381,141455,500892,2480486,42.5,1953110,33.5,816065,1015033,119962,2050,4435606,76010,98142
