COVID-19 Vaccinations in the United States
Date generated: Tue Mar 09 2021 15:14:34 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence
Dept of Defense,1711265,N/A,N/A,1141841,N/A,1141449,N/A,765550,N/A,765244,N/A,365443,N/A,365357,N/A,898365,770300,42600,0,0,529324,612118,399,156124,209319,0,0,156119,209238,0,0,365443,N/A,765244,N/A,0,365357,0,765550
Delaware,361765,37151,46971,280674,28824,280591,36431,172568,17.7,172507,22.4,100543,10.3,100523,13.1,176865,174100,10800,0,285,132677,147679,33,49402,50804,325,12,49398,50788,325,12,100218,17.7,172507,22.4,10.3,100198,13,172568
Florida,7771315,36183,45057,5904827,27493,5901082,34214,3718074,17.3,3714758,21.5,2055838,9.6,2055468,11.9,3743415,3892800,135100,0,9408,2940384,2948057,6978,995903,1048052,9449,2434,995685,1047902,9447,2434,2046389,17.3,3714758,21.5,9.5,2046021,11.9,3718074
Federated States of Micronesia,41900,40427,51829,17745,17121,17741,21945,11361,11,11357,14,6425,6.2,6425,7.9,0,41100,800,0,0,17745,0,0,6406,19,0,0,6406,19,0,0,6425,11,11357,14,6.2,6425,7.9,11361
Georgia,3437635,32377,42369,2391999,22529,2391351,29474,1411942,13.3,1411448,17.4,904207,8.5,904043,11.1,1531335,1821700,84600,0,192,1341803,1049792,212,501822,402058,222,105,501802,401914,222,105,903985,13.3,1411448,17.4,8.5,903821,11.1,1411942
Guam,87860,53002,67951,56587,34136,56570,43751,35161,21.2,35151,27.2,20924,12.6,20918,16.2,48360,38200,1300,0,0,27077,29510,0,8996,11928,0,0,8995,11923,0,0,20924,21.2,35151,27.2,12.6,20918,16.2,35161
Hawaii,598100,42243,53593,452988,31994,452728,40567,280866,19.8,280669,25.1,174927,12.4,174861,15.7,323700,261900,12500,0,69,157410,201749,93760,61640,95220,73,17994,61623,95184,73,17981,174854,19.8,280669,25.1,12.3,174788,15.7,280866
Iowa,1106755,35079,45579,940050,29795,939318,38683,647648,20.5,647171,26.7,304688,9.7,304429,12.5,477555,596700,32500,0,13745,510459,415727,119,154452,136885,13344,7,154448,136632,13342,7,291344,20.5,647171,26.7,9.2,291087,12,647648
Idaho,594115,33245,44375,482273,26987,482267,36021,300640,16.8,300631,22.5,174479,9.8,174476,13,264615,311100,18400,0,495,254814,226809,155,90716,83244,494,25,90716,83241,494,25,173985,16.8,300631,22.5,9.7,173982,13,300640
Indian Health Svc,1123090,53922,N/A,665997,31976,662152,N/A,439930,21.1,436908,N/A,220205,10.6,219417,N/A,417690,683500,21900,0,281,357003,308713,0,100238,119687,280,0,100213,118924,280,0,219925,21.1,436908,N/A,10.6,219137,0,439930
Illinois,4378835,34556,44437,3571808,28187,3569226,36221,2398497,18.9,2396528,24.3,1153941,9.1,1153369,11.7,2038335,2217000,123500,0,40,1754658,1815833,1277,538448,614875,242,376,538424,614327,242,376,1153699,18.9,2396528,24.3,9.1,1153127,11.7,2398497
Indiana,2206230,32771,42721,1879649,27920,1879296,36391,1152396,17.1,1152148,22.3,716718,10.6,716611,13.9,1024530,1134500,47200,0,7201,882011,988422,2015,319688,389163,7152,715,319684,389060,7152,715,709566,17.1,1152148,22.3,10.5,709459,13.7,1152396
Kansas,1091625,37470,49326,742945,25502,742385,33546,515054,17.7,514663,23.3,261951,9,261757,11.8,502125,559100,30400,0,1195,417382,324229,139,134505,126390,1000,56,134501,126200,1000,56,260951,17.7,514663,23.3,9,260757,11.8,515054
Kentucky,1555915,34826,44906,1283860,28737,1283332,37039,867007,19.4,866558,25,443361,9.9,443260,12.8,713115,797100,45700,0,2285,669788,611709,78,229958,210993,2355,55,229953,210897,2355,55,441006,19.4,866558,25,9.9,440905,12.7,867007
Louisiana,1640860,35296,46077,1277889,27489,1277640,35877,805777,17.3,805577,22.6,461597,9.9,461555,13,777660,813000,50200,0,11642,543627,721829,791,162497,287362,11380,358,162492,287326,11380,357,450217,17.3,805577,22.6,9.7,450175,12.6,805777
Massachusetts,2497130,36230,45077,2199086,31905,2197475,39668,1493343,21.7,1492149,26.9,695094,10.1,694687,12.5,1161030,1266900,69200,0,12189,1087984,1098873,40,296227,386801,12061,5,296212,386410,12060,5,683033,21.7,1492149,26.9,9.9,682627,12.3,1493343
Maryland,2116560,35009,44928,1671778,27652,1671113,35473,1109083,18.3,1108581,23.5,628959,10.4,628774,13.3,1003860,1047600,65100,0,19477,837692,813644,965,277523,332226,18946,264,277510,332055,18945,264,610013,18.3,1108581,23.5,10.1,609829,12.9,1109083
Maine,503580,37463,45974,427445,31799,427263,39006,287695,21.4,287572,26.3,148712,11.1,148643,13.6,223080,264600,15900,0,4952,213216,209248,29,68369,75388,4950,5,68359,75331,4948,5,143762,21.4,287572,26.3,10.7,143695,13.1,287695
Marshall Islands,35000,59918,76818,13742,23526,13733,30141,10432,17.9,10422,22.9,3263,5.6,3262,7.2,0,35000,0,0,0,13742,0,0,3260,1,2,0,3259,1,2,0,3261,17.9,10422,22.9,5.6,3260,7.2,10432
Michigan,3363430,33679,42885,2765577,27692,2764949,35254,1789580,17.9,1789143,22.8,1002567,10,1002370,12.8,1578330,1678600,106500,0,3493,1253057,1509027,0,380087,618915,3530,35,380079,618726,3530,35,999037,17.9,1789143,22.8,10,998840,12.7,1789580
Minnesota,1953700,34642,45053,1725656,30599,1724814,39775,1151692,20.4,1151096,26.5,592955,10.5,592690,13.7,920400,974900,58400,0,11992,794612,918905,147,231428,349620,11867,40,231416,349370,11864,40,581088,20.4,1151096,26.5,10.3,580826,13.4,1151692
Missouri,2032445,33116,42637,1633864,26621,1633183,34261,1027201,16.7,1026721,21.5,541587,8.8,541426,11.4,1016145,965900,50400,0,2176,653732,977771,185,172899,366287,2378,23,172892,366134,2378,22,539209,16.7,1026721,21.5,8.8,539048,11.3,1027201
Northern Mariana Islands,44010,77371,99193,20396,35857,20391,45959,11937,21,11933,26.9,8446,14.8,8445,19,30810,12800,400,0,0,2332,18064,0,610,7836,0,0,610,7835,0,0,8446,21,11933,26.9,14.8,8445,19,11937
Mississippi,1067855,35880,46886,776272,26083,776091,34075,506410,17,506276,22.2,278797,9.4,278752,12.2,477555,558500,31800,0,5325,417809,352744,394,143791,129705,5291,10,143786,129665,5291,10,273506,17,506276,22.2,9.2,273461,12,506410
Montana,411145,38469,48935,341554,31957,341176,40607,219236,20.5,218957,26.1,122866,11.5,122770,14.6,173745,225000,12400,0,240,188309,152923,82,66740,55856,246,24,66729,55771,246,24,122620,20.5,218957,26.1,11.5,122524,14.6,219236
North Carolina,3624905,34562,44274,2881950,27478,2880052,35177,1838635,17.5,1837346,22.4,1007844,9.6,1007229,12.3,1715805,1797500,111600,0,3123,1235322,1643176,329,367169,637563,3090,22,367095,637023,3089,22,1004754,17.5,1837346,22.4,9.6,1004140,12.3,1838635
North Dakota,299900,39354,51539,275989,36216,275707,47381,172717,22.7,172507,29.6,91455,12,91399,15.7,132600,158900,8400,0,30,136941,139018,0,44057,47363,35,0,44055,47309,35,0,91420,22.7,172507,29.6,12,91364,15.7,172717
Nebraska,712720,36844,48872,573413,29643,572935,39287,371498,19.2,371167,25.5,203997,10.5,203843,14,342420,350000,20300,0,7711,283135,281431,1136,93320,102600,7815,262,93309,102460,7812,262,196182,19.2,371167,25.5,10.1,196031,13.4,371498
New Hampshire,496675,36528,44970,385485,28351,384827,34843,282343,20.8,281858,25.5,120116,8.8,119965,10.9,219375,261500,15800,0,2535,215293,167630,27,67489,49997,2626,4,67438,49899,2624,4,117490,20.8,281858,25.5,8.6,117341,10.6,282343
New Jersey,3070400,34568,44219,2571874,28955,2568975,36998,1775631,20,1773471,25.5,898336,10.1,897594,12.9,1446900,1544500,79000,0,6914,1366729,1197756,475,453321,438208,6802,5,453296,437493,6800,5,891534,20,1773471,25.5,10,890794,12.8,1775631
New Mexico,901345,42986,55605,833881,39769,831168,51275,541044,25.8,538607,33.2,303277,14.5,302533,18.7,442845,433300,25200,0,1757,370596,460584,944,115294,186148,1615,220,115268,185431,1614,220,301662,25.8,538607,33.2,14.4,300919,18.6,541044
Nevada,1033680,33559,43295,855890,27787,855644,35838,539447,17.5,539272,22.6,294908,9.6,294841,12.3,484380,516900,32400,0,1286,395411,459193,0,132950,160694,1264,0,132947,160630,1264,0,293644,17.5,539272,22.6,9.5,293577,12.3,539447
New York State,7010045,36035,45445,5416301,27842,5413369,35094,3569927,18.4,3567373,23.1,1752004,9,1751590,11.4,3344445,3494500,171100,0,15194,2745920,2654619,568,890586,846271,15055,92,890530,845913,15055,92,1736949,18.4,3567373,23.1,8.9,1736535,11.3,3569927
Ohio,4057505,34712,44534,3203772,27408,3202386,35148,2042646,17.5,2041708,22.4,1151455,9.9,1151010,12.6,1860105,2065900,131500,0,18603,1658832,1524233,2104,575714,556691,18432,618,575706,556255,18432,617,1133023,17.5,2041708,22.4,9.7,1132578,12.4,2042646
Oklahoma,1741270,44005,57951,1300639,32870,1299550,43250,818496,20.7,817595,27.2,465461,11.8,465324,15.5,804570,888500,48200,0,972,619021,680639,7,216553,247935,972,1,216549,247802,972,1,464489,20.7,817595,27.2,11.7,464352,15.5,818496
Oregon,1420125,33670,42377,1199682,28444,1198180,35754,760168,18,759275,22.7,431930,10.2,431340,12.9,650325,723400,46400,0,2218,595357,601210,897,199239,230344,2204,143,199215,229778,2204,143,429726,18,759275,22.7,10.2,429136,12.8,760168
Pennsylvania,4641045,36253,45646,3335592,26055,3333171,32783,2289199,17.9,2287354,22.5,1043146,8.1,1042569,10.3,2139345,2363500,138200,0,709,1717341,1617446,96,509381,532633,1073,59,509353,532085,1073,58,1042073,17.9,2287354,22.5,8.1,1041496,10.2,2289199
Puerto Rico,1250670,39161,47718,633344,19831,633160,24158,402670,12.6,402518,15.4,231579,7.3,231547,8.8,582270,641400,27000,0,21,267070,366006,247,94282,137267,23,7,94281,137236,23,7,231556,12.6,402518,15.4,7.3,231524,8.8,402670
Rhode Island,387365,36566,45313,326730,30842,326592,38204,234708,22.2,234611,27.4,93178,8.8,93135,10.9,169065,206400,11900,0,56,176943,149731,0,50837,42246,94,1,50835,42205,94,1,93084,22.2,234611,27.4,8.8,93041,10.9,234708
Republic of Palau,14600,81532,104532,8185,45708,8185,58602,5147,28.7,5147,36.9,3129,17.5,3129,22.4,0,14600,0,0,0,8184,1,0,3118,11,0,0,3118,11,0,0,3129,28.7,5147,36.9,17.5,3129,22.4,5147
South Carolina,1642615,31903,40684,1380510,26813,1379452,34166,873292,17,872547,21.6,499288,9.7,498988,12.4,857415,730400,54800,0,630,494999,883872,1009,139644,358773,669,202,139636,358481,669,202,498619,17,872547,21.6,9.7,498319,12.3,873292
South Dakota,399640,45174,59866,326272,36881,325845,48811,213168,24.1,212861,31.9,113754,12.9,113641,17,173940,215100,10600,0,497,165058,160704,13,54758,58405,587,4,54756,58294,587,4,113167,24.1,212861,31.9,12.8,113054,16.9,213168
Tennessee,2319910,33971,43615,1659254,24297,1658966,31189,1058354,15.5,1058112,19.9,573256,8.4,573197,10.8,1079910,1202800,37200,0,959,787073,869489,1733,242744,329049,1001,462,242737,328997,1001,462,572255,15.5,1058112,19.9,8.4,572196,10.8,1058354
Texas,9250505,31903,42834,7071506,24388,7045205,32623,4406573,15.2,4389612,20.3,2392254,8.3,2383046,11,4492605,4642800,115100,0,6572,3510631,3554072,231,1176091,1210484,5592,87,1174950,1202263,5591,87,2386612,15.2,4389612,20.3,8.2,2377426,11,4406573
Utah,993140,30978,43659,833714,26005,832801,36610,483105,15.1,482450,21.2,216903,6.8,216758,9.5,446940,516000,30200,0,4130,397312,432272,0,102211,110639,4053,0,102197,110512,4049,0,212850,15.1,482450,21.2,6.6,212709,9.4,483105
Virginia,2881325,33757,43168,2486429,29130,2484629,37225,1591745,18.6,1590396,23.8,889474,10.4,889085,13.3,1348425,1451700,81200,0,9183,1193716,1283277,253,417739,462441,9211,83,417671,462121,9210,83,880263,18.6,1590396,23.8,10.3,879875,13.2,1591745
Veterans Health,3195405,N/A,N/A,2708426,N/A,2708405,N/A,1733048,N/A,1733033,N/A,981964,N/A,981958,N/A,1341405,1782900,71100,0,8010,1442898,1257517,1,469135,504820,8009,0,469135,504814,8009,0,973955,N/A,1733033,N/A,0,973949,0,1733048
Virgin Islands,41590,39731,50937,23053,22022,23015,28187,15049,14.4,15012,18.4,7544,7.2,7541,9.2,23790,17800,0,0,0,10680,12373,0,3668,3876,0,0,3666,3875,0,0,7544,14.4,15012,18.4,7.2,7541,9.2,15049
Vermont,261100,41844,51198,198741,31850,198608,38944,126974,20.3,126879,24.9,67485,10.8,67440,13.2,117000,136800,7300,0,0,104620,93936,185,33661,33765,7,52,33659,33722,7,52,67478,20.3,126879,24.9,10.8,67433,13.2,126974
Washington,2657880,34904,44657,2213284,29065,2211979,37165,1411252,18.5,1410307,23.7,788319,10.4,787962,13.2,1244880,1380600,32400,0,764,1117435,1094024,1061,404394,382837,787,301,404377,382497,787,301,787532,18.5,1410307,23.7,10.3,787175,13.2,1411252
Wisconsin,1924865,33059,42251,1804918,30999,1804111,39600,1150440,19.8,1149849,25.2,639644,11,639429,14,917865,979100,27900,0,383,807376,997018,141,245355,393822,427,40,245353,393609,427,40,639217,19.8,1149849,25.2,11,639002,14,1150440
West Virginia,723565,40374,50508,602407,33614,601866,42013,363952,20.3,363600,25.4,230156,12.8,229997,16.1,305565,396800,21200,0,339,304446,297622,0,111350,118376,420,10,111315,118253,419,10,229736,20.3,363600,25.4,12.8,229578,16,363952
Wyoming,236065,40788,53045,185580,32065,185490,41681,114824,19.8,114753,25.8,68219,11.8,68201,15.3,102765,126800,6500,0,366,96082,89068,64,33581,34265,365,8,33580,34248,365,8,67854,19.8,114753,25.8,11.7,67836,15.2,114824
