COVID-19 Vaccinations in the United States
Date generated: Tue Mar 02 2021 15:08:25 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Federated States of Micronesia,30000,28946,37109,15022,14494,15018,18577,10628,10.3,10624,13.1,4434,4.3,4434,5.5
Georgia,2881145,27136,35510,2072628,19521,2072084,25539,1260430,11.9,1260016,15.5,743037,7,742900,9.2
Guam,51300,30947,39675,55255,33333,55238,42721,34489,20.8,34479,26.7,20263,12.2,20257,15.7
Hawaii,497760,35156,44602,389644,27520,389432,34895,250646,17.7,250495,22.4,141240,10,141178,12.7
Iowa,901745,28581,37136,734845,23291,734291,30240,546840,17.3,546434,22.5,188168,6,188013,7.7
Idaho,485195,27150,36239,404250,22621,404244,30193,263438,14.7,263429,19.7,133284,7.5,133281,10
Indian Health Svc,868080,41678,N/A,569259,27331,566734,N/A,388629,18.7,386564,N/A,174607,8.4,174180,N/A
Illinois,3575135,28213,36281,2906555,22937,2904619,29477,2045444,16.1,2043918,20.7,847352,6.7,846973,8.6
Indiana,1848620,27459,35797,1615149,23991,1614837,31270,1016048,15.1,1015823,19.7,582218,8.6,582132,11.3
Kansas,867585,29780,39203,620939,21314,620442,28035,439896,15.1,439555,19.9,212327,7.3,212158,9.6
Kentucky,1317325,29486,38020,1046835,23431,1046496,30204,713307,16,713031,20.6,358604,8,358519,10.3
Louisiana,1331680,28646,37395,1076576,23158,1076366,30225,678364,14.6,678192,19,379791,8.2,379758,10.7
Massachusetts,2091730,30348,37759,1803528,26167,1802308,32534,1260542,18.3,1259646,22.7,523119,7.6,522792,9.4
Maryland,1837445,30393,39003,1364145,22564,1363674,28947,906877,15,906517,19.2,503576,8.3,503448,10.7
Maine,416090,30954,37986,334009,24848,333849,30478,228686,17,228575,20.9,108839,8.1,108785,9.9
Marshall Islands,21000,35951,46091,11197,19169,11189,24558,8819,15.1,8810,19.3,2332,4,2331,5.1
Michigan,2704700,27083,34486,2357259,23604,2356744,30049,1514180,15.2,1513819,19.3,859526,8.6,859372,11
Minnesota,1599790,28367,36891,1429631,25350,1428889,32950,963223,17.1,962703,22.2,469986,8.3,469753,10.8
Missouri,1694635,27611,35550,1375027,22404,1374510,28835,865315,14.1,864950,18.1,443345,7.2,443228,9.3
Northern Mariana Islands,29650,52125,66827,18583,32669,18578,41873,10926,19.2,10922,24.6,7642,13.4,7641,17.2
Mississippi,869955,29231,38197,637116,21407,636998,27968,422306,14.2,422220,18.5,220044,7.4,220011,9.7
Montana,341645,31966,40663,284679,26636,284412,33851,191091,17.9,190876,22.7,93750,8.8,93702,11.2
North Carolina,2985475,28465,36464,2525579,24080,2523931,30827,1615012,15.4,1613956,19.7,875367,8.3,874775,10.7
North Dakota,246570,32356,42374,238585,31308,238344,40960,149458,19.6,149282,25.7,79483,10.4,79430,13.7
Nebraska,603210,31183,41363,476315,24623,475870,32631,311102,16.1,310791,21.3,159766,8.3,159629,10.9
New Hampshire,412275,30321,37328,324806,23888,324240,29357,236501,17.4,236096,21.4,100268,7.4,100131,9.1
New Jersey,2508320,28240,36124,2096498,23603,2094448,30164,1448799,16.3,1447222,20.8,730381,8.2,729900,10.5
New Mexico,738705,35230,45571,711612,33938,709884,43793,470185,22.4,468465,28.9,248615,11.9,248331,15.3
Nevada,867240,28156,36324,715121,23217,714917,29944,458492,14.9,458346,19.2,238432,7.7,238382,10
New York State,5757205,29595,37323,4355544,22389,4353823,28225,2777745,14.3,2776336,18,1473773,7.6,1473429,9.6
Ohio,3301865,28247,36240,2660844,22763,2659678,29192,1723002,14.7,1722235,18.9,920316,7.9,919914,10.1
Oklahoma,1399890,35378,46589,1119049,28280,1118423,37222,704200,17.8,703701,23.4,400460,10.1,400358,13.3
Oregon,1241415,29433,37044,1024055,24280,1022690,30517,650472,15.4,649650,19.4,364170,8.6,363645,10.9
Pennsylvania,3915545,30585,38511,2835338,22148,2833383,27867,1956197,15.3,1954739,19.2,871814,6.8,871317,8.6
Puerto Rico,1036820,32465,39559,554664,17367,554500,21156,358606,11.2,358469,13.7,196337,6.1,196310,7.5
Rhode Island,308415,29113,36078,269512,25441,269386,31512,192198,18.1,192113,22.5,77763,7.3,77725,9.1
Republic of Palau,9200,51377,65870,8185,45708,8185,58602,5143,28.7,5143,36.8,3125,17.5,3125,22.4
South Carolina,1339205,26010,33169,1116811,21691,1115835,27637,755284,14.7,754582,18.7,357296,6.9,357033,8.8
South Dakota,329300,37223,49329,282075,31885,281733,42204,186324,21.1,186066,27.9,95432,10.8,95354,14.3
Tennessee,1965740,28784,36956,1394659,20422,1394437,26216,903477,13.2,903292,17,468251,6.9,468200,8.8
Texas,7615175,26263,35262,5572496,19218,5554661,25721,3533100,12.2,3521373,16.3,1804118,6.2,1798130,8.3
Utah,820950,25607,36089,688506,21476,687935,30242,391925,12.2,391541,17.2,177939,5.6,177832,7.8
Virginia,2536495,29717,38002,2136926,25036,2135454,31993,1379963,16.2,1378845,20.7,741128,8.7,740826,11.1
Veterans Health,2597405,N/A,N/A,2356446,N/A,2356427,N/A,1532520,N/A,1532506,N/A,822571,N/A,822566,N/A
Virgin Islands,36080,34467,44189,19470,18600,19458,23831,12685,12.1,12675,15.5,6436,6.1,6433,7.9
Vermont,206910,33159,40572,168050,26932,167924,32927,107238,17.2,107148,21,56934,9.1,56892,11.2
Washington,2245010,29482,37720,1800030,23638,1799073,30227,1166618,15.3,1165944,19.6,621171,8.2,620890,10.4
Wisconsin,1588665,27285,34871,1500923,25778,1500304,32931,971107,16.7,970679,21.3,517730,8.9,517534,11.4
West Virginia,605255,33773,42249,534053,29800,533595,37247,318168,17.8,317887,22.2,206179,11.5,206033,14.4
Wyoming,195855,33841,44010,156741,27082,156688,35209,99880,17.3,99840,22.4,54518,9.4,54506,12.2
