COVID-19 Vaccinations in the United States
Date generated: Wed Mar 03 2021 15:14:37 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Puerto Rico,1056070,33067,40293,554694,17368,554530,21157,358646,11.2,358509,13.7,196435,6.2,196408,7.5
Rhode Island,350915,33125,41049,275799,26034,275670,32247,196835,18.6,196748,23,79532,7.5,79493,9.3
Republic of Palau,14600,81532,104532,8185,45708,8185,58602,5144,28.7,5144,36.8,3125,17.5,3125,22.4
South Carolina,1482565,28795,36720,1123049,21812,1122073,27791,759604,14.8,758902,18.8,359783,7,359520,8.9
South Dakota,341900,38648,51217,282575,31942,282229,42278,186707,21.1,186448,27.9,95545,10.8,95464,14.3
Tennessee,1974990,28920,37130,1405604,20582,1405378,26421,911906,13.4,911718,17.1,470596,6.9,470545,8.8
Texas,8234755,28400,38131,5956629,20543,5936465,27489,3735197,12.9,3722120,17.2,1984483,6.8,1977536,9.2
Utah,879350,27429,38657,722301,22530,721704,31726,406252,12.7,405851,17.8,191035,6,190920,8.4
Virginia,2735305,32046,40980,2171427,25440,2169924,32510,1402684,16.4,1401539,21,752851,8.8,752545,11.3
Veterans Health,2770485,N/A,N/A,2372611,N/A,2372592,N/A,1540721,N/A,1540707,N/A,830514,N/A,830509,N/A
Virgin Islands,37680,35995,46148,19736,18854,19724,24157,12831,12.3,12821,15.7,6557,6.3,6554,8
Vermont,227350,36435,44580,171557,27494,171427,33614,109213,17.5,109123,21.4,58448,9.4,58405,11.5
Washington,2443300,32086,41051,1841160,24178,1840188,30918,1186560,15.6,1185874,19.9,642362,8.4,642078,10.8
Wisconsin,1814215,31159,39822,1521200,26127,1520575,33376,984053,16.9,983620,21.6,525277,9,525081,11.5
West Virginia,644595,35968,44995,536534,29938,536031,37417,319813,17.8,319488,22.3,207129,11.6,206982,14.4
Wyoming,211415,36529,47506,156776,27088,156723,35217,99916,17.3,99876,22.4,54562,9.4,54550,12.3
