COVID-19 Vaccinations in the United States
Date generated: Mon Mar 15 2021 15:14:59 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident
Dept of Defense,1918750,N/A,N/A,1439663,N/A,1435744,N/A,929473,N/A,926025,N/A,488729,N/A,488280,N/A,1008150,868000,42600,0,3079,680450,755735,399,217396,269903,1430,0,217368,269482,1430,0,487299,N/A,926025,N/A,0,486850,0,929473,116406,0,57850,0,17464,40353,33,0
Delaware,422015,43339,54793,317790,32635,317541,41229,197168,20.2,196993,25.6,115574,11.9,115513,15,206115,205100,10800,0,3145,143900,170708,37,54627,57698,3237,12,54615,57649,3237,12,112337,20.2,196993,25.6,11.5,112276,14.6,197168,123412,65.3,70340,37.2,34282,33026,3025,7
Florida,9145275,42580,53023,7108286,33096,7099767,41163,4387617,20.4,4380276,25.4,2445584,11.4,2444504,14.2,4419675,4441900,283700,0,79130,3571266,3449022,8868,1177757,1186401,78444,2982,1177195,1185906,78421,2982,2367140,20.4,4380276,25.4,11,2366083,13.7,4387617,2998646,66.7,1800885,40,887644,879729,30942,2570
Federated States of Micronesia,47400,45734,58633,19796,19100,19791,24481,12326,11.9,12321,15.2,7511,7.2,7511,9.3,0,46600,800,0,0,19796,0,0,7492,19,0,0,7492,19,0,0,7511,11.9,12321,15.2,7.2,7511,9.3,12326,1240,7,812,4.6,808,4,0,0
Georgia,3981815,37503,49076,2754347,25942,2752689,33927,1662522,15.7,1661225,20.5,1033760,9.7,1033376,12.7,1805115,2067000,109700,0,21450,1507520,1225150,227,560940,451099,21588,133,560885,450776,21582,133,1012172,15.7,1661225,20.5,9.5,1011794,12.5,1662522,921908,60.8,628081,41.4,374738,250249,3012,82
Guam,87860,53002,67951,66513,40124,66469,51407,36978,22.3,36953,28.6,29000,17.5,28983,22.4,48360,38200,1300,0,0,34033,32480,0,14347,14653,0,0,14345,14638,0,0,29000,22.3,36953,28.6,17.5,28983,22.4,36978,11072,39.3,9452,33.5,4119,5333,0,0
Hawaii,681200,48112,61039,528035,37294,527212,47241,329359,23.3,328105,29.4,202968,14.3,202760,18.2,370500,296900,13800,0,777,188940,244558,93760,76897,107247,817,18007,76861,107095,814,17990,202151,23.3,328105,29.4,14.3,201946,18.1,329359,127035,47.3,79700,29.7,38134,40036,123,1407
Iowa,1288785,40848,53075,1114556,35326,1112533,45817,734394,23.3,733108,30.2,407760,12.9,407023,16.8,581685,672000,35100,0,27998,600061,486378,119,208131,171429,28193,7,208121,170710,28185,7,379567,23.3,733108,30.2,12,378838,15.6,734394,400149,72.4,188811,34.1,96792,89665,2352,2
Idaho,671845,37595,50180,550174,30786,550155,41091,340495,19.1,340468,25.4,206561,11.6,206548,15.4,310245,343200,18400,0,4850,284383,260757,184,105901,95906,4720,34,105900,95900,4714,34,201841,19.1,340468,25.4,11.3,201834,15.1,340495,186759,64.3,102450,35.2,47395,52968,2067,20
Indian Health Svc,1239435,59508,N/A,746005,35817,737362,N/A,482152,23.1,475610,N/A,259196,12.4,257143,N/A,478335,739200,21900,0,1565,410080,334360,0,128450,129186,1560,0,128408,127175,1560,0,257636,23.1,475610,N/A,12.4,255583,0,482152,123105,0,84180,0,46128,37933,119,0
Illinois,5167015,40776,52436,4197470,33124,4189527,42516,2755219,21.7,2749394,27.9,1462024,11.5,1459932,14.8,2429115,2600400,137500,0,46377,2071027,2078430,1636,686254,730200,45070,500,686089,728336,45007,500,1416954,21.7,2749394,27.9,11.2,1414925,14.4,2755219,1238268,60.6,643417,31.5,321171,309366,12568,312
Indiana,2537330,37689,49133,2127229,31598,2126275,41173,1297939,19.3,1297322,25.1,837398,12.4,837053,16.2,1211730,1249900,75700,0,26251,989525,1108854,2599,385023,425125,26323,927,384993,424813,26320,927,811075,19.3,1297322,25.1,12,810733,15.7,1297939,725051,66.8,533608,49.1,277823,251905,3200,680
Kansas,1257325,43158,56814,900500,30910,898902,40618,618089,21.2,616966,27.9,323386,11.1,322831,14.6,584025,642600,30700,0,8615,500227,391488,170,171054,143481,8780,71,171036,142947,8777,71,314606,21.2,616966,27.9,10.8,314054,14.2,618089,313074,65.8,151326,31.8,78389,70260,2631,46
Kentucky,1798045,40246,51895,1496894,33505,1494528,43135,1022830,22.9,1021369,29.5,520049,11.6,519746,15,840645,911100,46300,0,24941,766112,705753,88,259381,236844,23758,66,259363,236572,23745,66,496291,22.9,1021369,29.5,11.1,496001,14.3,1022830,463840,61.8,235114,31.3,98817,128305,7952,40
Louisiana,1890870,40674,53097,1464377,31500,1463547,41097,925437,19.9,924744,26,540865,11.6,540740,15.2,898170,941500,51200,0,28719,645332,789532,794,207960,304728,27820,357,207946,304623,27815,356,513045,19.9,924744,26,11,512925,14.4,925437,475227,64.1,341135,46,143783,189822,7461,69
Massachusetts,2891100,41946,52189,2561749,37167,2557010,46158,1718071,24.9,1714759,31,874199,12.7,872852,15.8,1349400,1463700,78000,0,55119,1264578,1242008,44,378558,440827,54807,7,378471,439589,54785,7,819392,24.9,1714759,31,11.9,818067,14.8,1718071,811483,69.4,382800,32.7,133962,221273,27562,3
Maryland,2430150,40196,51585,1961982,32453,1959475,41594,1316888,21.8,1314935,27.9,740659,12.3,740053,15.7,1164150,1200900,65100,0,49100,963199,948482,1201,328250,364105,47982,322,328210,363548,47973,322,692677,21.8,1314935,27.9,11.5,692080,14.7,1316888,595556,62.1,311111,32.4,136704,154156,20101,150
Maine,583690,43422,53287,510397,37970,509930,46553,343171,25.5,342877,31.3,185511,13.8,185326,16.9,261690,305600,16400,0,13533,255469,241362,33,86577,85318,13610,6,86556,85156,13608,6,171901,25.5,342877,31.3,12.8,171718,15.7,343171,202643,71,99083,34.7,38564,52880,7636,3
Marshall Islands,35600,60945,78135,16007,27403,15982,35077,11204,19.2,11178,24.5,4753,8.1,4752,10.4,0,35000,600,0,0,16007,0,0,4749,2,2,0,4748,2,2,0,4751,19.2,11178,24.5,8.1,4750,10.4,11204,785,7.9,418,4.2,416,0,2,0
Michigan,3925470,39306,50051,3166094,31703,3164047,40343,2053751,20.6,2052299,26.2,1156819,11.6,1156213,14.7,1853670,1962300,109500,0,15512,1477562,1673020,0,482228,658513,16036,42,482175,657968,16028,42,1140783,20.6,2052299,26.2,11.4,1140185,14.5,2053751,1111218,62.9,590625,33.5,264227,319664,6702,32
Minnesota,2263220,40131,52190,2000939,35480,1998561,46087,1330645,23.6,1328927,30.6,715550,12.7,714843,16.5,1091220,1113000,59000,0,37210,937086,1026456,187,300482,377739,37288,41,300451,377073,37278,41,678262,23.6,1328927,30.6,12,677565,15.6,1330645,694544,75.5,342836,37.2,137915,182480,22426,15
Missouri,2415805,39362,50679,1867231,30424,1865605,39137,1188641,19.4,1187478,24.9,633641,10.3,633251,13.3,1212705,1149600,53500,0,21804,775199,1069986,242,229665,382154,21795,27,229638,381796,21791,26,611846,19.4,1187478,24.9,10,611460,12.8,1188641,613139,57.7,308467,29,128827,171332,8300,8
Northern Mariana Islands,44010,77371,99193,22134,38912,22110,49833,12956,22.8,12943,29.2,9162,16.1,9151,20.6,30810,12800,400,0,0,2635,19499,0,665,8497,0,0,665,8486,0,0,9162,22.8,12943,29.2,16.1,9151,20.6,12956,2104,21.8,1865,19.3,233,1632,0,0
Mississippi,1239205,41638,54409,896984,30139,896558,39365,589211,19.8,588892,25.9,326212,11,326104,14.3,565305,641900,32000,0,16911,477742,401756,575,167951,141900,16351,10,167931,141817,16346,10,309861,19.8,588892,25.9,10.4,309758,13.6,589211,285422,58.6,180800,37.1,98525,77426,4846,3
Montana,481155,45019,57267,395770,37030,394797,46989,251203,23.5,250502,29.8,148811,13.9,148552,17.7,212355,256300,12500,0,3831,213464,178383,92,78221,66685,3879,26,78203,66445,3878,26,144932,23.5,250502,29.8,13.6,144674,17.2,251203,127069,61.6,79678,38.6,38627,39795,1243,13
North Carolina,4267910,40693,52128,3414474,32556,3409117,41639,2193331,20.9,2188847,26.7,1219606,11.6,1218621,14.9,2082210,2074000,111700,0,45909,1505379,1862857,329,476446,697577,45559,24,476329,696799,45469,24,1174047,20.9,2188847,26.7,11.2,1173152,14.3,2193331,1157660,66.1,790248,45.1,351267,431210,7752,19
North Dakota,344170,45163,59147,317029,41601,316250,54349,197376,25.9,196825,33.8,110128,14.5,109943,18.9,157170,178200,8800,0,4950,155381,156698,0,53277,52099,4752,0,53260,51935,4748,0,105376,25.9,196825,33.8,13.8,105195,18.1,197376,87843,73.3,56122,46.8,27957,27231,934,0
Nebraska,833730,43100,57170,666417,34451,665289,45620,429096,22.2,428378,29.4,247494,12.8,247067,16.9,392730,417500,23500,0,15627,324462,324996,1332,112982,118093,16090,329,112955,117698,16085,329,231404,22.2,428378,29.4,12,230982,15.8,429096,221906,71,114249,36.6,51861,60967,1176,245
New Hampshire,565165,41565,51171,460696,33882,459521,41606,333706,24.5,332853,30.1,155650,11.4,155331,14.1,250965,298400,15800,0,11487,255457,193725,27,87617,56261,11767,5,87550,56022,11754,5,143883,24.5,332853,30.1,10.6,143577,13,333706,187589,73.9,68014,26.8,33951,25889,8172,2
New Jersey,3577765,40280,51526,3065373,34511,3057101,44028,2126722,23.9,2120466,30.5,1084991,12.2,1082954,15.6,1713465,1768700,95600,0,44806,1584516,1435576,475,529646,510948,44392,5,529567,509000,44382,5,1040599,23.9,2120466,30.5,11.7,1038572,15,2126722,864362,58.6,439479,29.8,208225,218306,12945,3
New Mexico,1035005,49360,63850,942171,44933,936071,57747,608238,29,602849,37.2,348248,16.6,346460,21.4,514605,494800,25600,0,3190,428175,509658,1148,144482,200233,3250,283,144428,198501,3248,283,344998,29,602849,37.2,16.5,343212,21.2,608238,230286,61,135354,35.8,62168,71472,1547,167
Nevada,1169770,37978,48995,989342,32120,988545,41405,622883,20.2,622324,26.1,352638,11.4,352424,14.8,551070,586200,32500,0,11297,452613,525432,0,157510,183931,11197,0,157496,183732,11196,0,341441,20.2,622324,26.1,11.1,341228,14.3,622883,307797,62.1,176311,35.5,78723,93086,4502,0
New York State,8237955,42347,53406,6295058,32359,6285922,40751,4226938,21.7,4219139,27.4,2049086,10.5,2047630,13.3,4038255,4003600,196100,0,94381,3072790,3127206,681,996049,959393,93526,118,995911,958079,93522,118,1955560,21.7,4219139,27.4,10.1,1954108,12.7,4226938,1814695,55.1,897871,27.2,419228,445690,32888,65
Ohio,4748935,40627,52123,3732147,31928,3728592,40924,2388057,20.4,2385681,26.2,1387721,11.9,1386546,15.2,2245035,2370900,133000,0,81089,1894944,1753285,2829,675547,631342,80033,799,675503,630223,80022,798,1307688,20.4,2385681,26.2,11.2,1306524,14.3,2388057,1319788,64.5,774765,37.9,338110,409639,26482,534
Oklahoma,1981405,50074,65943,1465197,37028,1461727,48647,942162,23.8,939185,31.3,513020,13,512653,17.1,931905,1000800,48700,0,12299,691940,760950,8,236363,264478,12178,1,236351,264125,12176,1,500842,23.8,939185,31.3,12.7,500477,16.7,942162,430228,67.7,304786,48,160897,140423,3466,0
Oregon,1642605,38945,49016,1366471,32398,1362633,40661,870504,20.6,868178,25.9,498278,11.8,496799,14.8,760305,834500,47800,0,11935,685097,668475,964,236246,249947,11925,160,236098,248622,11919,160,486353,20.6,868178,25.9,11.5,484880,14.5,870504,412910,53.9,160792,21,67933,84363,8424,72
Pennsylvania,5446125,42541,53565,4191298,32739,4183874,41150,2812196,22,2806693,27.6,1378528,10.8,1376648,13.5,2600325,2701900,143900,0,2561,2087130,2101506,101,689023,684642,4789,74,688874,682913,4788,73,1373739,22,2806693,27.6,10.7,1371860,13.5,2812196,1352312,56.5,636896,26.6,333523,301546,1786,41
Puerto Rico,1439970,45088,57805,748875,23449,748451,30045,473423,14.8,473112,19,279836,8.8,279720,11.2,675870,725600,38500,0,2186,321915,424526,248,116233,161394,2202,7,116215,161298,2200,7,277634,14.8,473112,19,8.7,277520,11.1,473423,227817,42,106538,19.6,50343,55785,410,0
Rhode Island,463415,43745,54209,374193,35323,373799,43726,267498,25.3,267227,31.3,111247,10.5,111129,13,210015,241500,11900,0,3386,196011,174796,0,59582,48187,3477,1,59579,48072,3477,1,107770,25.3,267227,31.3,10.2,107652,12.6,267498,143424,76.7,37120,19.8,16503,20017,600,0
Republic of Palau,14800,82649,105964,9694,54135,9694,69406,6660,37.2,6660,47.7,3137,17.5,3137,22.5,0,14600,200,0,0,9693,1,0,3124,13,0,0,3124,13,0,0,3137,37.2,6660,47.7,17.5,3137,22.5,6660,1314,43.2,1070,35.2,1062,8,0,0
South Carolina,1935035,37583,47926,1583500,30755,1581839,39178,1017665,19.8,1016430,25.2,574646,11.2,574232,14.2,993135,882900,59000,0,18532,580833,983111,1024,165899,390808,17734,205,165874,390429,17724,205,556912,19.8,1016430,25.2,10.8,556508,13.8,1017665,627020,66.9,379217,40.5,124526,250635,3916,140
South Dakota,457035,51662,68464,373065,42170,372069,55736,241971,27.4,241270,36.1,134683,15.2,134400,20.1,205335,241100,10600,0,3263,188510,181279,13,65107,66370,3202,4,65100,66094,3202,4,131481,27.4,241270,36.1,14.9,131198,19.7,241971,120872,79.6,68078,44.8,31849,35734,494,1
Tennessee,2718400,39806,51106,1921346,28134,1920192,36100,1238369,18.1,1237353,23.3,659519,9.7,659357,12.4,1275300,1374200,68900,0,10840,935222,973168,2116,293770,354003,11179,567,293754,353867,11170,566,648340,18.1,1237353,23.3,9.5,648187,12.2,1238369,664828,58.1,374237,32.7,183116,188192,2540,389
Texas,10967665,37825,50785,8421946,29045,8389713,38848,5417558,18.7,5396264,25,2827711,9.8,2816597,13,5301465,5321500,344700,0,145099,4083824,4192761,262,1372993,1311597,143003,118,1367596,1306442,142441,118,2684919,18.7,5396264,25,9.3,2674366,12.4,5417558,2230951,59.7,1271339,34,617298,589694,64294,53
Utah,1144940,35713,50332,1007495,31426,1004597,44162,611477,19.1,609359,26.8,265873,8.3,265354,11.7,528840,585700,30400,0,21055,478578,507862,0,121740,123673,20460,0,121692,123217,20445,0,245413,19.1,609359,26.8,7.7,244909,10.8,611477,248382,67.9,97847,26.7,36866,56194,4787,0
Virginia,3291575,38563,49314,2892286,33885,2886920,43252,1872241,21.9,1868322,28,1066807,12.5,1065436,16,1564875,1638100,88600,0,62715,1364178,1465118,275,480956,523505,62254,92,480750,522428,62166,92,1004553,21.9,1868322,28,11.8,1003270,15,1872241,846212,62.3,442914,32.6,204544,215607,22703,60
Veterans Health,3553105,N/A,N/A,3065999,N/A,3065877,N/A,1917144,N/A,1917072,N/A,1171730,N/A,1171678,N/A,1528605,1952100,72400,0,24418,1656175,1385405,1,598884,548437,24409,0,598867,548404,24407,0,1147321,N/A,1917072,N/A,0,1147271,0,1917144,1233234,0,818219,0,430954,377984,9281,0
Virgin Islands,46500,44421,56950,27210,25994,27093,33182,17923,17.1,17817,21.8,8559,8.2,8549,10.5,27300,18800,400,0,0,11829,15381,0,4266,4288,5,0,4261,4283,5,0,8554,17.1,17817,21.8,8.2,8544,10.5,17923,6846,38.5,3854,21.7,2123,1727,4,0
Vermont,292890,46938,57431,231610,37118,231298,45354,149158,23.9,148960,29.2,77769,12.5,77641,15.2,136890,148700,7300,0,414,119777,111207,212,38523,38699,489,58,38512,38583,488,58,77280,23.9,148960,29.2,12.4,77153,15.1,149158,89551,71.6,32425,25.9,13306,19057,26,36
Washington,3132270,41133,52627,2562529,33652,2558892,42993,1638176,21.5,1635470,27.5,926711,12.2,925784,15.6,1487070,1560400,84800,0,19616,1263123,1278566,1224,478163,428282,19910,356,478109,427409,19910,356,906801,21.5,1635470,27.5,11.9,905874,15.2,1638176,826672,68.3,486315,40.2,254579,223976,7496,264
Wisconsin,2233235,38356,49019,2072866,35601,2070130,45439,1324859,22.8,1322867,29,737620,12.7,736886,16.2,1036035,1133800,63400,0,5407,953986,1113297,176,310341,421469,5762,48,310316,420763,5759,48,731858,22.8,1322867,29,12.6,731127,16,1324859,736697,72.4,414699,40.8,187529,226576,568,26
West Virginia,823965,45976,57516,684336,38185,683439,47707,417836,23.3,417221,29.1,259988,14.5,259736,18.1,352365,450200,21400,0,1317,346504,336515,0,128247,129947,1782,12,128195,129749,1780,12,258206,23.3,417221,29.1,14.4,257956,18,417836,218751,59.6,142647,38.9,71231,70895,515,6
Wyoming,270015,46654,60674,211910,36615,211646,47558,129196,22.3,128985,29,80582,13.9,80530,18.1,120315,143200,6500,0,1347,108885,101608,70,40426,38855,1290,11,40423,38806,1290,11,79292,22.3,128985,29,13.7,79240,17.8,129196,63807,64.3,47609,48,24102,23218,282,7
