COVID-19 Vaccinations in the United States
Date generated: Tue Apr 27 2021 15:15:38 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Dept of Defense,3547800,N/A,N/A,2783540,N/A,2765544,N/A,1727172,N/A,1712552,N/A,1040548,N/A,1037503,N/A,1903200,1475100,169500,0,63940,1241320,1477881,399,431994,547529,61025,0,431953,544543,61007,0,979523,N/A,1712552,N/A,0,976496,0,1727172,159809,0,108522,0,37845,67801,2876,0,274010,0,0
Delaware,903465,92781,117304,723678,74318,716597,93041,441610,45.4,436615,56.7,294332,30.2,293194,38.1,469365,383500,50600,0,33506,285531,404437,204,103596,157909,32739,88,103572,156819,32715,88,261593,45.4,436615,56.7,26.9,260479,33.8,441610,164472,87.1,135909,71.9,55055,74011,6787,56,301620,159667,478262
Florida,19584145,91183,113546,14608762,68018,14528007,84231,8706265,40.5,8633895,50.1,5906447,27.5,5898719,34.2,10142145,8098200,1343800,0,532320,6394298,7659543,22601,2442455,2929910,526716,7366,2441817,2923081,526455,7366,5379731,40.5,8633895,50.1,25,5372264,31.1,8706265,3748879,83.4,3068245,68.2,1538171,1398171,126024,5879,7098261,157833,435461
Federated States of Micronesia,63200,60979,78177,32132,31003,32115,39726,19735,19,19719,24.4,12525,12.1,12524,15.5,0,61600,1600,0,95,32037,0,0,12404,23,98,0,12403,23,98,0,12427,19,19719,24.4,12,12426,15.4,19735,1762,10,1255,7.1,1223,5,27,0,2967,16840,358704
Georgia,8793835,82825,108385,6011504,56619,5952726,73368,3623541,34.1,3577187,44.1,2388290,22.5,2375808,29.3,4573335,3722600,497900,0,140184,2729532,3141431,357,1077926,1172985,137153,226,1077757,1160880,136947,224,2251137,34.1,3577187,44.1,21.2,2238861,27.6,3623541,1145295,75.5,934903,61.6,529648,387372,17750,133,2143648,141313,579703
Guam,140740,84902,108848,123487,74494,120861,93474,73651,44.4,71689,55.4,50262,30.3,49600,38.4,76440,53200,11100,0,1210,47770,74507,0,19460,29587,1215,0,19457,28928,1215,0,49047,44.4,71689,55.4,29.6,48385,37.4,73651,13561,48.1,11469,40.7,4850,6520,99,0,25093,89042,499414
Hawaii,1370040,96763,122763,1167288,82443,1156021,103586,712493,50.3,702381,62.9,478866,33.8,477085,42.7,735540,564500,70000,0,20020,400764,652744,93760,163248,277089,20463,18066,163129,275516,20391,18049,458403,50.3,702381,62.9,32.4,456694,40.9,712493,225479,84,180320,67.2,72738,101742,4431,1409,400008,149008,510356
Iowa,2664745,84459,109740,2295425,72754,2276637,93757,1364722,43.3,1349290,55.6,1009439,32,1006165,41.4,1328145,1174200,162400,0,90105,1066456,1138742,122,461417,459111,88864,47,461367,455928,88823,47,920575,43.3,1349290,55.6,29.2,917342,37.8,1364722,468713,84.8,427675,77.3,230143,190183,7313,36,893425,161573,481911
Idaho,1386985,77612,103594,1048785,58688,1048745,78331,596746,33.4,596656,44.6,463848,26,463816,34.6,710385,593500,83100,0,30405,468959,548951,470,198452,234967,30289,140,198449,234948,30279,140,433559,33.4,596656,44.6,24.3,433537,32.4,596746,220652,75.9,200295,68.9,93715,99936,6583,61,419556,144341,477168
Indian Health Svc,1673335,80340,N/A,1216928,58427,1190306,N/A,705988,33.9,689324,N/A,522824,25.1,512904,N/A,700635,899700,73000,0,19398,681980,515550,0,281756,221817,19251,0,281601,212082,19221,0,503573,33.9,689324,N/A,24.2,493683,0,705988,143841,0,113472,0,65199,46241,2032,0,258247,0,0
Illinois,11286585,89068,114539,9093034,71758,8994443,91278,5716080,45.1,5630305,57.1,3665234,28.9,3648099,37,5834985,4742400,709200,0,304719,3908719,4874903,4693,1496849,1861529,305289,1567,1495646,1846833,304057,1563,3359945,45.1,5630305,57.1,26.5,3344042,33.9,5716080,1700307,83.2,1308548,64,611735,649905,45942,966,2964561,145092,552389
Indiana,5220380,77543,101087,3985688,59203,3958463,76651,2365148,35.1,2342505,45.4,1701402,25.3,1698968,32.9,2680080,2203000,337300,0,125955,1686884,2165389,7460,688416,885869,124662,2455,688359,883560,124595,2454,1576740,35.1,2342505,45.4,23.4,1574373,30.5,2365148,842944,77.6,768068,70.7,386060,365204,15177,1627,1619753,149184,480812
Kansas,2576035,88423,116401,1962004,67346,1945464,87908,1221259,41.9,1206881,54.5,877245,30.1,872500,39.4,1277835,1155100,143100,0,56881,911444,993170,509,392393,427322,57385,145,392335,422670,57350,145,819860,41.9,1206881,54.5,28.1,815150,36.8,1221259,415915,87.5,341601,71.8,166869,164135,10515,82,727645,153032,541768
Kentucky,3747885,83889,108170,3056552,68415,3033034,87538,1803727,40.4,1786016,51.5,1365608,30.6,1360265,39.3,1895985,1630400,221500,0,106454,1381951,1567854,293,587376,674208,103799,225,587304,668992,103745,224,1261809,40.4,1786016,51.5,28.2,1256520,36.3,1803727,600475,80,512145,68.2,232098,254902,25008,137,1071859,142807,499342
Louisiana,3612910,77717,101453,2660514,57230,2644593,74262,1483708,31.9,1473018,41.4,1204822,25.9,1199743,33.7,1836510,1554000,222400,0,91010,1229978,1338559,967,517450,599594,87298,480,517365,594671,87228,479,1117524,31.9,1473018,41.4,24,1112515,31.2,1483708,549546,74.2,500569,67.6,235360,249263,15849,97,1056829,142618,487558
Massachusetts,6771230,98241,122231,5855519,84955,5792576,104565,3696940,53.6,3644580,65.8,2346322,34,2335060,42.2,3489330,2905900,376000,0,210817,2533755,3110858,89,980365,1154435,211506,16,979809,1144323,210912,16,2134816,53.6,3644580,65.8,31,2124148,38.3,3696940,1058910,90.6,888839,76,407737,427937,53155,10,1893983,161971,579068
Maryland,5544960,91718,117703,4554368,75333,4505302,95634,2817213,46.6,2776245,58.9,1928628,31.9,1921178,40.8,2934360,2299000,311600,0,184679,1967789,2399036,2864,791962,956965,178882,819,791868,949703,178790,817,1749746,46.6,2776245,58.9,28.9,1742388,37,2817213,800631,83.5,697031,72.7,342796,315343,38528,364,1445123,150628,577964
Maine,1265690,94159,115549,1108830,82489,1101637,100572,699989,52.1,693105,63.3,487794,36.3,487429,44.5,636090,549400,80200,0,70232,490936,547539,123,198451,219133,70177,33,198425,218826,70150,28,417617,52.1,693105,63.3,31.1,417279,38.1,699989,255931,89.7,232607,81.5,105272,109990,17333,12,468839,164352,443689
Marshall Islands,51300,87823,112594,25737,44060,25691,56387,14205,24.3,14167,31.1,11538,19.8,11528,25.3,0,40500,10800,0,35,25702,0,0,11496,3,39,0,11486,3,39,0,11499,24.3,14167,31.1,19.7,11489,25.2,14205,902,9.1,754,7.6,751,0,3,0,1653,16647,516616
Michigan,8738230,87497,111415,6832809,68418,6766223,86272,4142490,41.5,4085275,52.1,3000458,30,2989831,38.1,4483830,3733700,520700,0,227541,2995833,3608184,1251,1281628,1486550,231781,499,1281430,1476241,231663,497,2768677,41.5,4085275,52.1,27.7,2758168,35.2,4142490,1387019,78.6,1233611,69.9,623795,564645,44830,341,2548414,144353,494971
Minnesota,4634790,82182,106879,4189925,74294,4146702,95624,2571363,45.6,2535400,58.5,1837471,32.6,1829712,42.2,2414490,1952700,267600,0,194666,1797154,2197870,235,743223,897339,196849,60,743099,889833,196720,60,1640622,45.6,2535400,58.5,29.1,1632992,37.7,2571363,799533,86.9,723556,78.6,307103,378716,37712,25,1469105,159619,503572
Missouri,5095385,83022,106892,3858945,62876,3830872,80365,2265084,36.9,2243117,47.1,1601567,26.1,1597601,33.5,2691585,2127700,276100,0,119593,1529548,2209462,342,619403,861938,120172,54,619294,858192,120062,53,1481395,36.9,2243117,47.1,24.1,1477539,31,2265084,797772,75.1,673017,63.4,307187,341302,24505,23,1485672,139889,479775
Northern Mariana Islands,62910,110597,141791,38485,67658,37865,85343,21548,37.9,21109,47.6,16977,29.8,16796,37.9,42510,17800,2600,0,43,5074,33368,0,2230,14700,47,0,2230,14519,47,0,16930,37.9,21109,47.6,29.8,16749,37.8,21548,2408,24.9,2248,23.2,341,1868,39,0,4619,47766,650569
Mississippi,2381005,80003,104542,1520706,51096,1513989,66474,898947,30.2,893928,39.2,664461,22.3,662704,29.1,1173705,1056300,151000,0,44876,736185,738785,860,315343,305220,43874,24,315287,303556,43837,24,620587,30.2,893928,39.2,20.9,618867,27.2,898947,347684,71.4,290678,59.7,155113,123586,11971,8,621011,127598,489221
Montana,963855,90183,114719,734717,68744,727591,86598,427551,40,422460,50.3,326467,30.5,324479,38.6,469755,433000,61100,0,21827,352392,360312,186,152917,152080,21413,57,152865,150158,21399,57,305054,40,422460,50.3,28.5,303080,36.1,427551,159703,77.4,141202,68.4,68732,67307,5130,33,294622,142718,466900
North Carolina,9241800,88117,112879,6767925,64530,6695376,81777,4034370,38.5,3978337,48.6,2888684,27.5,2871748,35.1,4816500,3881400,543900,0,234626,2836109,3696861,329,1145830,1511614,231208,32,1144977,1496334,230405,32,2657476,38.5,3978337,48.6,25.3,2641343,32.3,4034370,1340204,76.5,1157474,66.1,547685,584818,24948,23,2519956,143908,527773
North Dakota,626540,82216,107673,552616,72516,547268,94050,295754,38.8,292485,50.3,243968,32,242299,41.6,310440,284500,31600,0,21653,243545,287418,0,103894,121002,19071,1,103823,119472,19003,1,224897,38.8,292485,50.3,29.5,223296,38.4,295754,96762,80.7,84505,70.5,41828,39927,2750,0,186617,155715,522792
Nebraska,1690180,87375,115898,1380706,71376,1368466,93838,823642,42.6,813163,55.8,603756,31.2,601874,41.3,878280,715300,96600,0,51858,587737,738766,2345,245688,305425,51981,662,245633,303629,51951,661,551775,42.6,813163,55.8,28.5,549923,37.7,823642,260734,83.4,234548,75.1,113918,116460,3680,490,497874,159341,540930
New Hampshire,1227615,90285,111151,1129881,83097,1120547,101457,809520,59.5,801266,72.5,400809,29.5,399871,36.2,607815,537000,82800,0,50135,488949,590770,27,178373,171151,51272,13,178227,170381,51250,13,349537,59.5,801266,72.5,25.7,348621,31.6,809520,289645,99.9,183001,72.1,82464,88541,11988,8,449191,176942,483572
New Jersey,7963795,89660,114692,6974357,78521,6899974,99372,4435930,49.9,4377112,63,3008260,33.9,2991814,43.1,4192695,3325800,445300,0,269293,3048951,3655638,475,1235130,1501650,271456,24,1234965,1485479,271349,21,2736804,49.9,4377112,63,30.8,2720465,39.2,4435930,1245774,84.4,1017976,69,476264,479135,62565,12,2155079,146054,539723
New Mexico,1999255,95347,123335,1746428,83289,1723462,106322,1050052,50.1,1031833,63.7,748386,35.7,741703,45.8,1011855,863000,124400,0,45833,778592,919845,2158,309602,393171,45018,595,309439,386731,44938,595,703368,50.1,1031833,63.7,33.5,696765,43,1050052,323494,85.7,263585,69.8,120405,130427,12389,364,569489,150816,529455
Nevada,2396080,77791,100359,1985316,64455,1970165,82519,1193085,38.7,1179771,49.4,817847,26.6,816127,34.2,1244880,1004300,146900,0,71059,838365,1075892,0,331627,415975,70240,5,331590,414310,70222,5,747607,38.7,1179771,49.4,24.3,745905,31.2,1193085,377477,76.1,318201,64.2,152320,151400,14477,4,699654,141067,483108
New York State,17625975,90605,114267,14856419,76369,14731218,95501,8938559,45.9,8832705,57.3,6255867,32.2,6236314,40.4,9210825,7463000,952150,0,580654,6448023,7825086,2656,2592156,3096273,566898,540,2591749,3077415,566613,537,5688969,45.9,8832705,57.3,29.2,5669701,36.8,8938559,2532166,76.8,2140306,64.9,1039140,985931,114931,304,4578851,138915,534745
Ohio,10062385,86083,110441,8072314,69058,7992750,87726,4630975,39.6,4570708,50.2,3567394,30.5,3549592,39,5351385,4176500,534500,0,288865,3492769,4283531,7149,1473209,1813046,279025,2114,1473096,1795468,278923,2105,3288369,39.6,4570708,50.2,28.1,3270669,35.9,4630975,1604427,78.4,1449398,70.8,666823,722989,58332,1254,3040465,148582,491731
Oklahoma,3699765,93500,123131,2627397,66399,2600492,86547,1506745,38.1,1489456,49.6,1134715,28.7,1125705,37.5,1888965,1618100,192700,0,68393,1219068,1339902,34,502860,564167,67667,21,502745,555309,67630,21,1067048,38.1,1489456,49.6,27,1058075,35.2,1506745,504612,79.4,419855,66.1,220310,187235,12304,6,921856,145144,582519
Oregon,3557915,84356,106169,2908484,68958,2882511,86015,1797595,42.6,1776228,53,1214652,28.8,1209574,36.1,1781715,1549600,226600,0,94237,1286339,1526373,1535,520160,601024,93202,266,519791,596585,92934,264,1121450,42.6,1776228,53,26.6,1116640,33.3,1797595,605877,79.1,534128,69.7,243436,258531,32019,142,1101081,143729,464431
Pennsylvania,11822805,92351,116282,9613437,75093,9547615,93904,6103395,47.7,6047602,59.5,3868459,30.2,3857494,37.9,5974605,4998700,849500,0,330102,4131718,5151371,246,1541538,1991001,335725,195,1541123,1980605,335573,193,3532734,47.7,6047602,59.5,27.6,3521921,34.6,6103395,2183321,91.2,1582835,66.1,735503,801075,46140,117,3728797,155797,493983
Puerto Rico,2970670,93017,113343,1772977,55515,1763197,67273,1125923,35.3,1116094,42.6,726309,22.7,725882,27.7,1494870,1289400,186400,0,62447,706838,1003421,271,264784,399026,62487,12,264745,398711,62414,12,663822,35.3,1116094,42.6,20.8,663468,25.3,1125923,383871,70.7,303017,55.8,141323,151577,10114,3,673132,123982,547157
Rhode Island,1065185,100550,124603,872064,82320,864203,101092,536864,50.7,530055,62,367273,34.7,366352,42.9,562185,449300,53700,0,37845,369574,464621,24,147168,182487,37614,4,147159,181589,37600,4,329659,50.7,530055,62,31.1,328752,38.5,536864,169160,90.4,152575,81.6,70882,76851,4840,2,317583,169789,569478
Republic of Palau,24600,137376,176129,19312,107846,19312,138269,11670,65.2,11670,83.6,8002,44.7,8002,57.3,0,20800,3800,0,197,19114,1,0,7790,15,197,0,7790,15,197,0,7805,65.2,11670,83.6,43.6,7805,55.9,11670,1543,50.7,1441,47.3,1342,8,91,0,2852,93693,808147
South Carolina,4313565,83779,106837,3111127,60425,3087877,76479,1837768,35.7,1819604,45.1,1322487,25.7,1317370,32.6,2290665,1765900,257000,0,96571,1239429,1774072,1055,480763,747469,94048,207,480543,742773,93847,207,1228439,35.7,1819604,45.1,23.9,1223523,30.3,1837768,743534,79.4,620212,66.2,258581,343668,17822,141,1350129,144087,460348
South Dakota,859215,97124,128710,680026,76869,673754,100928,391407,44.2,386685,57.9,309054,34.9,307486,46.1,408915,397000,53300,0,18135,314163,347715,13,139328,151516,18202,8,139298,149985,18195,8,290852,44.2,386685,57.9,32.9,289291,43.3,391407,133931,88.2,122163,80.4,63383,56221,2554,5,250639,165034,565753
Tennessee,5396000,79014,101445,3877011,56771,3850932,72398,2296223,33.6,2275932,42.8,1586811,23.2,1581319,29.7,2784600,2284900,326500,0,107606,1704244,2059902,5259,675974,804311,104991,1535,675851,799063,104872,1533,1481820,33.6,2275932,42.8,21.7,1476447,27.8,2296223,831366,72.7,683263,59.8,351138,312083,19067,975,1536400,134372,471929
Texas,23721275,81809,109841,18093739,62401,17872941,82760,10796687,37.2,10661963,49.4,7332085,25.3,7240593,33.5,12313275,9824000,1584000,0,641084,7965007,9486948,700,3068387,3635059,628083,556,3030099,3589699,620246,549,6705516,37.2,10661963,49.4,23.1,6621843,30.7,10796687,2902150,77.7,2419589,64.8,1012568,1199569,207267,183,5245212,140463,635239
Utah,2367860,73858,104092,2035687,63497,2003687,88083,1218503,38,1192806,52.4,705703,22,699942,30.8,1191060,1039000,137800,0,84049,883730,1067908,0,279645,345094,80964,0,279547,339522,80873,0,624739,38,1192806,52.4,19.5,619069,27.2,1218503,304107,83.1,201280,55,87810,103206,10264,0,566112,154730,647183
Virginia,7521285,88117,112684,6344228,74327,6269489,93930,3895692,45.6,3835111,57.5,2626636,30.8,2611878,39.1,3920085,3186600,414600,0,214564,2665432,3462454,1778,1063425,1349158,213504,549,1062435,1336005,212890,548,2413132,45.6,3835111,57.5,28.3,2398988,35.9,3895692,1121995,82.6,946012,69.6,454857,443462,47342,351,2029231,149328,553481
Veterans Health,6205925,N/A,N/A,4848937,N/A,4848457,N/A,2657016,N/A,2656627,N/A,2304733,N/A,2304627,N/A,2729025,2956700,520200,0,114924,2539160,2194851,2,1168447,1021428,114857,1,1168425,1021360,114841,1,2189876,N/A,2656627,N/A,0,2189786,0,2657016,1426132,0,1315857,0,736495,539753,39608,1,2702900,0,0
Virgin Islands,65880,62935,80686,59602,56937,59019,72283,32619,31.2,32287,39.5,24737,23.6,24540,30.1,43680,21500,700,0,302,19760,39540,0,8439,15981,317,0,8432,15791,317,0,24420,31.2,32287,39.5,23.3,24223,29.7,32619,10985,61.7,8864,49.8,3742,4989,133,0,19844,111508,370196
Vermont,633640,101547,124247,537515,86142,534381,104784,328621,52.7,326160,64,222382,35.6,221711,43.5,306540,286900,40200,0,23741,240620,272632,522,90439,108372,23392,179,90423,107735,23374,179,198990,52.7,326160,64,31.9,198337,38.9,328621,118327,94.6,103538,82.8,50378,52482,559,119,226935,181491,506754
Washington,6667750,87562,112029,5574043,73199,5524894,92827,3395402,44.6,3355658,56.4,2329920,30.6,2320809,39,3363750,2910400,393600,0,193698,2398023,2978857,3465,951868,1183390,193840,822,951718,1174528,193741,822,2136080,44.6,3355658,56.4,28.1,2127068,35.7,3395402,1023054,84.6,921169,76.1,424399,459375,36832,563,1925820,159195,551180
Wisconsin,5004705,85956,109853,4490374,77122,4442707,97517,2610847,44.8,2574226,56.5,1948128,33.5,1939014,42.6,2499705,2221700,283300,0,170505,1929881,2389531,457,788869,994836,164223,200,788746,985931,164138,199,1783905,44.8,2574226,56.5,30.6,1774876,39,2610847,875244,86,805516,79.2,394792,394285,16354,85,1705090,167619,491987
West Virginia,1624925,90669,113426,1139496,63583,1126384,78626,632384,35.3,623597,43.5,519432,29,515390,36,782925,746500,95500,0,19033,548549,571914,0,241469,258012,19888,63,241365,254099,19863,63,499544,35.3,623597,43.5,27.9,495527,34.6,632384,257297,70.1,230340,62.8,118759,108267,3273,41,485483,132280,442746
Wyoming,476085,82260,106979,348679,60246,346475,77855,194530,33.6,192921,43.4,155469,26.9,154945,34.8,215085,229600,31400,0,11260,169827,167412,180,71758,73115,10566,30,71750,72603,10562,30,144903,33.6,192921,43.4,25,144383,32.4,194530,72215,72.8,65314,65.9,33963,29631,1707,13,136127,137254,480026
