COVID-19 Vaccinations in the United States
Date generated: Mon Mar 01 2021 15:09:44 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Marshall Islands,21000,35951,46091,11197,19169,11189,24558,8819,15.1,8810,19.3,2332,4,2331,5.1
Michigan,2704700,27083,34486,2318415,23215,2317907,29554,1491316,14.9,1490960,19,842942,8.4,842790,10.7
Minnesota,1599790,28367,36891,1393985,24718,1393248,32129,941537,16.7,941021,21.7,455544,8.1,455312,10.5
Missouri,1694635,27611,35550,1279404,20846,1278948,26830,807368,13.2,807044,16.9,412856,6.7,412747,8.7
Northern Mariana Islands,29650,52125,66827,18363,32283,18358,41377,10707,18.8,10703,24.1,7641,13.4,7640,17.2
Mississippi,869955,29231,38197,619251,20807,619141,27184,413930,13.9,413847,18.2,210798,7.1,210769,9.3
Montana,341645,31966,40663,281422,26331,281160,33464,188782,17.7,188571,22.4,92720,8.7,92674,11
North Carolina,2985475,28465,36464,2467755,23529,2466128,30121,1574172,15,1573136,19.2,859255,8.2,858664,10.5
North Dakota,246570,32356,42374,234209,30734,233969,40208,147054,19.3,146879,25.2,77942,10.2,77889,13.4
Nebraska,603210,31183,41363,474439,24526,473994,32502,309977,16,309666,21.2,158802,8.2,158665,10.9
New Hampshire,412275,30321,37328,321602,23652,321037,29067,233437,17.2,233034,21.1,99875,7.3,99738,9
New Jersey,2508320,28240,36124,2065666,23256,2063664,29720,1423424,16,1421892,20.5,722507,8.1,722032,10.4
New Mexico,738705,35230,45571,705538,33648,703855,43421,467493,22.3,465818,28.7,245357,11.7,245081,15.1
Nevada,867240,28156,36324,685692,22262,685496,28712,447761,14.5,447617,18.7,225648,7.3,225600,9.4
New York State,5757205,29595,37323,4225250,21720,4223631,27381,2691322,13.8,2690016,17.4,1430288,7.4,1429954,9.3
Ohio,3301865,28247,36240,2599806,22241,2598663,28522,1686825,14.4,1686077,18.5,896436,7.7,896037,9.8
Oklahoma,1399890,35378,46589,1095362,27682,1094785,36435,688342,17.4,687885,22.9,393028,9.9,392930,13.1
Oregon,1241415,29433,37044,994403,23577,993091,29634,632080,15,631270,18.8,352906,8.4,352420,10.5
Pennsylvania,3915545,30585,38511,2751844,21495,2750020,27047,1911844,14.9,1910500,18.8,833444,6.5,832966,8.2
Puerto Rico,1036820,32465,39559,549615,17209,549457,20964,355184,11.1,355052,13.5,194630,6.1,194604,7.4
Rhode Island,308415,29113,36078,256755,24237,256636,30021,183254,17.3,183173,21.4,73919,7,73883,8.6
Republic of Palau,9200,51377,65870,8185,45708,8185,58602,5143,28.7,5143,36.8,3125,17.5,3125,22.4
South Carolina,1339205,26010,33169,1086550,21103,1085583,26887,737658,14.3,736963,18.3,345618,6.7,345357,8.6
South Dakota,329300,37223,49329,278285,31457,277947,41636,184028,20.8,183771,27.5,93922,10.6,93847,14.1
Tennessee,1965740,28784,36956,1359382,19906,1359170,25553,878954,12.9,878778,16.5,458159,6.7,458110,8.6
Texas,7615175,26263,35262,5566612,19198,5548777,25693,3533100,12.2,3521373,16.3,1804118,6.2,1798130,8.3
Utah,820950,25607,36089,688505,21476,687934,30242,391851,12.2,391467,17.2,177863,5.5,177756,7.8
Virginia,2536495,29717,38002,2086194,24441,2084773,31234,1349077,15.8,1348001,20.2,721028,8.4,720735,10.8
Veterans Health,2597405,N/A,N/A,2303674,N/A,2303655,N/A,1497145,N/A,1497131,N/A,805178,N/A,805173,N/A
Virgin Islands,36080,34467,44189,19369,18503,19357,23707,12681,12.1,12671,15.5,6338,6.1,6335,7.8
Vermont,206910,33159,40572,162558,26051,162435,31851,104583,16.8,104494,20.5,54139,8.7,54100,10.6
Washington,2245010,29482,37720,1729208,22708,1728272,29038,1134837,14.9,1134181,19.1,582467,7.6,582190,9.8
Wisconsin,1588665,27285,34871,1470570,25257,1469958,32265,958333,16.5,957911,21,500342,8.6,500147,11
West Virginia,605255,33773,42249,532295,29702,531837,37124,317008,17.7,316727,22.1,205102,11.4,204956,14.3
Wyoming,195855,33841,44010,156397,27023,156344,35132,99849,17.3,99809,22.4,54368,9.4,54356,12.2
