COVID-19 Vaccinations in the United States
Date generated: Thu Mar 18 2021 15:14:38 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident
Dept of Defense,2042680,N/A,N/A,1531345,N/A,1527088,N/A,954481,N/A,950896,N/A,533479,N/A,532970,N/A,1088880,907900,45900,0,5658,723914,801374,399,238776,291960,2743,0,238746,291483,2741,0,530736,N/A,950896,N/A,0,530229,0,954481,119012,0,63057,0,20157,42767,133,0
Delaware,461335,47376,59899,346179,35551,345895,44910,218487,22.4,218282,28.3,124533,12.8,124470,16.2,224835,224600,11900,0,6702,153731,185708,38,58327,59456,6737,13,58315,59405,6737,13,117796,22.4,218282,28.3,12.1,117733,15.3,218487,133117,70.5,76390,40.4,37364,34324,4695,7
Florida,9981955,46476,57874,7332554,34140,7323663,42461,4524707,21.1,4517004,26.2,2562319,11.9,2561217,14.8,4904055,4777700,300200,0,113273,3652660,3557308,9313,1228220,1218202,112774,3123,1227655,1217700,112739,3123,2449545,21.1,4517004,26.2,11.4,2448478,14.2,4524707,3039604,67.6,1874664,41.7,928683,904460,38829,2692
Federated States of Micronesia,47400,45734,58633,20882,20148,20877,25824,12817,12.4,12812,15.8,8100,7.8,8100,10,0,46600,800,0,0,20882,0,0,8081,19,0,0,8081,19,0,0,8100,12.4,12812,15.8,7.8,8100,10,12817,1262,7.2,870,4.9,866,4,0,0
Georgia,4284205,40351,52803,2814158,26505,2811394,34651,1710417,16.1,1708037,21.1,1050574,9.9,1050084,12.9,1942005,2230300,111900,0,27253,1534831,1251845,229,568351,454738,27347,138,568283,454412,27251,138,1023227,16.1,1708037,21.1,9.6,1022833,12.6,1710417,931063,61.4,634087,41.8,378174,252099,3728,86
Guam,87860,53002,67951,68451,41293,68404,52904,38212,23.1,38184,29.5,29677,17.9,29660,22.9,48360,38200,1300,0,5,34921,33525,0,14739,14933,5,0,14737,14918,5,0,29672,23.1,38184,29.5,17.9,29655,22.9,38212,11232,39.9,9615,34.1,4203,5410,2,0
Hawaii,735390,51939,65895,559118,39489,558173,50015,349281,24.7,347973,31.2,215871,15.2,215645,19.3,390390,327300,17700,0,3129,198721,263508,93760,80828,113838,3191,18014,80791,113674,3183,17997,212680,24.7,347973,31.2,15,212462,19,349281,135086,50.3,83913,31.3,40297,41282,927,1407
Iowa,1377395,43657,56724,1155384,36620,1153267,47494,756625,24,755248,31.1,429403,13.6,428652,17.7,631995,706600,38800,0,29993,617250,508022,119,219099,180038,30257,9,219089,179305,30249,9,399146,24,755248,31.1,12.7,398403,16.4,756625,404048,73.1,203703,36.8,104976,96221,2503,3
Idaho,726515,40654,54264,566777,31716,566758,42331,349038,19.5,349011,26.1,215734,12.1,215721,16.1,346515,361300,18700,0,5744,290184,270664,185,109371,100687,5640,36,109370,100681,5634,36,210094,19.5,349011,26.1,11.8,210087,15.7,349038,188520,64.9,109256,37.6,49917,57057,2261,21
Indian Health Svc,1315655,63167,N/A,781325,37513,771653,N/A,502449,24.1,495254,N/A,275418,13.2,272988,N/A,508755,785000,21900,0,2833,432674,345818,0,139024,133568,2826,0,138972,131196,2820,0,272592,24.1,495254,N/A,13.1,270168,0,502449,125137,0,86049,0,47326,38453,270,0
Illinois,5664615,44702,57486,4469795,35274,4460982,45271,2909272,23,2902747,29.5,1592976,12.6,1590703,16.1,2733315,2779600,151700,0,64191,2197210,2206693,1701,751992,778387,62070,527,751808,776395,61973,527,1530906,23,2902747,29.5,12.1,1528730,15.5,2909272,1286950,63,707834,34.6,355297,336127,16080,330
Indiana,2817710,41854,54562,2206988,32782,2205962,42716,1345400,20,1344723,26,875577,13,875220,16.9,1380210,1360100,77400,0,31845,1023762,1148583,2798,403609,438971,31989,1008,403577,438649,31986,1008,843588,20,1344723,26,12.5,843234,16.3,1345400,734079,67.6,558125,51.4,291627,261797,3953,748
Kansas,1371785,47087,61986,931281,31966,929607,42005,638421,21.9,637198,28.8,339940,11.7,339377,15.3,628485,708800,34500,0,10950,513958,406200,173,178211,150244,11411,74,178192,149706,11405,74,328529,21.9,637198,28.8,11.3,327972,14.8,638421,318151,66.9,160261,33.7,83076,73909,3227,49
Kentucky,1953155,43718,56371,1582305,35417,1579676,45592,1072092,24,1070426,30.9,559194,12.5,558839,16.1,949455,955600,48100,0,29365,794977,757874,89,273577,258100,27451,66,273559,257777,27437,66,531743,24,1070426,30.9,11.9,531402,15.3,1072092,477241,63.6,255235,34,107673,138704,8817,41
Louisiana,2062360,44363,57913,1519050,32676,1517942,42625,963135,20.7,962171,27,563448,12.1,563305,15.8,1011660,994200,56500,0,36021,670813,811420,796,217499,310667,34924,358,217483,310560,34905,357,528524,20.7,962171,27,11.4,528400,14.8,963135,480654,64.9,351489,47.4,150019,193061,8339,70
Massachusetts,3159090,45834,57026,2710203,39321,2705072,48831,1805897,26.2,1802292,32.5,942557,13.7,941114,17,1462890,1608600,87600,0,63199,1332918,1314041,45,414544,464890,63116,7,414448,463565,63094,7,879441,26.2,1802292,32.5,12.8,878020,15.8,1805897,842162,72,426965,36.5,158368,235747,32847,3
Maryland,2671490,44188,56708,2082976,34454,2079975,44152,1397258,23.1,1394868,29.6,782003,12.9,781355,16.6,1295190,1311100,65200,0,52539,1022536,1006616,1285,353782,376294,51582,345,353741,375697,51572,345,730421,23.1,1394868,29.6,12.1,729783,15.5,1397258,622148,64.8,332836,34.7,151173,160176,21328,159
Maine,636990,47388,58153,528359,39306,527886,48192,354939,26.4,354642,32.4,193048,14.4,192860,17.6,285090,335000,16900,0,14786,263167,250373,33,89638,88531,14873,6,89617,88366,14871,6,178175,26.4,354642,32.4,13.3,177989,16.2,354939,206153,72.3,104928,36.8,40847,55881,8197,3
Marshall Islands,35600,60945,78135,17112,29295,17087,37503,11597,19.9,11571,25.4,5464,9.4,5463,12,0,35000,600,0,0,17112,0,0,5460,2,2,0,5459,2,2,0,5462,19.9,11571,25.4,9.4,5461,12,11597,803,8.1,450,4.5,448,0,2,0
Michigan,4357770,43635,55563,3310710,33151,3308545,42185,2152908,21.6,2151349,27.4,1216351,12.2,1215725,15.5,2111070,2135500,111200,0,26649,1563273,1720788,0,516726,672187,27393,45,516671,671631,27378,45,1188958,21.6,2151349,27.4,11.9,1188347,15.2,2152908,1139328,64.5,628895,35.6,288485,329846,10529,35
Minnesota,2494350,44229,57520,2080648,36893,2077821,47915,1379321,24.5,1377166,31.8,758802,13.5,758076,17.5,1218750,1214700,60900,0,48119,976331,1056010,188,325623,384819,48318,42,325589,384142,48303,42,710484,24.5,1377166,31.8,12.6,709773,16.4,1379321,708428,77,372637,40.5,156011,188181,28429,16
Missouri,2623475,42746,55036,1939762,31605,1937952,40655,1235858,20.1,1234530,25.9,663018,10.8,662613,13.9,1330875,1226600,66000,0,27453,808872,1103179,258,245758,389406,27827,27,245725,389046,27816,26,635191,20.1,1234530,25.9,10.3,634797,13.3,1235858,628303,59.2,325697,30.7,139492,176467,9730,8
Northern Mariana Islands,44010,77371,99193,22934,40319,22908,51632,13356,23.5,13341,30.1,9562,16.8,9551,21.5,30810,12800,400,0,0,2786,20148,0,812,8750,0,0,812,8739,0,0,9562,23.5,13341,30.1,16.8,9551,21.5,13356,2131,22,1913,19.8,267,1646,0,0
Mississippi,1314855,44180,57731,921413,30960,920942,40435,604746,20.3,604382,26.5,335856,11.3,335747,14.7,582855,696700,35300,0,18080,487732,414996,605,171911,146436,17498,11,171891,146352,17493,11,318358,20.3,604382,26.5,10.7,318254,14,604746,289690,59.5,185490,38.1,100467,79793,5226,4
Montana,517205,48392,61558,406867,38068,405776,48296,257975,24.1,257175,30.6,154190,14.4,153913,18.3,229905,273400,13900,0,4599,218414,183759,95,80668,68832,4664,26,80650,68574,4663,26,149526,24.1,257175,30.6,14,149250,17.8,257975,129301,62.6,83010,40.2,40440,41026,1531,13
North Carolina,4596440,43825,56141,3630467,34615,3624000,44263,2337632,22.3,2332115,28.5,1321297,12.6,1320212,16.1,2291640,2181500,123300,0,83329,1593684,1953125,329,517986,721516,81770,25,517866,720712,81609,25,1239527,22.3,2332115,28.5,11.8,1238603,15.1,2337632,1182609,67.5,840962,48,382771,446136,12036,19
North Dakota,367000,48159,63070,325202,42674,324238,55721,200698,26.3,200004,34.4,114769,15.1,114550,19.7,167700,189600,9700,0,5821,158844,160537,0,55158,54091,5520,0,55141,53894,5515,0,109249,26.3,200004,34.4,14.3,109035,18.7,200698,88197,73.6,58989,49.2,29206,28736,1047,0
Nebraska,873070,45134,59868,712099,36812,710860,48745,457500,23.7,456681,31.3,265864,13.7,265429,18.2,430170,419400,23500,0,17344,342159,351183,1413,119510,128193,17801,360,119483,127791,17795,360,248063,23.7,456681,31.3,12.8,247634,17,457500,228001,73,127775,40.9,56573,69593,1336,273
New Hampshire,607415,44672,54997,478758,35210,477502,43234,345874,25.4,344951,31.2,163149,12,162818,14.7,280215,311400,15800,0,11731,264523,202477,27,92613,58429,12102,5,92543,58181,12089,5,151047,25.4,344951,31.2,11.1,150729,13.6,345874,192245,75.7,73047,28.8,37388,27305,8352,2
New Jersey,3878855,43670,55862,3254946,36646,3245450,46740,2251222,25.3,2244021,32.3,1162372,13.1,1160037,16.7,1850355,1932600,95900,0,53345,1662456,1538670,475,562583,546600,53184,5,562503,544357,53172,5,1109188,25.3,2244021,32.3,12.5,1106865,15.9,2251222,896958,60.8,476503,32.3,225697,235339,15464,3
New Mexico,1131335,53955,69793,983709,46914,976973,60270,630828,30.1,625184,38.6,368179,17.6,365882,22.6,560235,542500,28600,0,4316,454917,523282,1194,159939,203529,4419,292,159871,201307,4412,292,363760,30.1,625184,38.6,17.3,361470,22.3,630828,236342,62.6,144395,38.2,69887,72521,1816,171
Nevada,1302310,42281,54547,1034347,33581,1033473,43287,651736,21.2,651118,27.3,370823,12,370591,15.5,623610,643900,34800,0,13816,472109,548422,0,164936,192178,13708,1,164922,191961,13707,1,357115,21.2,651118,27.3,11.6,356884,14.9,651736,314309,63.4,187755,37.9,84029,98245,5481,0
New York State,8921845,45862,57839,6700442,34443,6690075,43371,4487772,23.1,4478961,29,2211524,11.4,2209846,14.3,4409145,4299700,213000,0,115997,3253147,3330573,725,1071715,1024497,115188,124,1071573,1022969,115180,124,2096336,23.1,4478961,29,10.8,2094666,13.6,4487772,1884412,57.2,981559,29.8,468942,473631,38915,71
Ohio,5173835,44262,56786,3928456,33608,3924744,43077,2507736,21.5,2505236,27.5,1474716,12.6,1473508,16.2,2443935,2582000,147900,0,97002,1991699,1836563,3192,717053,661028,95782,853,717006,659879,95771,852,1378934,21.5,2505236,27.5,11.8,1377737,15.1,2507736,1348972,65.9,821360,40.1,365548,425108,30131,573
Oklahoma,2132425,53890,70969,1519597,38403,1515443,50435,975627,24.7,972026,32.3,533659,13.5,533260,17.7,997425,1081900,53100,0,14028,712110,793451,8,241264,278508,13886,1,241251,278126,13882,1,519773,24.7,972026,32.3,13.1,519378,17.3,975627,434681,68.4,308843,48.6,162682,142343,3818,0
Oregon,1851555,43899,55251,1414113,33528,1410089,42077,906252,21.5,903806,27,519950,12.3,518406,15.5,871455,931100,49000,0,20938,698563,693647,965,242150,256752,20888,160,241998,255367,20881,160,499062,21.5,903806,27,11.8,497525,14.8,906252,436884,57,173923,22.7,71826,87818,14207,72
Pennsylvania,5860715,45780,57642,4491125,35081,4482828,44090,3012928,23.5,3006720,29.6,1538429,12,1536386,15.1,2819115,2893500,148100,0,62021,2198953,2230049,102,745823,728778,63752,76,745665,726896,63750,75,1474677,23.5,3006720,29.6,11.5,1472636,14.5,3012928,1418084,59.3,708095,29.6,367506,330305,10241,43
Puerto Rico,1508690,47240,60564,788188,24680,787735,31622,499268,15.6,498929,20,295034,9.2,294916,11.8,729690,740500,38500,0,3156,336025,448759,248,121614,170148,3265,7,121595,170051,3263,7,291769,15.6,498929,20,9.1,291653,11.7,499268,242507,44.7,115849,21.3,53812,61388,649,0
Rhode Island,496165,46836,58040,403044,38046,402604,47096,286139,27,285827,33.4,123688,11.7,123566,14.5,239265,243700,13200,0,6545,205133,191366,0,64333,52847,6507,1,64329,52729,6507,1,117181,27,285827,33.4,11.1,117059,13.7,286139,147733,79,44509,23.8,20068,23329,1112,0
Republic of Palau,14800,82649,105964,10726,59898,10726,76795,7693,43,7693,55.1,3139,17.5,3139,22.5,0,14600,200,0,0,10725,1,0,3126,13,0,0,3126,13,0,0,3139,43,7693,55.1,17.5,3139,22.5,7693,1342,44.1,1070,35.2,1062,8,0,0
South Carolina,2089905,40591,51762,1649023,32028,1647173,40797,1065987,20.7,1064559,26.4,597686,11.6,597261,14.8,1076205,948200,65500,0,23342,608901,1015756,1024,176320,398179,22984,203,176292,397795,22971,203,574702,20.7,1064559,26.4,11.2,574290,14.2,1065987,635447,67.8,393771,42,132608,256236,4788,139
South Dakota,469175,53035,70282,384987,43518,383932,57513,248205,28.1,247452,37.1,141180,16,140886,21.1,207675,249900,11600,0,3967,194043,186964,13,68627,68628,3921,4,68618,68344,3920,4,137259,28.1,247452,37.1,15.5,136966,20.5,248205,121607,80.1,72355,47.6,33968,37739,647,1
Tennessee,2823060,41338,53074,2007555,29397,2006104,37715,1300220,19,1298926,24.4,687720,10.1,687540,12.9,1296360,1450600,76100,0,17990,973098,1014248,2219,305566,363358,18204,592,305550,363214,18185,591,669516,19,1298926,24.4,9.8,669355,12.6,1300220,679285,59.4,389558,34.1,191409,193669,4074,406
Texas,12080835,41664,55940,8850377,30523,8815221,40819,5750589,19.8,5727148,26.5,2941437,10.1,2929447,13.6,6063135,5671700,346000,0,181345,4250842,4417924,266,1414089,1348842,178384,122,1408325,1343344,177657,122,2763336,19.8,5727148,26.5,9.5,2752072,12.7,5750589,2368093,63.4,1322471,35.4,635774,606439,80201,55
Utah,1248930,38957,54903,1052347,32825,1049244,46125,639360,19.9,637081,28,281144,8.8,280600,12.3,572130,642700,34100,0,22745,498209,531393,0,127938,131066,22140,0,127887,130588,22125,0,259004,19.9,637081,28,8.1,258475,11.4,639360,253254,69.2,108825,29.7,41257,62578,4990,0
Virginia,3643465,42686,54586,3027633,35471,3021579,45269,1968155,23.1,1963652,29.4,1116040,13.1,1114539,16.7,1783665,1767400,92400,0,73690,1413641,1539978,324,498309,544417,73214,100,498092,543240,73107,100,1042826,23.1,1963652,29.4,12.2,1041432,15.6,1968155,874265,64.3,465555,34.3,213939,225565,25984,67
Veterans Health,3835245,N/A,N/A,3211090,N/A,3210965,N/A,1975898,N/A,1975824,N/A,1267151,N/A,1267098,N/A,1647945,2114900,72400,0,33536,1749226,1428327,1,664696,568933,33522,0,664679,568899,33520,0,1233629,N/A,1975824,N/A,0,1233578,0,1975898,1251367,0,884953,0,480747,391446,12760,0
Virgin Islands,46800,44708,57318,29233,27926,29101,35641,19203,18.3,19084,23.4,9133,8.7,9123,11.2,27300,19100,400,0,0,12492,16741,0,4626,4502,5,0,4621,4497,5,0,9128,18.3,19084,23.4,8.7,9118,11.2,19203,7151,40.2,4063,22.8,2261,1798,4,0
Vermont,318720,51078,62496,246663,39530,246323,48300,158711,25.4,158490,31.1,84148,13.5,84015,16.5,147420,164000,7300,0,1724,126345,118381,213,41325,41045,1719,59,41314,40924,1718,59,82429,25.4,158490,31.1,13.2,82297,16.1,158711,94855,75.9,36941,29.5,15697,21173,34,37
Washington,3427310,45008,57584,2705839,35534,2701830,45395,1742242,22.9,1739192,29.2,988886,13,987927,16.6,1664910,1675400,87000,0,43560,1308682,1351354,2243,499439,445249,43824,374,499385,444348,43820,374,945062,22.9,1739192,29.2,12.4,944107,15.9,1742242,860699,71.1,522238,43.2,268342,235172,18447,277
Wisconsin,2542555,43668,55809,2160948,37114,2157911,47366,1373417,23.6,1371146,30.1,782060,13.4,781310,17.1,1218555,1253700,70300,0,11365,1009228,1140173,182,342764,427638,11608,50,342737,426921,11602,50,770452,23.6,1371146,30.1,13.2,769708,16.9,1373417,751512,73.9,447230,44,214583,231618,1001,28
West Virginia,879575,49079,61398,695358,38800,694441,48475,426168,23.8,425537,29.7,263392,14.7,263135,18.4,402675,455400,21500,0,1658,353692,340008,0,130427,130682,2271,12,130374,130481,2268,12,261121,23.8,425537,29.7,14.6,260867,18.2,426168,221894,60.5,144442,39.4,72689,71106,641,6
Wyoming,278515,48123,62584,214015,36978,213739,48029,130099,22.5,129875,29.2,81856,14.1,81804,18.4,120315,151400,6800,0,1402,109945,102597,71,41116,39377,1352,11,41113,39328,1352,11,80504,22.5,129875,29.2,13.9,80452,18.1,130099,63969,64.5,48032,48.4,24437,23292,296,7
