COVID-19 Vaccinations in the United States
Date generated: Wed Mar 17 2021 15:14:39 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident
Dept of Defense,1925290,N/A,N/A,1506702,N/A,1502570,N/A,937655,N/A,934177,N/A,525019,N/A,524530,N/A,1010490,872200,42600,0,4803,713778,787722,399,235696,287435,1888,0,235666,286976,1888,0,523131,N/A,934177,N/A,0,522642,0,937655,117830,0,61459,0,19757,41612,90,0
Delaware,436865,44864,56722,338429,34755,338162,43906,211783,21.7,211593,27.5,122819,12.6,122757,15.9,211965,214100,10800,0,6064,152491,179837,37,57812,58918,6077,12,57800,58868,6077,12,116742,21.7,211593,27.5,12,116680,15.1,211783,130198,68.9,75560,40,36993,33963,4597,7
Florida,9824045,45741,56958,7197889,33513,7189190,41682,4436541,20.7,4429025,25.7,2498540,11.6,2497447,14.5,4877145,4655100,291800,0,93059,3606116,3489817,8897,1203862,1199099,92587,2992,1203298,1198599,92558,2992,2405953,20.7,4429025,25.7,11.2,2404889,13.9,4436541,3011833,67,1834653,40.8,908961,889327,33787,2578
Federated States of Micronesia,47400,45734,58633,20450,19731,20445,25290,12653,12.2,12648,15.6,7839,7.6,7839,9.7,0,46600,800,0,0,20450,0,0,7820,19,0,0,7820,19,0,0,7839,12.2,12648,15.6,7.6,7839,9.7,12653,1255,7.1,855,4.9,851,4,0,0
Georgia,4188145,39446,51619,2810272,26468,2807522,34603,1707798,16.1,1705433,21,1048574,9.9,1048084,12.9,1932645,2145100,110400,0,27233,1532326,1250484,229,566794,454391,27256,133,566726,454065,27160,133,1021318,16.1,1705433,21,9.6,1020924,12.6,1707798,930783,61.4,633303,41.7,377527,251980,3714,82
Guam,87860,53002,67951,67081,40467,67036,51846,37235,22.5,37209,28.8,29293,17.7,29276,22.6,48360,38200,1300,0,0,34413,32668,0,14563,14730,0,0,14561,14715,0,0,29293,22.5,37209,28.8,17.7,29276,22.6,37235,11121,39.5,9505,33.7,4161,5344,0,0
Hawaii,718390,50738,64372,546123,38571,545216,48854,339603,24,338334,30.3,211174,14.9,210955,18.9,390390,312000,16000,0,1834,194521,256008,93760,79412,111856,1895,18011,79375,111696,1890,17994,209279,24,338334,30.3,14.8,209065,18.7,339603,131294,48.9,82175,30.6,39733,40740,295,1407
Iowa,1342995,42566,55308,1155003,36608,1152886,47478,755782,24,754408,31.1,428963,13.6,428213,17.6,631995,675800,35200,0,29993,616869,508022,119,218825,179938,30191,9,218815,179206,30183,9,398772,24,754408,31.1,12.6,398030,16.4,755782,403829,73,203454,36.8,104812,96183,2456,3
Idaho,718305,40195,53650,566079,31676,566060,42279,348653,19.5,348626,26,215214,12,215201,16.1,343005,356600,18700,0,5682,289548,270664,185,108944,100664,5571,35,108943,100658,5565,35,209643,19.5,348626,26,11.7,209636,15.7,348653,188389,64.8,109073,37.5,49759,57042,2251,21
Indian Health Svc,1239435,59508,N/A,768056,36876,758854,N/A,493682,23.7,486847,N/A,270509,13,268188,N/A,478335,739200,21900,0,2387,425753,339916,0,136443,131686,2380,0,136391,129421,2376,0,268129,23.7,486847,N/A,12.9,265812,0,493682,124332,0,85254,0,46923,38160,171,0
Illinois,5531315,43651,56133,4379055,34557,4370514,44353,2856270,22.5,2849965,28.9,1551538,12.2,1549315,15.7,2709915,2680900,140500,0,57631,2156904,2162865,1655,734348,760685,55997,508,734169,758728,55910,508,1495541,22.5,2849965,28.9,11.8,1493405,15.2,2856270,1269444,62.1,687762,33.7,347124,325537,14786,315
Indiana,2786140,41385,53951,2170644,32243,2169654,42013,1323727,19.7,1323081,25.6,859950,12.8,859599,16.6,1379040,1329700,77400,0,30985,1008762,1128274,2623,396087,431842,31083,938,396056,431525,31080,938,828867,19.7,1323081,25.6,12.3,828519,16,1323727,728981,67.1,546845,50.4,285988,256366,3800,691
Kansas,1264705,43411,57147,917107,31480,915460,41366,628555,21.6,627364,28.3,334212,11.5,333651,15.1,588705,644800,31200,0,10352,507469,399113,173,175322,148178,10639,73,175304,147641,10633,73,323573,21.6,627364,28.3,11.1,323018,14.6,628555,315061,66.3,157101,33,81139,72868,3046,48
Kentucky,1942585,43481,56066,1547563,34639,1545020,44592,1051308,23.5,1049700,30.3,543741,12.2,543407,15.7,948285,947300,47000,0,27509,784855,735111,88,269995,248041,25639,66,269977,247738,25626,66,518102,23.5,1049700,30.3,11.6,517781,14.9,1051308,470079,62.6,246907,32.9,105413,133076,8377,41
Louisiana,2048220,44059,57515,1494482,32148,1493471,41938,945870,20.3,945000,26.5,554135,11.9,554000,15.6,1009320,987600,51300,0,33224,658054,802408,796,214004,307572,32201,358,213989,307466,32188,357,521934,20.3,945000,26.5,11.2,521812,14.7,945870,477856,64.5,347144,46.8,147614,191542,7918,70
Massachusetts,3069880,44539,55416,2633498,38208,2628617,47451,1759203,25.5,1755788,31.7,911506,13.2,910121,16.4,1459380,1531100,79400,0,61248,1297588,1274618,44,397902,452464,61133,7,397812,451191,61111,7,850373,25.5,1755788,31.7,12.3,849010,15.3,1759203,827054,70.7,408276,34.9,148339,228427,31507,3
Maryland,2583900,42740,54848,2033434,33634,2030645,43104,1363597,22.6,1361396,28.9,765676,12.7,765045,16.2,1263600,1255200,65100,0,51766,998163,982260,1245,343356,371240,50743,337,343316,370659,50733,337,714933,22.6,1361396,28.9,11.8,714312,15.2,1363597,610615,63.6,323230,33.7,144430,157600,21042,158
Maine,624990,46495,57057,528109,39288,527636,48170,354594,26.4,354297,32.3,192866,14.3,192678,17.6,285090,323500,16400,0,14683,263027,250366,33,89611,88487,14762,6,89590,88322,14760,6,178104,26.4,354297,32.3,13.2,177918,16.2,354594,206092,72.2,104848,36.8,40830,55850,8165,3
Marshall Islands,35600,60945,78135,16100,27562,16075,35282,11263,19.3,11237,24.7,4787,8.2,4786,10.5,0,35000,600,0,0,16100,0,0,4783,2,2,0,4782,2,2,0,4785,19.3,11237,24.7,8.2,4784,10.5,11263,785,7.9,419,4.2,417,0,2,0
Michigan,4269320,42749,54435,3245598,32499,3243515,41356,2105973,21.1,2104486,26.8,1191877,11.9,1191268,15.2,2105220,2053000,111100,0,20865,1529660,1695073,0,504681,665578,21576,42,504627,665031,21568,42,1170301,21.1,2104486,26.8,11.7,1169700,14.9,2105973,1126672,63.8,614228,34.8,280177,325356,8663,32
Minnesota,2350780,41683,54209,2046151,36282,2043480,47123,1358707,24.1,1356699,31.3,739883,13.1,739169,17,1159080,1130800,60900,0,43408,960289,1042267,187,316523,379659,43660,41,316491,378992,43645,41,696223,24.1,1356699,31.3,12.3,695524,16,1358707,701726,76.2,358453,38.9,149402,184001,25035,15
Missouri,2433085,39643,51042,1907859,31086,1906127,39987,1212720,19.8,1211469,25.4,651541,10.6,651142,13.7,1229085,1150200,53800,0,25085,794633,1087898,243,241381,384956,25177,27,241349,384597,25170,26,626364,19.8,1211469,25.4,10.2,625972,13.1,1212720,621491,58.5,319242,30.1,136577,173537,9120,8
Northern Mariana Islands,44010,77371,99193,22604,39738,22580,50893,13159,23.1,13146,29.6,9429,16.6,9418,21.2,30810,12800,400,0,0,2786,19818,0,812,8617,0,0,812,8606,0,0,9429,23.1,13146,29.6,16.6,9418,21.2,13159,2120,21.9,1905,19.7,267,1638,0,0
Mississippi,1249855,41996,54877,906140,30447,905680,39765,595233,20,594880,26.1,329647,11.1,329538,14.5,571155,646700,32000,0,17525,481112,406928,575,169712,142969,16956,10,169692,142885,16951,10,312691,20,594880,26.1,10.5,312587,13.7,595233,287097,59,182291,37.5,99285,77958,5045,3
Montana,483525,45241,57549,401716,37586,400717,47694,254359,23.8,253646,30.2,152426,14.3,152153,18.1,213525,257300,12700,0,4373,216394,180857,92,79811,68145,4444,26,79793,67891,4443,26,147982,23.8,253646,30.2,13.8,147710,17.6,254359,128022,62,81905,39.7,39833,40597,1462,13
North Carolina,4339140,41372,52998,3564207,33983,3558031,43458,2293986,21.9,2288749,28,1289585,12.3,1288522,15.7,2151240,2076100,111800,0,72333,1563545,1928000,329,505098,713095,71368,24,504978,712296,71224,24,1218217,21.9,2288749,28,11.6,1217298,14.9,2293986,1176036,67.2,824050,47.1,372909,440222,10900,19
North Dakota,362400,47555,62280,321693,42213,320878,55144,198709,26.1,198147,34.1,113616,14.9,113408,19.5,167700,185900,8800,0,5641,157451,158601,0,54585,53687,5344,0,54568,53500,5340,0,108272,26.1,198147,34.1,14.2,108068,18.6,198709,88008,73.4,58511,48.8,28897,28597,1017,0
Nebraska,871170,45035,59737,697176,36041,695960,47723,449836,23.3,449037,30.8,258407,13.4,257973,17.7,430170,417500,23500,0,16900,335416,343497,1363,116651,124055,17362,339,116624,123653,17357,339,241045,23.3,449037,30.8,12.5,240616,16.5,449836,225969,72.3,122051,39.1,54417,66099,1282,253
New Hampshire,581545,42770,52654,471480,34675,470270,42579,339922,25,339042,30.7,161024,11.8,160696,14.5,267345,298400,15800,0,11677,262503,197273,27,91605,57403,12011,5,91536,57157,11998,5,149013,25,339042,30.7,11,148698,13.5,339922,189200,74.5,71594,28.2,36630,26620,8342,2
New Jersey,3656595,41168,52661,3174729,35743,3165662,45591,2199384,24.8,2192557,31.6,1129830,12.7,1127573,16.2,1723995,1836700,95900,0,50553,1626219,1497482,475,548094,531534,50197,5,548015,529367,50186,5,1079633,24.8,2192557,31.6,12.2,1077387,15.5,2199384,883195,59.9,460151,31.2,218140,227523,14485,3
New Mexico,1107735,52829,68337,970496,46284,963894,59463,621579,29.6,615988,38,363688,17.3,361500,22.3,548535,533000,26200,0,3922,447409,518008,1157,157285,202107,4011,285,157219,199990,4006,285,359677,29.6,615988,38,17.2,357494,22.1,621579,233872,61.9,142007,37.6,68413,71743,1682,169
Nevada,1188400,38582,49776,1020137,33120,1019287,42692,644080,20.9,643475,27,363581,11.8,363360,15.2,561600,594200,32600,0,12910,465453,541774,0,162037,188736,12807,1,162023,188530,12806,1,350774,20.9,643475,27,11.4,350554,14.7,644080,312425,63,183311,37,82092,96073,5146,0
New York State,8618515,44303,55873,6571852,33782,6561889,42540,4404294,22.6,4395824,28.5,2160663,11.1,2159049,14,4269915,4135800,212800,0,109967,3200907,3260294,684,1050183,1001428,108933,119,1050043,999961,108926,119,2051730,22.6,4395824,28.5,10.5,2050123,13.3,4404294,1862953,56.5,956619,29,455303,463983,37267,66
Ohio,5027395,43009,55179,3862956,33048,3859294,42358,2466334,21.1,2463875,27,1446823,12.4,1445626,15.9,2441595,2451100,134700,0,92277,1962990,1804845,2844,705564,649368,91087,804,705519,648228,91076,803,1355736,21.1,2463875,27,11.6,1354550,14.9,2466334,1338534,65.4,805982,39.4,358234,418247,28964,537
Oklahoma,2057835,52005,68486,1488390,37614,1484552,49407,960142,24.3,956829,31.8,517951,13.1,517572,17.2,977535,1031600,48700,0,13112,702519,772751,8,239441,265531,12978,1,239429,265168,12974,1,504973,24.3,956829,31.8,12.8,504598,16.8,960142,432645,68.1,306265,48.2,161947,140711,3607,0
Oregon,1802395,42734,53784,1412282,33484,1408281,42023,905439,21.5,902993,26.9,518520,12.3,516999,15.4,838695,914800,48900,0,20938,698040,692339,965,242022,255490,20848,160,241871,254127,20841,160,497672,21.5,902993,26.9,11.8,496158,14.8,905439,436469,57,173162,22.6,71760,87134,14196,72
Pennsylvania,5533725,43226,54426,4340831,33907,4332861,42615,2901757,22.7,2895832,28.5,1442681,11.3,1440666,14.2,2658825,2730100,144800,0,3276,2158598,2178856,101,727348,709382,5877,74,727192,707525,5876,73,1436804,22.7,2895832,28.5,11.2,1434790,14.1,2901757,1386218,57.9,676307,28.3,356304,317971,1991,41
Puerto Rico,1453840,45522,58362,764943,23952,764510,30690,485504,15.2,485184,19.5,284522,8.9,284406,11.4,688740,726600,38500,0,2526,327218,434951,248,118447,163522,2546,7,118429,163426,2544,7,281976,15.2,485184,19.5,8.8,281862,11.3,485504,234053,43.1,110345,20.3,52037,57748,560,0
Rhode Island,491495,46395,57494,396843,37461,396414,46371,283670,26.8,283366,33.1,119774,11.3,119655,14,238095,241500,11900,0,6428,202394,188021,0,62482,50903,6388,1,62479,50787,6388,1,113386,26.8,283366,33.1,10.7,113267,13.2,283670,147180,78.7,41312,22.1,18390,21830,1092,0
Republic of Palau,14800,82649,105964,10197,56944,10197,73008,7164,40,7164,51.3,3137,17.5,3137,22.5,0,14600,200,0,0,10196,1,0,3124,13,0,0,3124,13,0,0,3137,40,7164,51.3,17.5,3137,22.5,7164,1326,43.6,1070,35.2,1062,8,0,0
South Carolina,2042685,39674,50592,1627125,31603,1625333,40256,1049599,20.4,1048230,26,589423,11.4,589000,14.6,1069185,913700,59800,0,21232,600756,1004113,1024,172954,395808,20457,204,172926,395425,20445,204,568966,20.4,1048230,26,11.1,568555,14.1,1049599,632216,67.5,388701,41.5,129792,254408,4361,140
South Dakota,459375,51927,68814,379911,42944,378882,56756,245286,27.7,244560,36.6,138707,15.7,138414,20.7,207675,241100,10600,0,3670,192140,184088,13,67937,67138,3628,4,67928,66855,3627,4,135079,27.7,244560,36.6,15.3,134787,20.2,245286,121211,79.8,70367,46.3,33425,36360,581,1
Tennessee,2744960,40195,51605,1960657,28710,1959364,36836,1265605,18.5,1264462,23.8,674887,9.9,674715,12.7,1296360,1379700,68900,0,15484,950278,992761,2134,299316,359279,15719,573,299300,359138,15705,572,659168,18.5,1264462,23.8,9.7,659010,12.4,1265605,670645,58.7,382444,33.4,187240,191196,3615,393
Texas,11362975,39188,52616,8660886,29869,8627208,39948,5601318,19.3,5578956,25.8,2897500,10,2885933,13.4,5691075,5325900,346000,0,170891,4186624,4303108,263,1397556,1331683,168142,119,1391976,1326366,167471,119,2729604,19.3,5578956,25.8,9.4,2718707,12.6,5601318,2306623,61.8,1302716,34.9,628341,598725,75597,54
Utah,1212030,37806,53281,1030630,32147,1027603,45174,626747,19.5,624512,27.5,274333,8.6,273795,12,572130,609000,30900,0,22020,489949,518661,0,125908,127002,21423,0,125857,126530,21408,0,252910,19.5,624512,27.5,7.9,252387,11.1,626747,250988,68.6,103522,28.3,39717,58897,4908,0
Virginia,3597985,42153,53905,2987320,34999,2981460,44668,1938252,22.7,1933914,29,1103311,12.9,1101849,16.5,1767285,1741700,89000,0,72550,1397107,1517357,306,493039,538182,71994,96,492825,537037,71891,96,1031317,22.7,1933914,29,12.1,1029958,15.4,1938252,865717,63.7,458875,33.8,210747,222395,25670,63
Veterans Health,3734635,N/A,N/A,3160693,N/A,3160570,N/A,1950172,N/A,1950100,N/A,1241222,N/A,1241169,N/A,1644435,2017800,72400,0,32257,1724552,1403883,1,652057,556920,32245,0,652040,556886,32243,0,1208977,N/A,1950100,N/A,0,1208926,0,1950172,1243533,0,868466,0,472554,383592,12320,0
Virgin Islands,46800,44708,57318,28115,26858,27993,34284,18541,17.7,18431,22.6,8763,8.4,8753,10.7,27300,19100,400,0,0,12149,15966,0,4421,4337,5,0,4416,4332,5,0,8758,17.7,18431,22.6,8.4,8748,10.7,18541,7005,39.4,3941,22.1,2192,1745,4,0
Vermont,309820,49652,60751,243777,39068,243444,47736,156682,25.1,156464,30.7,82273,13.2,82144,16.1,147420,155100,7300,0,614,125754,117196,213,41081,40453,680,59,41070,40336,679,59,81593,25.1,156464,30.7,13.1,81465,16,156682,94332,75.4,36239,29,15500,20674,28,37
Washington,3396560,44604,57067,2665688,35006,2661814,44723,1714661,22.5,1711740,28.8,975197,12.8,974245,16.4,1659060,1651300,86200,0,41977,1294524,1326983,2204,493273,439304,42261,359,493219,438410,42257,359,932936,22.5,1711740,28.8,12.3,931988,15.7,1714661,851888,70.4,513649,42.5,264511,231035,17838,265
Wisconsin,2528285,43423,55496,2130926,36599,2127984,46709,1356659,23.3,1354478,29.7,768454,13.2,767709,16.9,1217385,1247500,63400,0,10543,990701,1129504,178,333274,424317,10814,49,333249,423603,10808,49,757640,23.3,1354478,29.7,13,756901,16.6,1356659,746127,73.3,436492,42.9,206852,228841,772,27
West Virginia,876775,48923,61203,689649,38482,688739,48077,421226,23.5,420602,29.4,262477,14.6,262221,18.3,402675,452600,21500,0,1493,350535,337621,0,129977,130438,2050,12,129924,130237,2048,12,260427,23.5,420602,29.4,14.5,260173,18.2,421226,220255,60,144018,39.2,72423,70998,591,6
Wyoming,270015,46654,60674,213969,36970,213693,48018,130020,22.5,129796,29.2,81809,14.1,81757,18.4,120315,143200,6500,0,1402,109911,102585,71,41084,39371,1343,11,41081,39322,1343,11,80466,22.5,129796,29.2,13.9,80414,18.1,130020,63943,64.5,48010,48.4,24420,23292,291,7
