COVID-19 Vaccinations in the United States
Date generated: Tue Mar 16 2021 15:15:45 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident
Idaho,671845,37595,50180,559659,31317,559640,41800,345005,19.3,344978,25.8,212093,11.9,212080,15.8,310245,343200,18400,0,5385,287145,266945,184,107764,99032,5263,34,107763,99026,5257,34,206830,19.3,344978,25.8,11.6,206823,15.4,345005,187826,64.6,106695,36.7,48803,55654,2218,20
Indian Health Svc,1239435,59508,N/A,757075,36349,748155,N/A,488026,23.4,481321,N/A,264643,12.7,262475,N/A,478335,739200,21900,0,1832,417158,338085,0,132231,130587,1825,0,132186,128467,1822,0,262818,23.4,481321,N/A,12.6,260653,0,488026,123504,0,84754,0,46557,38073,124,0
Illinois,5167015,40776,52436,4297923,33917,4289657,43532,2812496,22.2,2806411,28.5,1508375,11.9,1506217,15.3,2429115,2600400,137500,0,50801,2115093,2130376,1653,708959,749433,49475,508,708785,747518,49406,508,1458900,22.2,2806411,28.5,11.5,1456811,14.8,2812496,1256313,61.5,667243,32.7,333364,319851,13713,315
Indiana,2537330,37689,49133,2160312,32089,2159335,41813,1318159,19.6,1317526,25.5,854647,12.7,854297,16.5,1211730,1249900,75700,0,30451,1004092,1123165,2604,393018,430152,30546,931,392987,429836,30543,931,824101,19.6,1317526,25.5,12.2,823754,16,1318159,728373,67.1,543598,50.1,283804,255359,3751,684
Kansas,1257325,43158,56814,909577,31221,907955,41027,623934,21.4,622782,28.1,329299,11.3,328740,14.9,584025,642600,30700,0,9475,505820,394112,170,174353,145118,9756,72,174335,144581,9752,72,319543,21.4,622782,28.1,11,318988,14.4,623934,314125,66.1,155276,32.7,80503,71803,2923,47
Kentucky,1798045,40246,51895,1532494,34302,1529996,44158,1044344,23.4,1042775,30.1,535241,12,534914,15.4,840645,911100,46300,0,27166,776850,728390,88,264900,244985,25289,67,264882,244689,25276,67,509952,23.4,1042775,30.1,11.4,509638,14.7,1044344,468569,62.4,242287,32.3,102354,131586,8306,41
Louisiana,1890870,40674,53097,1484459,31932,1483517,41658,937967,20.2,937165,26.3,550112,11.8,549982,15.4,898170,941500,51200,0,31021,653590,799052,796,212579,307122,30053,358,212564,307016,30045,357,520059,20.2,937165,26.3,11.2,519937,14.6,937967,476895,64.4,345707,46.7,146655,191298,7684,70
Massachusetts,2891100,41946,52189,2620671,38022,2615819,47219,1751693,25.4,1748300,31.6,904685,13.1,903308,16.3,1349400,1463700,78000,0,60565,1289272,1270790,44,393197,451226,60255,7,393108,449960,60233,7,844430,25.4,1748300,31.6,12.3,843075,15.2,1751693,824848,70.5,403909,34.5,145107,227753,31046,3
Maryland,2430150,40196,51585,1991188,32936,1988549,42211,1335141,22.1,1333076,28.3,752735,12.5,752118,16,1164150,1200900,65100,0,50258,976698,963029,1203,335991,367222,49200,322,335951,366654,49191,322,703535,22.1,1333076,28.3,11.6,702927,14.9,1335141,601658,62.7,316564,33,140400,155491,20523,150
Maine,583690,43422,53287,523269,38928,522800,47728,351485,26.1,351190,32.1,190539,14.2,190353,17.4,261690,305600,16400,0,14177,260623,248436,33,88337,87940,14256,6,88316,87777,14254,6,176283,26.1,351190,32.1,13.1,176099,16.1,351485,205213,71.9,103133,36.2,39897,55341,7892,3
Marshall Islands,35600,60945,78135,16007,27403,15982,35077,11204,19.2,11178,24.5,4753,8.1,4752,10.4,0,35000,600,0,0,16007,0,0,4749,2,2,0,4748,2,2,0,4751,19.2,11178,24.5,8.1,4750,10.4,11204,785,7.9,418,4.2,416,0,2,0
Michigan,3925470,39306,50051,3170085,31743,3168038,40394,2056704,20.6,2055250,26.2,1160803,11.6,1160197,14.8,1853670,1962300,109500,0,16867,1480097,1673121,0,484500,658689,17572,42,484446,658145,17564,42,1143231,20.6,2055250,26.2,11.4,1142633,14.6,2056704,1111986,63,592984,33.6,265983,319745,7224,32
Minnesota,2263220,40131,52190,2037382,36126,2034809,46923,1353203,24,1351292,31.2,734565,13,733852,16.9,1091220,1113000,59000,0,41571,956162,1039462,187,313462,379269,41793,41,313430,378602,41779,41,692772,24,1351292,31.2,12.3,692073,16,1353203,700699,76.1,355415,38.6,147208,183627,24565,15
Missouri,2415805,39362,50679,1897083,30910,1895404,39762,1205497,19.6,1204288,25.3,647356,10.5,646960,13.6,1212705,1149600,53500,0,24060,790107,1082673,243,238652,384746,23931,27,238621,384387,23926,26,623425,19.6,1204288,25.3,10.2,623034,13.1,1205497,619849,58.4,317282,29.9,134810,173481,8983,8
Northern Mariana Islands,44010,77371,99193,22134,38912,22110,49833,12956,22.8,12943,29.2,9162,16.1,9151,20.6,30810,12800,400,0,0,2635,19499,0,665,8497,0,0,665,8486,0,0,9162,22.8,12943,29.2,16.1,9151,20.6,12956,2104,21.8,1865,19.3,233,1632,0,0
Mississippi,1239205,41638,54409,904066,30377,903619,39675,593525,19.9,593184,26,329254,11.1,329145,14.5,565305,641900,32000,0,17446,480404,405641,575,169423,142943,16878,10,169403,142859,16873,10,312376,19.9,593184,26,10.5,312272,13.7,593525,286705,58.9,182149,37.4,99175,77951,5020,3
Montana,481155,45019,57267,398858,37319,397867,47354,252446,23.6,251739,30,150873,14.1,150602,17.9,212355,256300,12500,0,3956,215031,179779,92,79275,67558,4014,26,79257,67306,4013,26,146859,23.6,251739,30,13.7,146589,17.4,252446,127465,61.7,81024,39.2,39457,40250,1304,13
North Carolina,4267910,40693,52128,3480495,33185,3474806,42441,2233748,21.3,2228965,27.2,1253054,11.9,1252044,15.3,2082210,2074000,111700,0,55154,1538288,1886724,329,493570,704867,54593,24,493452,704079,54489,24,1198461,21.3,2228965,27.2,11.4,1197555,14.6,2233748,1165790,66.6,808544,46.2,364397,434956,9172,19
North Dakota,344170,45163,59147,321677,42211,320862,55141,198656,26.1,198094,34,113549,14.9,113341,19.5,157170,178200,8800,0,5641,157444,158592,0,54541,53681,5327,0,54524,53494,5323,0,108222,26.1,198094,34,14.2,108018,18.6,198656,87986,73.4,58477,48.8,28874,28597,1006,0
Nebraska,833730,43100,57170,684831,35403,683644,46878,444391,23,443614,30.4,251322,13,250895,17.2,392730,417500,23500,0,16529,330337,336633,1332,114847,119160,16986,329,114820,118765,16981,329,234336,23,443614,30.4,12.1,233914,16,444391,224401,71.8,116380,37.2,53116,61775,1244,245
New Hampshire,565165,41565,51171,465226,34215,464044,42016,336445,24.7,335587,30.4,158168,11.6,157847,14.3,250965,298400,15800,0,11676,259147,194376,27,89691,56491,11981,5,89623,56251,11968,5,146187,24.7,335587,30.4,10.8,145879,13.2,336445,188209,74.1,69554,27.4,35207,26007,8338,2
New Jersey,3577765,40280,51526,3112960,35047,3104364,44708,2158901,24.3,2152385,31,1104854,12.4,1102755,15.9,1713465,1768700,95600,0,48011,1602666,1461808,475,538353,518877,47619,5,538274,516867,47609,5,1057235,24.3,2152385,31,11.9,1055146,15.2,2158901,872049,59.1,448189,30.4,212529,221895,13762,3
New Mexico,1035005,49360,63850,952566,45429,946333,58380,613331,29.3,607902,37.5,353640,16.9,351721,21.7,514605,494800,25600,0,3344,435114,512953,1155,148626,201287,3443,284,148569,199427,3441,284,350197,29.3,607902,37.5,16.7,348280,21.5,613331,231698,61.4,137369,36.4,63916,71668,1617,168
Nevada,1169770,37978,48995,1013805,32914,1012980,42428,640086,20.8,639502,26.8,360316,11.7,360099,15.1,551070,586200,32500,0,11972,463532,538301,0,161162,187277,11877,0,161148,187075,11876,0,348439,20.8,639502,26.8,11.3,348223,14.6,640086,311335,62.8,181488,36.6,81515,95110,4863,0
New York State,8237955,42347,53406,6443462,33122,6433931,41710,4323082,22.2,4314960,28,2106643,10.8,2105111,13.6,4038255,4003600,196100,0,101851,3139548,3201380,683,1022921,982670,100933,119,1022782,981283,100927,119,2005710,22.2,4314960,28,10.3,2004184,13,4323082,1841276,55.9,926470,28.1,435910,455327,35167,66
Ohio,4748935,40627,52123,3819317,32674,3815688,41880,2441898,20.9,2439463,26.8,1426711,12.2,1425523,15.6,2245035,2370900,133000,0,89297,1938246,1788936,2838,693549,644246,88114,802,693504,643115,88103,801,1338597,20.9,2439463,26.8,11.5,1337420,14.7,2441898,1332682,65.1,795233,38.9,349819,416491,28388,535
Oklahoma,1981405,50074,65943,1483295,37486,1479514,49239,955816,24.2,952558,31.7,517222,13.1,516844,17.2,931905,1000800,48700,0,13007,699957,770323,8,239054,265297,12870,1,239042,264935,12866,1,504352,24.2,952558,31.7,12.7,503978,16.8,955816,432068,68,306092,48.2,161872,140639,3581,0
Oregon,1642605,38945,49016,1387803,32904,1383921,41297,888090,21.1,885732,26.4,508427,12.1,506935,15.1,760305,834500,47800,0,18216,693058,675564,965,239033,251105,18129,160,238883,249769,18123,160,490298,21.1,885732,26.4,11.6,488812,14.6,888090,423978,55.3,166991,21.8,69558,85035,12326,72
Pennsylvania,5446125,42541,53565,4283453,33459,4275701,42053,2862957,22.4,2857220,28.1,1422010,11.1,1420033,14,2600325,2701900,143900,0,2936,2128623,2151793,101,712379,704217,5340,74,712225,702396,5339,73,1416670,22.4,2857220,28.1,11.1,1414694,13.9,2862957,1372609,57.4,665483,27.8,348836,314679,1927,41
Puerto Rico,1439970,45088,57805,748982,23452,748558,30050,473540,14.8,473229,19,279934,8.8,279818,11.2,675870,725600,38500,0,2186,322022,424526,248,116327,161395,2205,7,116309,161299,2203,7,277729,14.8,473229,19,8.7,277615,11.1,473540,227833,42,106584,19.6,50389,55785,410,0
Rhode Island,463415,43745,54209,388420,36665,388006,45388,276994,26.1,276704,32.4,117146,11.1,117027,13.7,210015,241500,11900,0,5136,200147,183137,0,61964,50018,5163,1,61961,49902,5163,1,111983,26.1,276704,32.4,10.6,111864,13.1,276994,145531,77.8,40027,21.4,17936,21201,890,0
Republic of Palau,14800,82649,105964,9694,54135,9694,69406,6660,37.2,6660,47.7,3137,17.5,3137,22.5,0,14600,200,0,0,9693,1,0,3124,13,0,0,3124,13,0,0,3137,37.2,6660,47.7,17.5,3137,22.5,6660,1314,43.2,1070,35.2,1062,8,0,0
South Carolina,1935035,37583,47926,1618854,31442,1617083,40051,1042042,20.2,1040711,25.8,586073,11.4,585651,14.5,993135,882900,59000,0,20657,596338,1000835,1024,171305,394736,19827,205,171277,394354,19815,205,566246,20.2,1040711,25.8,11,565836,14,1042042,631099,67.4,386393,41.2,128393,253585,4275,140
South Dakota,457035,51662,68464,378505,42785,377482,56547,244353,27.6,243631,36.5,138196,15.6,137905,20.7,205335,241100,10600,0,3655,191459,183378,13,67474,67116,3602,4,67465,66835,3601,4,134594,27.6,243631,36.5,15.2,134304,20.1,244353,121139,79.8,70150,46.2,33230,36347,572,1
Tennessee,2718400,39806,51106,1952377,28589,1951120,36681,1260166,18.5,1259058,23.7,670717,9.8,670546,12.6,1275300,1374200,68900,0,14082,947787,988385,2123,298257,357578,14313,569,298241,357438,14299,568,656404,18.5,1259058,23.7,9.6,656247,12.3,1260166,669615,58.6,380455,33.3,186469,190246,3349,391
Texas,10967665,37825,50785,8547673,29479,8514803,39428,5509231,19,5487475,25.4,2866512,9.9,2855192,13.2,5301465,5321500,344700,0,160177,4139652,4247582,262,1387652,1321253,157489,118,1382172,1316035,156867,118,2709253,19,5487475,25.4,9.3,2698554,12.5,5509231,2268702,60.8,1288784,34.5,623888,594035,70807,53
Utah,1144940,35713,50332,1008582,31460,1005669,44210,612437,19.1,610304,26.8,266179,8.3,265656,11.7,528840,585700,30400,0,21106,479579,507897,0,121973,123685,20521,0,121925,123225,20506,0,245658,19.1,610304,26.8,7.7,245150,10.8,612437,248448,67.9,97926,26.8,36911,56200,4815,0
Virginia,3291575,38563,49314,2951945,34584,2946287,44141,1913741,22.4,1909579,28.6,1088037,12.7,1086614,16.3,1564875,1638100,88600,0,68254,1386995,1496411,285,489429,530886,67630,92,489218,529767,67537,92,1020407,22.4,1909579,28.6,12,1019077,15.3,1913741,859587,63.3,452352,33.3,208654,218873,24765,60
Veterans Health,3553105,N/A,N/A,3146184,N/A,3146061,N/A,1946429,N/A,1946357,N/A,1229953,N/A,1229900,N/A,1528605,1952100,72400,0,31750,1714666,1399767,1,643685,554530,31738,0,643668,554496,31736,0,1198215,N/A,1946357,N/A,0,1198164,0,1946429,1242351,0,859505,0,465525,381931,12049,0
Virgin Islands,46500,44421,56950,27261,26042,27144,33244,17930,17.1,17824,21.8,8608,8.2,8598,10.5,27300,18800,400,0,0,11880,15381,0,4313,4290,5,0,4308,4285,5,0,8603,17.1,17824,21.8,8.2,8593,10.5,17930,6848,38.5,3873,21.8,2141,1728,4,0
Vermont,292890,46938,57431,239136,38324,238809,46827,153973,24.7,153760,30.1,80189,12.9,80061,15.7,136890,148700,7300,0,427,123302,115194,213,39756,39869,505,59,39745,39753,504,59,79684,24.7,153760,30.1,12.8,79557,15.6,153973,92279,73.8,34585,27.7,14381,20141,26,37
Washington,3132270,41133,52627,2626048,34486,2622264,44058,1686163,22.1,1683327,28.3,954856,12.5,953914,16,1487070,1560400,84800,0,32783,1281316,1310719,1230,485863,435575,33060,358,485809,434688,33059,358,921796,22.1,1683327,28.3,12.1,920855,15.5,1686163,843508,69.7,502921,41.6,259190,228740,14726,265
Wisconsin,2233235,38356,49019,2107896,36203,2105012,46205,1346547,23.1,1344427,29.5,753712,12.9,752968,16.5,1036035,1133800,63400,0,8687,973005,1126028,176,320841,423939,8884,48,320816,423225,8879,48,744828,23.1,1344427,29.5,12.8,744089,16.3,1346547,743489,73.1,425655,41.8,196341,228583,705,26
West Virginia,823965,45976,57516,686081,38283,685182,47829,418889,23.4,418271,29.2,261032,14.6,260780,18.2,352365,450200,21400,0,1418,347963,336700,0,129007,130062,1951,12,128955,129864,1949,12,259081,23.4,418271,29.2,14.5,258831,18.1,418889,219391,59.8,143368,39.1,71869,70916,577,6
Wyoming,270015,46654,60674,212499,36716,212226,47689,129287,22.3,129066,29,81121,14,81069,18.2,120315,143200,6500,0,1347,109442,101640,70,40958,38861,1291,11,40955,38812,1291,11,79830,22.3,129066,29,13.8,79778,17.9,129287,63824,64.4,47846,48.2,24337,23219,283,7
