COVID-19 Vaccinations in the United States
Date generated: Thu May 20 2021 15:15:11 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4213680,N/A,N/A,3355190,N/A,3321617,N/A,1994656,N/A,1971825,N/A,1379457,N/A,1369050,N/A,2282280,1748700,182700,0,101006,1463791,1789994,399,556947,724420,98090,0,556892,714094,98064,0,1281367,N/A,1971825,N/A,0,1270986,0,1994656,170329,0,122057,0,43400,74432,4225,0,296848,0,0,1992212,0,1379354,0,556926,724348,98080,0,3352652,0,0
Delaware,1142295,117307,148313,874029,89758,857158,111291,498600,51.2,487650,63.3,387630,39.8,383306,49.8,608595,472600,61100,0,37743,352720,483288,278,143854,206448,37196,132,143788,202216,37170,132,350434,51.2,487650,63.3,36,346136,44.9,498600,170317,90.2,146783,77.7,59944,79225,7530,84,317730,168195,604690,498473,59.4,387609,46.2,143852,206435,37190,132,873879,104057,136019
Florida,22668395,105544,131428,17592926,81912,17391188,100831,9934559,46.3,9793599,56.8,7765264,36.2,7706179,44.7,11778975,9333120,1556300,0,704242,7526335,9331093,31256,3135453,3925167,694482,10162,3134698,3867178,694145,10158,7070782,46.3,9793599,56.8,32.9,7012034,40.7,9934559,3894185,86.6,3283621,73,1642316,1483639,150046,7620,7458171,165835,504040,9928257,53.1,7764466,41.5,3134881,3925097,694326,10162,17585901,94062,121247
Federated States of Micronesia,77800,75065,96237,40455,39033,40430,50011,23491,22.7,23470,29,17962,17.3,17957,22.2,0,67600,10200,0,1019,39436,0,0,16913,31,1018,0,16909,31,1017,0,16944,22.7,23470,29,16.3,16940,21,23491,2020,11.5,1716,9.7,1569,5,142,0,3580,20319,441569,23484,26.5,17960,20.3,16912,31,1017,0,40447,45698,87901
Georgia,10332775,97319,127352,7122845,67086,7017877,86496,4004000,37.7,3931977,48.5,3134850,29.5,3101712,38.2,5392335,4369640,570800,0,175516,3198334,3748471,524,1374226,1587935,172378,311,1373898,1555353,172156,305,2962472,37.7,3931977,48.5,27.9,2929556,36.1,4004000,1183812,78,1009029,66.5,566763,419839,22263,164,2264891,149305,681153,4002644,44.5,3134676,34.9,1374191,1587879,172295,311,7121403,79231,114961
Guam,183970,110980,142283,150293,90665,145759,112730,83930,50.6,81294,62.9,67660,40.8,65763,50.9,98670,74200,11100,0,2093,58282,89918,0,23678,41886,2096,0,23672,39995,2096,0,65564,50.6,81294,62.9,39.6,63667,49.2,83930,14227,50.5,12530,44.5,5248,7122,160,0,26755,94940,652816,83924,59.3,67659,47.8,23677,41886,2096,0,150286,106163,129957
Hawaii,1700050,120071,152334,1496719,105710,1457797,130627,891467,63,859934,77.1,632594,44.7,624560,56,959010,663640,77400,0,29115,536469,837375,93760,224131,360996,29396,18071,223838,353366,29302,18054,603198,63,859934,77.1,42.6,595258,53.3,891467,259954,96.8,215005,80.1,89861,116717,7018,1409,468250,174429,633288,889643,73.5,632441,52.2,224092,360919,29370,18060,1495450,123478,140371
Iowa,3160085,100159,130139,2699657,85566,2653381,109272,1484010,47,1452387,59.8,1300473,41.2,1286233,53,1632345,1350240,177500,0,105377,1202361,1391797,122,564307,632707,103397,62,564213,618614,103344,62,1197076,47,1452387,59.8,37.9,1182889,48.7,1484010,479165,86.7,452871,81.9,243333,200333,9160,45,928108,167845,571491,1483977,55.4,1300462,48.6,564301,632704,103395,62,2699641,100873,118077
Idaho,1553895,86952,116061,1188199,66489,1188125,88741,646734,36.2,646519,48.3,556924,31.2,556851,41.6,800475,656320,97100,0,36244,525261,626054,640,235546,285053,36127,198,235537,285002,36115,197,520797,36.2,646519,48.3,29.1,520736,38.9,646734,227073,78.1,210362,72.4,98431,104245,7604,82,435882,149958,534591,646720,43.2,556913,37.2,235544,285051,36120,198,1188180,79455,103911
Indian Health Svc,1715135,82347,N/A,1322636,63502,1285428,N/A,744006,35.7,721283,N/A,592214,28.4,577776,N/A,728715,912720,73700,0,21449,737191,563996,0,319882,251046,21286,0,319690,236834,21252,0,570928,35.7,721283,N/A,27.4,556524,0,744006,147135,0,120329,0,69340,48704,2285,0,268194,0,0,743741,0,592099,0,319818,251007,21274,0,1322238,0,0
Illinois,13391435,105679,135899,10851079,85632,10602040,107592,6498878,51.3,6312375,64.1,4702349,37.1,4632609,47,7162935,5423400,805100,0,359189,4508230,5976954,6706,1843548,2496855,359691,2255,1840400,2431842,358123,2244,4342658,51.3,6312375,64.1,34.3,4274486,43.4,6498878,1767937,86.5,1410686,69,654008,701119,54248,1311,3133132,153342,655405,6494749,59.9,4702266,43.4,1843509,2496833,359669,2255,10846878,100084,123562
Indiana,6060300,90019,117351,4807116,71405,4728082,91554,2670371,39.7,2615503,50.6,2220826,33,2200654,42.6,3244020,2414380,401900,0,157774,1980891,2657686,10765,888021,1173525,155775,3505,887906,1153561,155684,3503,2065051,39.7,2615503,50.6,30.7,2044970,39.6,2670371,869174,80.1,815106,75.1,407471,386259,19271,2105,1694403,156059,558171,2670247,46.8,2220797,38.9,888013,1173516,155763,3505,4806983,84259,106227
Kansas,2898875,99504,130989,2226299,76418,2194646,99168,1309123,44.9,1285624,58.1,1069440,36.7,1057254,47.8,1458015,1277960,162900,0,67306,1012403,1145987,603,464055,537848,67340,197,463938,525830,67290,196,1002100,44.9,1285624,58.1,34.4,989964,44.7,1309123,425845,89.6,359444,75.6,174929,172036,12368,111,755096,158805,609664,1309025,53.4,1069422,43.6,464048,537842,67335,197,2226193,90802,118240
Kentucky,4184375,93659,120768,3465017,77558,3415956,98590,1963569,44,1930207,55.7,1633543,36.6,1618029,46.7,2121795,1815480,247100,0,129611,1555492,1779539,375,695508,810741,126962,332,695415,795384,126899,331,1506581,44,1930207,55.7,33.7,1491130,43,1963569,620466,82.7,548990,73.1,250183,269680,28922,205,1126034,150025,557497,1963301,51.6,1633515,42.9,695501,810735,126947,332,3464041,91011,109937
Louisiana,3803830,81824,106814,2959952,63671,2932404,82344,1597539,34.4,1579604,44.4,1389079,29.9,1379692,38.7,1923090,1647240,233500,0,99634,1391398,1467898,1022,624002,669263,95301,513,623845,660112,95224,511,1293778,34.4,1579604,44.4,27.8,1284468,36.1,1597539,563183,76,526876,71.1,252148,257876,16745,107,1097089,148051,513322,1597434,40.7,1389049,35.4,623995,669256,95285,513,2959828,75442,96954
Massachusetts,8690900,126092,156884,7415002,107581,7228241,130481,4345993,63.1,4206018,75.9,3286210,47.7,3238207,58.5,4800900,3468400,421600,0,243526,3057649,4113694,133,1270606,1770598,244973,33,1268728,1725257,244191,31,3041237,63.1,4206018,75.9,44.1,2994016,54,4345993,1095244,93.7,952661,81.5,433523,460817,58307,14,1989605,170149,743236,4343119,72.2,3286189,54.6,1270600,1770588,244968,33,7412152,123192,144445
Maryland,7325250,121165,155493,5698385,94255,5549807,117805,3277888,54.2,3169466,67.3,2639693,43.7,2600903,55.2,3969810,2933340,422100,0,221197,2339795,3133148,4245,1033610,1390473,214378,1232,1033433,1351966,214279,1225,2425315,54.2,3169466,67.3,40.1,2386624,50.7,3277888,837312,87.3,759116,79.1,371248,343729,43684,455,1541777,160703,763527,3277669,63.5,2639637,51.1,1033588,1390457,214360,1232,5698166,110368,141883
Maine,1675440,124641,152957,1380576,102705,1356078,123801,803237,59.8,785271,71.7,673768,50.1,667190,60.9,845520,733220,96700,0,89163,601498,689670,245,266933,317830,88938,67,266901,311321,88906,62,584830,59.8,785271,71.7,43.5,578284,52.8,803237,264104,92.6,246699,86.5,112271,114710,19700,18,489235,171502,587328,803172,67.8,673745,56.9,266930,317827,88921,67,1380504,116505,141395
Marshall Islands,51300,87823,112594,29454,50424,29387,64499,15943,27.3,15896,34.9,13603,23.3,13582,29.8,0,40500,10800,0,126,29328,0,0,13468,6,129,0,13448,5,129,0,13474,27.3,15896,34.9,23.1,13453,29.5,15943,961,9.7,817,8.2,808,0,9,0,1769,17815,516616,15927,31.9,13596,27.3,13461,6,129,0,29431,58999,102839
Michigan,10649250,106633,135782,8183944,81947,8019159,102247,4628676,46.3,4515206,57.6,3919803,39.2,3866818,49.3,5616390,4409560,623300,0,272578,3449950,4460121,1295,1570840,2070862,277530,571,1570506,2018347,277396,569,3642273,46.3,4515206,57.6,36.5,3589422,45.8,4628676,1444315,81.8,1334253,75.6,668135,613050,52683,385,2699633,152919,603220,4628483,53.9,3919760,45.6,1570823,2070847,277519,571,8183730,95215,123900
Minnesota,5954490,105583,137312,5056044,89652,4941578,113954,2904156,51.5,2824398,65.1,2391511,42.4,2356581,54.3,3238170,2411220,305100,0,221532,2079384,2754826,302,928678,1239138,223601,94,928069,1205025,223395,92,2167910,51.5,2824398,65.1,38.4,2133186,49.2,2904156,821651,89.3,757311,82.3,319962,396463,40859,27,1524050,165589,646959,2902372,60.7,2391470,50.1,928670,1239123,223583,94,5054221,105779,124621
Missouri,5707035,92987,119724,4478896,72977,4410890,92533,2477687,40.4,2432826,51,2015135,32.8,1995802,41.9,3088215,2318420,300400,0,137337,1753787,2587398,374,768709,1108513,137850,63,768535,1089478,137728,61,1877285,40.4,2432826,51,30.6,1858074,39,2477687,825452,77.7,725120,68.3,331510,366067,27515,28,1562657,147138,537367,2477443,47.3,2015109,38.5,768701,1108506,137839,63,4478631,85540,109002
Northern Mariana Islands,72330,127158,163023,45558,80092,44257,99750,24535,43.1,23690,53.4,21205,37.3,20750,46.8,49530,20200,2600,0,170,6276,39112,0,2701,18329,175,0,2701,17874,175,0,21030,43.1,23690,53.4,37,20575,46.4,24535,2556,26.4,2390,24.7,372,1968,50,0,4897,50641,747983,24535,50.5,21205,43.7,2701,18329,175,0,45558,93787,148901
Mississippi,2544285,85489,111711,1713252,57566,1701003,74685,978175,32.9,969952,42.6,780885,26.2,776714,34.1,1257945,1127140,159200,0,48761,816095,847524,872,362216,370883,47759,27,362108,366859,47720,27,733126,32.9,969952,42.6,24.6,728994,32,978175,360218,74,311951,64.1,165599,133425,12917,10,654291,134436,522770,978114,38.8,780868,31,362212,370877,47752,27,1713184,67945,100907
Montana,1057875,98980,125909,831352,77785,818647,97436,463506,43.4,455153,54.2,390654,36.6,386355,46,523575,467100,67200,0,27613,388874,414614,251,176428,187149,27002,75,176359,182934,26987,75,363652,43.4,455153,54.2,34,359368,42.8,463506,164613,79.7,149351,72.3,72488,70599,6222,42,307120,148772,512444,463445,50.5,390637,42.6,176415,187148,26999,75,831269,90592,115287
North Carolina,10908060,104004,133230,7817624,74538,7667654,93652,4377152,41.7,4275961,52.2,3610460,34.4,3561728,43.5,5832060,4470200,605800,0,259558,3221559,4336178,329,1406895,1947073,256457,35,1405105,1901056,255532,35,3354003,41.7,4275961,52.2,32,3306196,40.4,4377152,1370682,78.3,1228811,70.2,577421,623290,28075,25,2619782,149608,622928,4374453,48.7,3609861,40.2,1406813,1946572,256441,35,7814352,86966,121396
North Dakota,672440,88240,115561,594677,78035,586146,100731,310678,40.8,305929,52.6,269237,35.3,266231,45.8,333840,303100,35500,0,23876,260122,310679,0,113709,134393,21134,1,113586,131587,21057,1,248103,40.8,305929,52.6,32.6,245174,42.1,310678,98246,82,86777,72.4,42949,40786,3042,0,190193,158699,561091,310580,48.7,269228,42.2,113705,134390,21132,1,594562,93302,105523
Nebraska,1953120,100967,133928,1614803,83478,1585674,108732,892850,46.2,873031,59.9,773454,40,763984,52.4,1063140,786580,103400,0,57738,662715,891528,2822,301903,412680,58046,825,301829,403321,58012,822,715408,46.2,873031,59.9,37,705972,48.4,892850,267219,85.5,247488,79.2,119759,122749,4396,584,518062,165802,625082,892674,55.2,773415,47.8,301889,412668,58033,825,1614589,99826,120756
New Hampshire,1568765,115375,142039,1272048,93553,1253896,113530,841022,61.9,825927,74.8,515707,37.9,513835,46.5,800865,656900,111000,0,57351,525862,688795,40,202623,255073,57993,18,202474,253374,57969,18,457714,61.9,825927,74.8,33.7,455866,41.3,841022,248498,97.9,202395,79.7,87547,102266,12569,13,427233,168292,617955,840667,70.1,515571,43,202538,255028,57987,18,1271552,106089,130886
New Jersey,10294265,115898,148255,8508720,95795,8323955,119879,5055013,56.9,4923591,70.9,4010836,45.2,3955823,57,5459805,4258760,575700,0,326966,3614878,4566401,475,1574052,2107183,329569,32,1573824,2052537,329433,29,3681267,56.9,4923591,70.9,41.4,3626390,52.2,5055013,1308213,88.7,1142358,77.4,535599,533639,73105,15,2330557,157947,697663,5054506,66.3,4010772,52.6,1574039,2107171,329530,32,8508209,111680,135124
New Mexico,2200355,104937,135741,2031893,96903,1986508,122549,1149260,54.8,1117938,69,941868,44.9,925141,57.1,1110135,956220,134000,0,56730,905847,1066659,2657,389829,495594,55681,764,389593,479197,55589,762,886187,54.8,1117938,69,42.3,869552,53.6,1149260,336621,89.1,294908,78.1,134550,145579,14333,446,613246,162404,582712,1149150,64.3,941837,52.7,389816,495583,55674,764,2031768,113670,123102
Nevada,2754520,89428,115372,2359830,76614,2324250,97350,1324736,43,1301253,54.5,1055068,34.3,1044720,43.8,1455480,1132240,166800,0,90614,980937,1288279,0,423736,542307,89020,5,423677,532046,88992,5,966048,43,1301253,54.5,31.4,955728,40,1324736,390153,78.7,340469,68.6,163230,160034,17201,4,732691,147728,555378,1324707,50.5,1055061,40.2,423733,542305,89018,5,2359798,90007,105062
New York State,21486425,110450,139294,18247671,93801,17908351,116098,10212130,52.5,9974434,64.7,8450267,43.4,8347146,54.1,11337885,8967140,1181400,0,719770,7641508,9882792,3601,3364122,4386925,698490,730,3363456,4284855,698123,712,7751777,52.5,9974434,64.7,39.8,7649023,49.6,10212130,2696596,81.8,2392961,72.6,1154083,1102464,136015,399,4992906,151477,651865,10211207,60.9,8449964,50.4,3364014,4386828,698406,716,18246554,108784,128100
Ohio,11436655,97840,125525,9399183,80410,9229994,101305,5081857,43.5,4972816,54.6,4458088,38.1,4400432,48.3,6045195,4767260,624200,0,354879,3990803,5044084,9417,1799144,2314049,342078,2817,1798929,2256738,341957,2808,4116010,43.5,4972816,54.6,35.2,4058475,44.5,5081857,1656785,81,1547069,75.6,707505,770548,67416,1600,3194969,156132,558889,5081702,50.8,4458056,44.6,1799135,2314038,342066,2817,9399029,93984,114359
Oklahoma,3867475,97738,128713,2866988,72454,2827049,94087,1595677,40.3,1570303,52.3,1289116,32.6,1275229,42.4,1974375,1679100,214000,0,79236,1342032,1445681,39,583058,627967,78067,24,582908,614271,78026,24,1211049,40.3,1570303,52.3,30.6,1197203,39.8,1595677,515006,81.1,439311,69.2,232018,193244,14041,8,950387,149636,608925,1595557,48,1289087,38.8,583046,627958,78059,24,2866838,86215,116307
Oregon,4831335,114548,144168,3710168,87966,3626275,108209,2165015,51.3,2099976,62.7,1686285,40,1666522,49.7,2493075,2057860,280400,0,126718,1545851,2035605,1994,674475,885526,125926,358,673358,867312,125500,352,1560359,51.3,2099976,62.7,37,1541022,46,2165015,635207,82.9,580998,75.8,264847,278423,37542,186,1172023,152990,630657,2163300,59.3,1686275,46.2,674473,885519,125925,358,3708436,101663,132446
Pennsylvania,14320745,111863,140850,11788830,92086,11589224,113984,7090220,55.4,6937500,68.2,5135168,40.1,5088210,50,7296705,6015940,1008100,0,430644,5020342,6337537,307,2038017,2661794,435111,246,2037248,2615828,434894,240,4700057,55.4,6937500,68.2,36.7,4653316,45.8,7090220,2313841,96.7,1801093,75.3,847470,893080,60407,136,4072310,170150,598353,7088958,64,5134802,46.3,2037908,2661569,435079,246,11787240,106368,129231
Puerto Rico,3750930,117448,143113,2396739,75046,2351554,89721,1471345,46.1,1435306,54.8,1023980,32.1,1013496,38.7,1946490,1614440,190000,0,76870,976743,1342843,283,377413,569493,77055,19,377325,559192,76960,19,946925,46.1,1435306,54.8,29.6,936536,35.7,1471345,420066,77.4,343868,63.3,159870,171303,12692,3,747649,137707,690871,1470874,53.9,1023898,37.5,377401,569455,77023,19,2396218,87859,137530
Rhode Island,1400955,132245,163880,1087532,102659,1062946,124341,609063,57.5,591415,69.2,508155,48,501645,58.7,776295,563560,61100,0,41394,447312,598794,32,200089,266772,41285,9,200062,260304,41270,9,466870,57.5,591415,69.2,44.1,460375,53.9,609063,173700,92.9,161573,86.4,74238,82055,5277,3,331331,177139,748990,609012,65.7,508149,54.8,200085,266770,41285,9,1087475,117249,151048
Republic of Palau,24600,137376,176129,21437,119713,21437,153483,12979,72.5,12978,92.9,9942,55.5,9942,71.2,0,20800,3800,0,1299,20137,1,0,8624,19,1299,0,8624,19,1299,0,8643,72.5,12978,92.9,48.3,8643,61.9,12979,1610,52.9,1526,50.1,1367,8,151,0,2943,96682,808147,12979,84.9,9942,65,8624,19,1299,0,21437,140184,160868
South Carolina,4873635,94657,120708,3598024,69882,3549786,87920,2012792,39.1,1980485,49.1,1646147,32,1629969,40.4,2539875,2036660,297100,0,114870,1470739,2011354,1061,626938,906783,112216,210,626090,891727,111942,210,1533931,39.1,1980485,49.1,29.8,1518027,37.6,2012792,764262,81.6,661833,70.6,278581,362442,20665,145,1409279,150400,520119,2011270,45.5,1645662,37.2,626871,906387,112194,210,3596005,81358,110264
South Dakota,925815,104652,138687,753577,85183,741626,111095,412782,46.7,404974,60.7,364898,41.2,360715,54,451035,418180,56600,0,21140,342695,389729,13,161636,181904,21347,11,161599,177766,21339,11,343551,46.7,404974,60.7,38.8,339376,50.8,412782,136334,89.8,126604,83.4,65522,57994,3083,5,256404,168830,609606,412764,55.9,364896,49.4,161635,181903,21347,11,753558,102094,125432
Tennessee,5838250,85490,109760,4624105,67711,4566232,85846,2560618,37.5,2521392,47.4,2060155,30.2,2042234,38.4,3040830,2442720,354700,0,128558,1963179,2524801,7567,844917,1087737,125274,2227,844708,1070163,125141,2222,1934881,37.5,2521392,47.4,28.3,1917093,36,2560618,866670,75.8,756154,66.1,382900,348966,22890,1398,1650305,144334,510607,2560229,43.9,2060074,35.3,844903,1087703,125241,2227,4623641,79232,100046
Texas,29014615,100065,134351,21585931,74445,21125103,97819,12094067,41.7,11805019,54.7,9586146,33.1,9376866,43.4,15366975,11859340,1788300,0,785372,9283833,11515927,799,3956503,4860442,768556,645,3870127,4754331,751777,631,8820029,41.7,11805019,54.7,30.4,8689493,40.2,12094067,2972722,79.6,2547039,68.2,1051243,1291419,204205,171,5585008,149563,776991,12090439,50.2,9584230,39.8,3955712,4859470,768402,645,21581680,89546,120387
