COVID-19 Vaccinations in the United States
Date generated: Sun Mar 07 2021 15:09:31 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Oregon,1420125,33670,42377,1137864,26978,1136394,33910,718580,17,717714,21.4,409610,9.7,409025,12.2
Pennsylvania,4641045,36253,45646,3298800,25768,3296447,32422,2257020,17.6,2255247,22.2,1033492,8.1,1032917,10.2
Puerto Rico,1250670,39161,47718,611567,19149,611386,23327,389276,12.2,389127,14.8,223154,7,223122,8.5
Rhode Island,387365,36566,45313,310283,29290,310147,36280,222457,21,222361,26,88932,8.4,88890,10.4
Republic of Palau,14600,81532,104532,8185,45708,8185,58602,5146,28.7,5146,36.8,3129,17.5,3129,22.4
South Carolina,1642615,31903,40684,1284575,24949,1283559,31791,823824,16,823102,20.4,454186,8.8,453901,11.2
South Dakota,399640,45174,59866,314577,35559,314170,47063,206243,23.3,205951,30.9,108295,12.2,108187,16.2
Tennessee,2305870,33765,43351,1580755,23147,1580493,29713,1015188,14.9,1014971,19.1,538193,7.9,538135,10.1
Texas,9250505,31903,42834,6829275,23553,6805784,31514,4246954,14.6,4231847,19.6,2316297,8,2308058,10.7
Utah,993140,30978,43659,832435,25965,831522,36554,482088,15,481433,21.2,212046,6.6,211905,9.3
Virginia,2881325,33757,43168,2392680,28032,2390988,35822,1533362,18,1532083,23,844476,9.9,844122,12.6
Veterans Health,3195405,N/A,N/A,2597371,N/A,2597350,N/A,1665682,N/A,1665667,N/A,930285,N/A,930279,N/A
Virgin Islands,40420,38613,49504,23014,21985,22976,28140,15032,14.4,14996,18.4,7514,7.2,7511,9.2
Vermont,261100,41844,51198,184327,29540,184196,36118,118292,19,118199,23.2,61961,9.9,61917,12.1
Washington,2657880,34904,44657,2071467,27203,2070288,34784,1321095,17.3,1320257,22.2,736314,9.7,735975,12.4
Wisconsin,1924765,33058,42248,1721352,29564,1720604,37767,1098730,18.9,1098191,24.1,607958,10.4,607747,13.3
West Virginia,723565,40374,50508,594118,33151,593586,41435,358305,20,357956,25,226593,12.6,226441,15.8
Wyoming,236065,40788,53045,177496,30668,177417,39867,110594,19.1,110534,24.8,64192,11.1,64174,14.4
