COVID-19 Vaccinations in the United States
Date generated: Sun Feb 28 2021 15:09:16 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Delaware,291815,29968,37889,212739,21847,212671,27613,141310,14.5,141258,18.3,65740,6.8,65725,8.5
Florida,6313255,29394,36603,4822353,22453,4818899,27939,3039028,14.1,3035967,17.6,1668541,7.8,1668211,9.7
Federated States of Micronesia,30000,28946,37109,14317,13814,14313,17705,10599,10.2,10595,13.1,3757,3.6,3757,4.6
Georgia,2881145,27136,35510,2070076,19497,2069532,25507,1258671,11.9,1258258,15.5,741138,7,741001,9.1
Guam,51300,30947,39675,54244,32723,54227,41939,34205,20.6,34195,26.4,19538,11.8,19532,15.1
Hawaii,497760,35156,44602,370746,26185,370541,33202,243013,17.2,242866,21.8,129821,9.2,129762,11.6
Iowa,901745,28581,37136,684596,21698,684062,28171,515659,16.3,515265,21.2,169214,5.4,169068,7
Idaho,485195,27150,36239,378401,21174,378398,28263,249980,14,249974,18.7,121491,6.8,121488,9.1
Indian Health Svc,868080,41678,N/A,537180,25791,535024,N/A,370073,17.8,368291,N/A,161105,7.7,160764,N/A
Illinois,3575135,28213,36281,2735250,21585,2733455,27740,1964466,15.5,1963033,19.9,757754,6,757425,7.7
Indiana,1848620,27459,35797,1551945,23053,1551639,30046,987547,14.7,987324,19.1,547718,8.1,547636,10.6
Kansas,867585,29780,39203,583498,20029,583015,26344,416368,14.3,416035,18.8,197648,6.8,197486,8.9
Kentucky,1317325,29486,38020,980727,21952,980427,28297,677007,15.2,676765,19.5,329060,7.4,328980,9.5
Louisiana,1331680,28646,37395,1019381,21928,1019202,28620,640314,13.8,640171,18,361607,7.8,361577,10.2
Massachusetts,2091730,30348,37759,1684341,24437,1683279,30386,1194345,17.3,1193554,21.5,471242,6.8,470941,8.5
Maryland,1837445,30393,39003,1280675,21183,1280251,27176,860103,14.2,859779,18.3,463613,7.7,463496,9.8
Maine,416090,30954,37986,332358,24725,332198,30327,227192,16.9,227081,20.7,108382,8.1,108328,9.9
Marshall Islands,21000,35951,46091,10745,18395,10737,23566,8429,14.4,8420,18.5,2270,3.9,2269,5
Michigan,2704700,27083,34486,2245696,22487,2245201,28627,1444239,14.5,1443892,18.4,815724,8.2,815576,10.4
Minnesota,1599790,28367,36891,1322288,23446,1321570,30476,888433,15.8,887930,20.5,436564,7.7,436340,10.1
Missouri,1694635,27611,35550,1278087,20824,1277633,26802,805542,13.1,805220,16.9,411845,6.7,411737,8.6
Northern Mariana Islands,29650,52125,66827,18121,31857,18116,40831,10554,18.6,10550,23.8,7552,13.3,7551,17
Mississippi,869955,29231,38197,593453,19940,593346,26052,401141,13.5,401059,17.6,197908,6.6,197881,8.7
Montana,341645,31966,40663,271075,25363,270818,32233,183889,17.2,183681,21.9,87239,8.2,87195,10.4
North Carolina,2985475,28465,36464,2366027,22559,2364430,28879,1504356,14.3,1503340,18.4,829122,7.9,828543,10.1
North Dakota,246570,32356,42374,225330,29568,225095,38683,142174,18.7,142000,24.4,74353,9.8,74302,12.8
Nebraska,603210,31183,41363,443974,22951,443539,30414,294145,15.2,293839,20.1,144571,7.5,144439,9.9
New Hampshire,412275,30321,37328,310769,22856,310216,28088,224347,16.5,223952,20.3,97674,7.2,97541,8.8
New Jersey,2508320,28240,36124,2008524,22613,2006593,28898,1385622,15.6,1384133,19.9,700924,7.9,700477,10.1
New Mexico,738705,35230,45571,678087,32339,676514,41735,450558,21.5,448976,27.7,233526,11.1,233304,14.4
Nevada,867240,28156,36324,665577,21609,665388,27869,437485,14.2,437346,18.3,216234,7,216188,9.1
New York State,5757205,29595,37323,4060431,20872,4058940,26314,2588847,13.3,2587651,16.8,1368488,7,1368172,8.9
Ohio,3301865,28247,36240,2501854,21403,2500741,27447,1638626,14,1637901,18,848008,7.3,847616,9.3
Oklahoma,1399890,35378,46589,1046995,26460,1046496,34828,665948,16.8,665557,22.2,367540,9.3,367451,12.2
Oregon,1241415,29433,37044,960674,22777,959409,28629,616134,14.6,615343,18.4,335419,8,334960,10
Pennsylvania,3915545,30585,38511,2676006,20903,2674231,26302,1868724,14.6,1867416,18.4,800575,6.3,800111,7.9
Puerto Rico,1036820,32465,39559,538085,16848,537927,20524,350851,11,350719,13.4,187418,5.9,187392,7.1
Rhode Island,308415,29113,36078,245606,23184,245489,28717,176107,16.6,176028,20.6,69910,6.6,69874,8.2
Republic of Palau,9200,51377,65870,8143,45474,8143,58302,5141,28.7,5141,36.8,3085,17.2,3085,22.1
South Carolina,1339205,26010,33169,1057969,20548,1057016,26180,725393,14.1,724702,17.9,330330,6.4,330077,8.2
South Dakota,329300,37223,49329,269289,30440,268979,40293,178635,20.2,178395,26.7,90204,10.2,90140,13.5
Tennessee,1965740,28784,36956,1301529,19058,1301337,24465,845090,12.4,844932,15.9,435414,6.4,435367,8.2
Texas,7615175,26263,35262,5394961,18606,5377692,24901,3445638,11.9,3434212,15.9,1728456,6,1722724,8
Utah,820950,25607,36089,687876,21456,687305,30214,391510,12.2,391130,17.2,177284,5.5,177177,7.8
Virginia,2536495,29717,38002,2002734,23464,2001372,29985,1316987,15.4,1315954,19.7,668076,7.8,667799,10
Veterans Health,2597405,N/A,N/A,2238548,N/A,2238531,N/A,1461294,N/A,1461281,N/A,775917,N/A,775913,N/A
Virgin Islands,36080,34467,44189,19118,18263,19106,23400,12495,11.9,12485,15.3,6278,6,6275,7.7
Vermont,206910,33159,40572,156929,25149,156807,30747,101529,16.3,101441,19.9,51631,8.3,51592,10.1
Washington,2245010,29482,37720,1666839,21889,1665967,27991,1105687,14.5,1105086,18.6,549135,7.2,548867,9.2
Wisconsin,1588665,27285,34871,1421435,24413,1420859,31188,937388,16.1,936992,20.6,472886,8.1,472700,10.4
West Virginia,605255,33773,42249,526059,29354,525604,36689,314571,17.6,314291,21.9,201077,11.2,200933,14
Wyoming,195855,33841,44010,151584,26191,151536,34051,97414,16.8,97377,21.9,51976,9,51966,11.7
