COVID-19 Vaccinations in the United States
Date generated: Wed Mar 10 2021 15:14:55 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence
Montana,414385,38772,49320,343597,32149,343210,40849,220672,20.6,220385,26.2,123617,11.6,123520,14.7,176085,225900,12400,0,374,188929,154212,82,66994,56218,381,24,66983,56132,381,24,123236,20.6,220385,26.2,11.5,123139,14.7,220672
North Carolina,3719845,35467,45434,2909142,27738,2907198,35508,1858432,17.7,1857098,22.7,1015937,9.7,1015320,12.4,1788345,1819800,111700,0,4289,1242964,1661560,329,369427,642205,4283,22,369353,641664,4281,22,1011654,17.7,1857098,22.7,9.6,1011039,12.3,1858432
North Dakota,318530,41798,54740,277845,36460,277561,47700,173961,22.8,173750,29.9,91874,12.1,91818,15.8,143130,166700,8700,0,52,137497,140296,0,44331,47487,56,0,44329,47433,56,0,91818,22.8,173750,29.9,12,91762,15.8,173961
Nebraska,769090,39758,52738,594293,30722,593806,40718,387731,20,387392,26.6,209383,10.8,209227,14.3,378690,366900,23500,0,8592,291120,293406,1175,96538,103807,8765,273,96527,103666,8761,273,200618,20,387392,26.6,10.4,200466,13.7,387731
New Hampshire,512715,37708,46422,393931,28972,393260,35607,289813,21.3,289316,26.2,123431,9.1,123279,11.2,233415,263500,15800,0,4718,218654,170532,27,68374,50220,4833,4,68323,50121,4831,4,118598,21.3,289316,26.2,8.7,118448,10.7,289813
New Jersey,3161120,35589,45526,2639438,29716,2636432,37969,1821711,20.5,1819475,26.2,923455,10.4,922683,13.3,1453920,1628000,79200,0,8854,1395950,1234159,475,463680,450911,8859,5,463655,450166,8857,5,914596,20.5,1819475,26.2,10.3,913826,13.2,1821711
New Mexico,972065,46359,59967,839018,40014,836237,51588,545238,26,542727,33.5,304689,14.5,303906,18.7,473265,473500,25300,0,1795,374686,461591,946,116361,186441,1666,221,116335,185685,1665,221,303023,26,542727,33.5,14.5,302241,18.6,545238
Nevada,1124830,36519,47113,864967,28082,864712,36218,544881,17.7,544697,22.8,298403,9.7,298334,12.5,537030,555300,32500,0,1508,399806,463653,0,134923,161981,1499,0,134920,161916,1498,0,296904,17.7,544697,22.8,9.6,296836,12.4,544881
New York State,7147625,36742,46337,5525344,28403,5522227,35800,3651402,18.8,3648672,23.7,1792253,9.2,1791829,11.6,3466125,3505800,175700,0,28666,2783654,2712454,570,904660,859227,28274,92,904603,858860,28274,92,1763979,18.8,3648672,23.7,9.1,1763555,11.4,3651402
Ohio,4331405,37055,47540,3255735,27853,3254302,35718,2070097,17.7,2069116,22.7,1178428,10.1,1177981,12.9,2023905,2174500,133000,0,22462,1682822,1548340,2111,587917,567652,22238,621,587909,567214,22238,620,1156190,17.7,2069116,22.7,9.9,1155743,12.7,2070097
Oklahoma,1744610,44090,58062,1307274,33037,1306176,43471,822520,20.8,821610,27.3,468285,11.8,468148,15.6,806910,889500,48200,0,1369,621279,684619,7,217541,249379,1364,1,217537,249246,1364,1,466921,20.8,821610,27.3,11.8,466784,15.5,822520
Oregon,1480885,35111,44190,1221981,28972,1220440,36418,773967,18.4,773047,23.1,440717,10.4,440115,13.1,706485,726600,47800,0,2556,607312,611216,897,205468,232563,2543,143,205443,231986,2543,143,438174,18.4,773047,23.1,10.4,437572,13.1,773967
Pennsylvania,4808285,37559,47291,3524263,27529,3521507,34635,2401448,18.8,2399345,23.6,1117905,8.7,1117253,11,2211885,2452500,143900,0,709,1812268,1711190,96,559389,557176,1281,59,559357,556557,1281,58,1116624,18.8,2399345,23.6,8.7,1115972,11,2401448
Puerto Rico,1256170,39333,47928,635352,19894,635168,24234,404145,12.7,403993,15.4,232141,7.3,232109,8.9,582270,646500,27400,0,26,268172,366907,247,94605,137500,29,7,94604,137469,29,7,232112,12.7,403993,15.4,7.3,232080,8.9,404145
Rhode Island,422115,39846,49378,333607,31491,333465,39008,240963,22.7,240862,28.2,94332,8.9,94289,11,198315,211900,11900,0,437,179768,153402,0,51118,42715,498,1,51116,42674,498,1,93834,22.7,240862,28.2,8.9,93791,11,240963
Republic of Palau,14800,82649,105964,8185,45708,8185,58602,5147,28.7,5147,36.9,3130,17.5,3130,22.4,0,14600,200,0,0,8184,1,0,3119,11,0,0,3119,11,0,0,3130,28.7,5147,36.9,17.5,3130,22.4,5147
South Carolina,1776495,34504,44000,1397362,27140,1396292,34583,885144,17.2,884391,21.9,505570,9.8,505267,12.5,920595,797100,58800,0,1635,503599,891105,1023,142012,361764,1592,202,142004,361469,1592,202,503978,17.2,884391,21.9,9.8,503675,12.5,885144
South Dakota,411670,46534,61668,326763,36937,326336,48885,213680,24.2,213373,32,113842,12.9,113729,17,184470,216600,10600,0,522,165231,160997,13,54784,58437,617,4,54782,58326,617,4,113225,24.2,213373,32,12.8,113112,16.9,213680
Tennessee,2344940,34337,44085,1667642,24419,1667351,31346,1064302,15.6,1064059,20,575734,8.4,575673,10.8,1102140,1205600,37200,0,1023,789205,875676,1738,243104,331087,1079,464,243097,331033,1079,464,574655,15.6,1064059,20,8.4,574594,10.8,1064302
Texas,9694925,33436,44892,7299866,25176,7272828,33677,4574899,15.8,4557366,21.1,2460920,8.5,2451489,11.4,4850625,4647800,196500,0,22314,3615393,3661928,231,1212916,1226634,21283,87,1208267,1221933,21201,87,2439606,15.8,4557366,21.1,8.4,2430256,11.3,4574899
Utah,1054260,32884,46346,880032,27450,878917,38638,512666,16,511840,22.5,236663,7.4,236490,10.4,489060,534800,30400,0,9387,420393,450252,0,112608,114875,9180,0,112590,114727,9173,0,227483,16,511840,22.5,7.1,227317,10,512666
Virginia,3091425,36218,46316,2553714,29919,2551831,38232,1642937,19.2,1641527,24.6,917398,10.7,916986,13.7,1500525,1509100,81800,0,21884,1215658,1315914,258,423876,471651,21785,86,423808,471311,21781,86,895613,19.2,1641527,24.6,10.5,895205,13.4,1642937
Veterans Health,3387645,N/A,N/A,2718748,N/A,2718727,N/A,1738461,N/A,1738446,N/A,988084,N/A,988078,N/A,1449045,1867000,71600,0,9221,1446786,1262740,1,471241,507623,9220,0,471241,507617,9220,0,978864,N/A,1738446,N/A,0,978858,0,1738461
Virgin Islands,42090,40208,51549,23752,22690,23709,29037,15591,14.9,15549,19,7665,7.3,7662,9.4,23790,18300,0,0,0,10878,12874,0,3781,3884,0,0,3779,3883,0,0,7665,14.9,15549,19,7.3,7662,9.4,15591
Vermont,272530,43675,53439,203900,32677,203766,39955,130466,20.9,130371,25.6,69148,11.1,69102,13.5,127530,137700,7300,0,0,107214,96501,185,34579,34504,13,52,34577,34460,13,52,69135,20.9,130371,25.6,11.1,69089,13.5,130466
Washington,2942240,38638,49434,2255182,29615,2253851,37868,1437268,18.9,1436299,24.1,804325,10.6,803966,13.5,1418040,1453200,71000,0,1481,1131430,1121205,1066,411027,391463,1532,303,411010,391121,1532,303,802793,18.9,1436299,24.1,10.5,802434,13.5,1437268
Wisconsin,2154685,37007,47295,1812456,31129,1811638,39765,1155268,19.8,1154667,25.3,642274,11,642059,14.1,1030185,1096600,27900,0,385,810920,1001010,141,247441,394344,449,40,247439,394131,449,40,641825,19.8,1154667,25.3,11,641610,14.1,1155268
West Virginia,773125,43140,53967,606345,33833,605803,42288,367001,20.5,366648,25.6,231295,12.9,231136,16.1,350025,401700,21400,0,344,306052,299949,0,112167,118652,466,10,112132,118529,465,10,230829,20.5,366648,25.6,12.9,230671,16.1,367001
Wyoming,246125,42526,55306,185813,32105,185723,41733,115046,19.9,114975,25.8,68289,11.8,68271,15.3,112125,127500,6500,0,366,96314,89069,64,33639,34268,374,8,33638,34251,374,8,67915,19.9,114975,25.8,11.7,67897,15.3,115046
