COVID-19 Vaccinations in the United States
Date generated: Thu Mar 11 2021 15:14:40 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence
Northern Mariana Islands,44010,77371,99193,21022,36957,21016,47367,12277,21.6,12272,27.7,8732,15.4,8731,19.7,30810,12800,400,0,0,2332,18690,0,610,8122,0,0,610,8121,0,0,8732,21.6,12272,27.7,15.4,8731,19.7,12277
Mississippi,1147355,38552,50376,801306,26924,801110,35174,523070,17.6,522925,23,289830,9.7,289780,12.7,500955,614400,32000,0,8485,428259,364099,463,148117,133376,8327,10,148110,133334,8326,10,281503,17.6,522925,23,9.5,281454,12.4,523070
Montana,446835,41808,53183,349631,32713,349225,41565,224812,21,224506,26.7,126093,11.8,125996,15,193635,240800,12400,0,964,191086,157497,84,67648,57450,970,25,67637,57364,970,25,125123,21,224506,26.7,11.7,125026,14.9,224812
North Carolina,3960335,37760,48371,2979031,28404,2977002,36361,1906434,18.2,1905018,23.3,1040603,9.9,1039984,12.7,1913535,1935100,111700,0,8081,1275276,1695345,329,380667,651831,8083,22,380593,651289,8080,22,1032520,18.2,1905018,23.3,9.8,1031904,12.6,1906434
North Dakota,321600,42201,55268,280757,36842,280470,48200,175078,23,174867,30.1,93608,12.3,93551,16.1,144300,168500,8800,0,329,139025,141403,0,44841,48437,330,0,44839,48382,330,0,93278,23,174867,30.1,12.2,93221,16,175078
Nebraska,774790,40053,53128,607373,31398,606880,41615,396661,20.5,396317,27.2,215091,11.1,214935,14.7,378690,372600,23500,0,10415,295793,299939,1226,98583,105634,10582,292,98572,105493,10578,292,204509,20.5,396317,27.2,10.6,204357,14,396661
New Hampshire,531815,39112,48152,405366,29813,404684,36641,297909,21.9,297403,26.9,128318,9.4,128164,11.6,233415,282600,15800,0,5721,224031,175587,27,71165,51276,5873,4,71113,51176,5871,4,122445,21.9,297403,26.9,9,122293,11.1,297909
New Jersey,3302940,37186,47568,2714949,30566,2711740,39054,1871063,21.1,1868686,26.9,953326,10.7,952498,13.7,1566240,1644900,91800,0,11118,1424849,1278507,475,474522,467532,11267,5,474497,466731,11265,5,942059,21.1,1868686,26.9,10.6,941233,13.6,1871063
New Mexico,988615,47148,60988,840633,40091,837831,51686,546442,26.1,543905,33.6,305392,14.6,304609,18.8,479115,484100,25400,0,1795,375366,462526,946,116729,186754,1688,221,116703,185998,1687,221,303704,26.1,543905,33.6,14.5,302922,18.7,546442
Nevada,1137630,36934,47649,878645,28526,878382,36791,553065,18,552873,23.2,304199,9.9,304130,12.7,537030,568100,32500,0,1919,406720,470006,0,137420,164857,1922,0,137417,164792,1921,0,302277,18,552873,23.2,9.8,302209,12.7,553065
New York State,7698785,39575,49910,5691711,29258,5688300,36877,3781666,19.4,3778666,24.5,1845103,9.5,1844652,12,3697785,3810400,190600,0,46812,2835479,2808831,589,919083,879829,46095,96,919026,879435,46095,96,1799008,19.4,3778666,24.5,9.2,1798557,11.7,3781666
Ohio,4444875,38026,48785,3316480,28372,3315018,36384,2109012,18,2108006,23.1,1209855,10.4,1209403,13.3,2025075,2286800,133000,0,33082,1705873,1575291,2234,598360,578066,32777,652,598351,577626,32775,651,1177078,18,2108006,23.1,10.1,1176628,12.9,2109012
Oklahoma,1889040,47740,62869,1334818,33733,1333632,44384,839508,21.2,838522,27.9,479038,12.1,478896,15.9,864240,976600,48200,0,2737,634814,697260,7,223793,252573,2671,1,223789,252436,2670,1,476367,21.2,838522,27.9,12,476226,15.8,839508
Oregon,1608165,38129,47988,1238835,29372,1237279,36921,784943,18.6,784012,23.4,447042,10.6,446435,13.3,746265,814100,47800,0,2784,615991,619152,908,209216,234903,2776,147,209191,234321,2776,147,444266,18.6,784012,23.4,10.5,443659,13.2,784943
Pennsylvania,4968885,38813,48871,3638014,28418,3635075,35752,2470284,19.3,2468064,24.3,1161950,9.1,1161230,11.4,2363985,2461000,143900,0,988,1870704,1766225,97,587117,573003,1767,63,587082,572319,1767,62,1160183,19.3,2468064,24.3,9.1,1159463,11.4,2470284
Puerto Rico,1343520,42068,51261,674636,21124,674431,25732,427506,13.4,427337,16.3,248683,7.8,248646,9.5,634920,670100,38500,0,139,285826,388424,247,102252,146280,144,7,102250,146246,143,7,248539,13.4,427337,16.3,7.8,248503,9.5,427506
Rhode Island,424815,40101,49694,340997,32189,340855,39872,246202,23.2,246100,28.8,97198,9.2,97155,11.4,198315,214600,11900,0,918,184080,155999,0,52930,43214,1053,1,52928,43173,1053,1,96145,23.2,246100,28.8,9.1,96102,11.2,246202
Republic of Palau,14800,82649,105964,8586,47948,8586,61473,5550,31,5550,39.7,3134,17.5,3134,22.4,0,14600,200,0,0,8585,1,0,3122,12,0,0,3122,12,0,0,3134,31,5550,39.7,17.5,3134,22.4,5550
South Carolina,1817845,35307,45024,1423016,27638,1421934,35218,902545,17.5,901779,22.3,516180,10,515876,12.8,926445,832600,58800,0,3907,515625,902460,1024,144906,367339,3732,203,144898,367043,3732,203,512448,17.5,901779,22.3,10,512144,12.7,902545
South Dakota,424610,47997,63606,332059,37535,331606,49674,217047,24.5,216723,32.5,116073,13.1,115951,17.4,186810,227200,10600,0,769,167501,163776,13,55515,59683,871,4,55513,59563,871,4,115202,24.5,216723,32.5,13,115080,17.2,217047
Tennessee,2439940,35728,45871,1711512,25062,1711195,32171,1091669,16,1091403,20.5,591766,8.7,591701,11.1,1102140,1269000,68800,0,1607,815534,892558,1813,252906,336649,1724,487,252899,336593,1722,487,590042,16,1091403,20.5,8.6,589979,11.1,1091669
Texas,10509965,36246,48666,7529655,25968,7501843,34737,4740604,16.3,4722496,21.9,2538748,8.8,2529051,11.7,5145465,5024600,339900,0,41267,3706684,3781466,238,1239110,1259419,40125,94,1234377,1254608,39972,94,2498625,16.3,4722496,21.9,8.6,2489081,11.5,4740604
Utah,1091460,34045,47981,903099,28169,901951,39650,529210,16.5,528358,23.2,243839,7.6,243663,10.7,489060,572000,30400,0,13327,430888,458884,0,114406,116370,13063,0,114388,116220,13055,0,230776,16.5,528358,23.2,7.2,230608,10.1,529210
Virginia,3141805,36809,47071,2616782,30658,2614858,39176,1684219,19.7,1682778,25.2,949845,11.1,949416,14.2,1505205,1548000,88600,0,32376,1245419,1338719,268,435322,482282,32152,89,435252,481931,32144,89,917693,19.7,1682778,25.2,10.8,917272,13.7,1684219
Veterans Health,3472745,N/A,N/A,2775356,N/A,2775335,N/A,1769177,N/A,1769162,N/A,1015740,N/A,1015734,N/A,1449045,1952100,71600,0,11001,1479702,1284652,1,490586,514155,10999,0,490586,514149,10999,0,1004741,N/A,1769162,N/A,0,1004735,0,1769177
Virgin Islands,43860,41899,53717,24615,23515,24567,30088,16194,15.5,16147,19.8,7896,7.5,7893,9.7,24960,18700,200,0,0,11053,13562,0,3868,4024,4,0,3866,4023,4,0,7892,15.5,16147,19.8,7.5,7889,9.7,16194
Vermont,281530,45118,55204,207110,33191,206975,40585,132811,21.3,132715,26,69928,11.2,69882,13.7,127530,146700,7300,0,0,108163,98762,185,34968,34884,24,52,34966,34840,24,52,69904,21.3,132715,26,11.2,69858,13.7,132811
Washington,2989200,39255,50223,2303420,30249,2302056,38678,1469986,19.3,1468991,24.7,819624,10.8,819258,13.8,1427400,1477000,84800,0,1874,1150816,1149632,1098,420631,396743,1938,312,420614,396394,1938,312,817686,19.3,1468991,24.7,10.7,817320,13.7,1469986
Wisconsin,2169885,37268,47629,1839822,31599,1838988,40366,1171932,20.1,1171316,25.7,652728,11.2,652512,14.3,1030185,1111800,27900,0,388,826930,1012356,148,254961,397230,494,43,254959,397016,494,43,652234,20.1,1171316,25.7,11.2,652018,14.3,1171932
West Virginia,778825,43458,54365,611113,34099,610571,42620,370361,20.7,370008,25.8,232746,13,232587,16.2,350025,407400,21400,0,388,309311,301414,0,113243,118917,576,10,113208,118794,575,10,232170,20.7,370008,25.8,13,232012,16.2,370361
Wyoming,259495,44836,58310,190180,32860,190087,42714,116799,20.2,116725,26.2,70919,12.3,70901,15.9,113295,139700,6500,0,542,98047,91527,64,34563,35818,530,8,34562,35801,530,8,70389,20.2,116725,26.2,12.2,70371,15.8,116799
