COVID-19 Vaccinations in the United States
Date generated: Mon May 17 2021 15:13:50 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Georgia,10223535,96290,126006,7055138,66449,6958663,85766,3973172,37.4,3908482,48.2,3096482,29.2,3064579,37.8,5322135,4335500,565900,0,172937,3170047,3711633,521,1358077,1568311,169791,303,1357763,1536950,169569,297,2926691,37.4,3908482,48.2,27.6,2895010,35.7,3973172,1181324,77.9,1004821,66.2,564628,418092,21942,159,2257745,148834,673952,3971844,44.2,3096308,34.4,1358042,1568255,169708,303,7053723,78478,113745
Guam,173470,104646,134162,145726,87910,141669,109567,81918,49.4,79476,61.5,64828,39.1,63214,48.9,98670,63700,11100,0,1803,57365,86558,0,23169,39851,1808,0,23164,38242,1808,0,63020,49.4,79476,61.5,38,61406,47.5,81918,14089,50,12349,43.8,5195,7006,148,0,26446,93843,615557,81912,57.9,64827,45.8,23168,39851,1808,0,145719,102937,122540
Hawaii,1657410,117059,148513,1446496,102163,1422039,127422,862508,60.9,842832,75.5,610661,43.1,605245,54.2,926250,654860,76300,0,28161,523218,801357,93760,216512,347618,28460,18071,216260,342562,28369,18054,582201,60.9,842832,75.5,41.1,576876,51.7,862508,258059,96.1,212819,79.3,88819,115722,6869,1409,464312,172962,617404,861272,71.1,610511,50.4,216474,347543,28434,18060,1445821,119380,136851
Iowa,3099895,98251,127661,2666483,84514,2628578,108251,1468612,46.5,1444165,59.5,1280972,40.6,1267859,52.2,1591395,1331500,177000,0,103544,1194520,1368297,122,558886,620466,101559,61,558795,607497,101506,61,1179413,46.5,1444165,59.5,37.4,1166353,48,1468612,478454,86.5,451282,81.6,242772,199494,8972,44,926003,167465,560606,1468582,54.9,1280961,47.9,558880,620463,101557,61,2666467,99633,115828
Idaho,1539755,86161,115005,1179378,65995,1179326,88084,642709,36,642536,48,551587,30.9,551521,41.2,791115,652540,96100,0,35646,522343,620765,624,233786,282093,35511,197,233777,282049,35499,196,516076,36,642536,48,28.9,516022,38.5,642709,226646,78,209792,72.2,98205,103991,7514,82,434892,149617,529726,642695,43,551576,36.9,233784,282091,35504,197,1179359,78865,102966
Indian Health Svc,1702335,81732,N/A,1318914,63324,1283015,N/A,742033,35.6,720453,N/A,590397,28.3,576125,N/A,717015,911620,73700,0,21374,735898,561642,0,318977,250209,21211,0,318785,236163,21177,0,569186,35.6,720453,N/A,27.3,554948,0,742033,147069,0,120211,0,69275,48662,2274,0,268021,0,0,741771,0,590283,0,318914,250170,21199,0,1318520,0,0
Illinois,13306375,105008,135036,10704700,84476,10489901,106454,6423171,50.7,6265014,63.6,4627003,36.5,4563443,46.3,7097415,5406160,802800,0,355060,4465656,5877422,6562,1815158,2454097,355532,2216,1812291,2394961,353986,2205,4271471,50.7,6265014,63.6,33.7,4209457,42.7,6423171,1764024,86.3,1404601,68.7,651354,698230,53723,1294,3123177,152855,651242,6420799,59.2,4626920,42.7,1815119,2454075,355510,2216,10702265,98749,122777
Indiana,5987240,88934,115936,4741671,70433,4673917,90505,2641183,39.2,2595537,50.3,2184367,32.4,2166177,41.9,3178500,2408040,400700,0,155669,1955270,2620256,10476,871497,1155716,153725,3429,871387,1137728,153635,3427,2030642,39.2,2595537,50.3,30.2,2012542,39,2641183,867315,79.9,812136,74.8,405906,385121,19026,2083,1689030,155564,551442,2641070,46.3,2184338,38.3,871489,1155707,153713,3429,4741545,83112,104947
Kansas,2888985,99165,130542,2210980,75892,2181822,98588,1300849,44.7,1280097,57.8,1061051,36.4,1049234,47.4,1449825,1276460,162700,0,66187,1006590,1137627,576,460854,533735,66273,189,460739,522082,66225,188,994778,44.7,1280097,57.8,34.1,983009,44.4,1300849,425169,89.4,358338,75.4,174415,171621,12196,106,753289,158425,607584,1300752,53.1,1061033,43.3,460847,533729,66268,189,2210874,90177,117836
Kentucky,4173955,93426,120467,3431439,76806,3388629,97802,1945062,43.5,1917263,55.3,1616632,36.2,1601857,46.2,2117115,1811640,245200,0,127399,1541400,1762276,364,687823,803697,124791,321,687732,789072,124733,320,1491841,43.5,1917263,55.3,33.4,1477124,42.6,1945062,618952,82.5,546959,72.9,249176,268980,28605,198,1122681,149578,556109,1944797,51.1,1616605,42.5,687816,803691,124777,321,3430466,90129,109663
Louisiana,3797620,81690,106640,2925419,62929,2901835,81486,1580654,34,1566266,44,1371673,29.5,1362673,38.3,1919580,1644640,233400,0,98281,1375495,1450630,1013,614436,662579,94149,509,614285,653807,94074,507,1277524,34,1566266,44,27.5,1268599,35.6,1580654,561586,75.8,524281,70.8,250571,257016,16589,105,1092829,147476,512484,1580553,40.3,1371645,35,614431,662572,94133,509,2925298,74562,96796
Massachusetts,8523650,123666,153865,7294378,105831,7138862,128867,4293266,62.3,4179610,75.4,3215767,46.7,3172860,57.3,4645290,3458160,420200,0,240561,3023981,4029707,129,1245560,1728247,241927,33,1243833,1687838,241158,31,2973840,62.3,4179610,75.4,43.1,2931702,52.9,4293266,1093316,93.5,948635,81.1,431797,458884,57940,14,1983282,169608,728933,4292072,71.3,3215748,53.4,1245554,1728239,241922,33,7293211,121215,141665
Maryland,7154150,118335,151861,5562579,92009,5438931,115452,3220987,53.3,3133009,66.5,2558169,42.3,2523733,53.6,3876210,2855840,422100,0,215314,2298848,3044360,4057,1004650,1343473,208873,1173,1004486,1309305,208774,1168,2349296,53.3,3133009,66.5,38.9,2314959,49.1,3220987,833914,86.9,750236,78.2,366835,340004,42955,442,1529470,159420,745693,3220783,62.4,2558114,49.5,1004629,1343457,208855,1173,5562364,107737,138569
Maine,1628280,121133,148651,1349801,100416,1330119,121431,790376,58.8,776451,70.9,654231,48.7,648407,59.2,826800,704880,96600,0,87381,588491,673740,189,257656,309368,87145,62,257625,303611,87114,57,567086,58.8,776451,70.9,42.2,561293,51.2,790376,263315,92.3,245480,86.1,111767,114194,19502,17,487351,170841,570796,790313,66.7,654209,55.2,257653,309365,87129,62,1349731,113908,137415
Marshall Islands,51300,87823,112594,28858,49403,28794,63197,15651,26.8,15606,34.3,13275,22.7,13256,29.1,0,40500,10800,0,98,28760,0,0,13168,5,102,0,13149,5,102,0,13173,26.8,15606,34.3,22.6,13154,28.9,15651,953,9.6,813,8.2,804,0,9,0,1757,17694,516616,15635,31.3,13268,26.6,13161,5,102,0,28835,57804,102839
Michigan,10576610,105905,134855,8073206,80838,7932706,101145,4575076,45.8,4482425,57.2,3858133,38.6,3808716,48.6,5560230,4396780,619600,0,267832,3415130,4388951,1293,1548137,2036679,272749,568,1547814,1987718,272618,566,3585384,45.8,4482425,57.2,35.9,3536098,45.1,4575076,1440428,81.6,1326989,75.2,664683,609939,51985,382,2688741,152302,599105,4574896,53.2,3858091,44.9,1548119,2036665,272739,568,8073003,93927,123055
Minnesota,5776950,102435,133218,4983777,88371,4884879,112646,2876356,51,2808506,64.8,2346132,41.6,2314805,53.4,3104790,2369260,302900,0,218905,2062335,2702238,299,917973,1207176,220889,94,917429,1176582,220702,92,2125243,51,2808506,64.8,37.7,2094103,48.3,2876356,820335,89.1,755162,82,319217,395370,40548,27,1520176,165168,627669,2875397,60.2,2346096,49.1,917966,1207165,220871,94,4982786,104284,120905
Missouri,5674925,92464,119050,4421909,72048,4365301,91576,2452806,40,2416945,50.7,1982295,32.3,1964658,41.2,3058965,2315960,300000,0,135460,1734618,2551466,365,756085,1090191,135956,63,755917,1072844,135836,61,1846339,40,2416945,50.7,30.1,1828822,38.4,2452806,823539,77.5,722020,68,329999,364732,27261,28,1557770,146678,534343,2452564,46.8,1982269,37.9,756077,1090184,135945,63,4421646,84452,108389
Northern Mariana Islands,72330,127158,163023,44896,78928,43808,98738,24108,42.4,23407,52.8,20926,36.8,20539,46.3,49530,20200,2600,0,130,6200,38566,0,2690,18102,134,0,2690,17715,134,0,20792,42.4,23407,52.8,36.6,20405,46,24108,2543,26.3,2379,24.6,372,1962,45,0,4879,50455,747983,24108,49.6,20926,43.1,2690,18102,134,0,44896,92424,148901
Mississippi,2529915,85006,111080,1688182,56724,1677627,73659,966159,32.5,959311,42.1,767645,25.8,763814,33.5,1245075,1126040,158800,0,47811,805941,833562,868,356570,364215,46833,27,356472,360521,46794,27,720812,32.5,959311,42.1,24.2,717020,31.5,966159,358462,73.7,309360,63.6,164330,132333,12687,10,649946,133543,519817,966099,38.3,767628,30.4,356566,364209,46826,27,1688115,66951,100337
Montana,1049245,98172,124882,825322,77221,814010,96884,459976,43,452984,53.9,388059,36.3,383800,45.7,515385,466660,67200,0,27068,386693,411322,239,175082,186427,26477,73,175015,182250,26462,73,361582,43,452984,53.9,33.8,357338,42.5,459976,164327,79.6,148894,72.1,72278,70429,6145,42,306222,148337,508264,459915,50.1,388042,42.3,175069,186426,26474,73,825239,89935,114347
North Carolina,10876760,103706,132848,7736850,73768,7608264,92927,4330478,41.3,4248701,51.9,3573098,34.1,3526343,43.1,5818020,4455340,603400,0,256277,3198072,4282172,329,1393066,1926793,253204,35,1391336,1882674,252298,35,3319894,41.3,4248701,51.9,31.7,3274045,40,4330478,1368539,78.2,1225258,70,575992,621463,27778,25,2614431,149303,621141,4328518,48.2,3572499,39.8,1392984,1926292,253188,35,7734310,86075,121048
North Dakota,664790,87236,114246,592919,77805,584766,100494,309724,40.6,305281,52.5,268355,35.2,265378,45.6,327990,301300,35500,0,23673,259563,309683,0,113385,134018,20951,1,113264,131237,20876,1,247404,40.6,305281,52.5,32.5,244502,42,309724,98192,81.9,86681,72.3,42926,40732,3023,0,190057,158586,554708,309647,48.6,268347,42.1,113381,134016,20949,1,592828,93030,104322
Nebraska,1912970,98892,131175,1585004,81937,1562232,107124,880010,45.5,865531,59.4,756234,39.1,747780,51.3,1024530,785140,103300,0,56764,652483,872973,2784,294529,403737,57151,817,294456,395393,57117,814,699083,45.5,865531,59.4,36.1,690663,47.4,880010,266513,85.3,246045,78.7,119072,122100,4294,579,515797,165077,612233,879834,54.4,756195,46.8,294515,403725,57138,817,1584791,97983,118274
New Hampshire,1524445,112115,138027,1211530,89102,1196728,108354,813340,59.8,800857,72.5,482876,35.5,481326,43.6,782145,631500,110800,0,55659,505509,650322,40,196581,229861,56418,16,196440,228476,56394,16,426458,59.8,800857,72.5,31.4,424932,38.5,813340,246277,97,198574,78.2,86826,99362,12375,11,421341,165971,600497,812989,67.8,482742,40.3,196496,229818,56412,16,1211040,101040,127189
New Jersey,10138285,114142,146009,8358727,94107,8206103,118182,4985485,56.1,4879654,70.3,3922123,44.2,3873857,55.8,5410665,4154920,572700,0,321260,3562035,4474957,475,1537964,2060460,323667,32,1537743,2012553,323532,29,3598456,56.1,4879654,70.3,40.5,3550325,51.1,4985485,1303749,88.4,1133434,76.8,530788,530368,72263,15,2318116,157103,687092,4984987,65.4,3922060,51.5,1537952,2060448,323628,32,8358224,109711,133077
New Mexico,2169015,103443,133808,2007997,95764,1967785,121394,1138906,54.3,1112063,68.6,927399,44.2,911911,56.3,1091415,944700,132900,0,55451,897855,1052088,2603,384960,487289,54401,749,384730,472123,54310,748,872998,54.3,1112063,68.6,41.6,857601,52.9,1138906,335993,89,292823,77.5,133560,144641,14185,437,610512,161680,574412,1138801,63.7,927368,51.9,384947,487278,54394,749,2007874,112333,121348
Nevada,2727720,88558,114249,2333621,75763,2301734,96407,1311047,42.6,1290810,54.1,1040958,33.8,1031034,43.2,1434420,1127500,165800,0,88837,970452,1274332,0,416779,536951,87223,5,416722,527111,87196,5,953735,42.6,1290810,54.1,31,943838,39.5,1311047,389252,78.5,339146,68.4,162539,159644,16959,4,730718,147330,549975,1311022,50,1040951,39.7,416776,536949,87221,5,2333589,89007,104040
New York State,21214365,109051,137530,17928006,92158,17643591,114381,10067820,51.8,9877394,64,8272430,42.5,8177709,53,11143665,8902400,1168300,0,695754,7543395,9685352,3505,3298978,4291941,680802,709,3298339,4198231,680448,691,7591628,51.8,9877394,64,39,7497261,48.6,10067820,2686381,81.5,2375021,72.1,1146213,1094428,133994,386,4964178,150606,643611,10066929,60,8272139,49.3,3298874,4291846,680724,695,17926931,106878,126478
Ohio,11344535,97052,124514,9291793,79491,9144905,100371,5027138,43,4937563,54.2,4406178,37.7,4351196,47.8,6012435,4715600,616500,0,348218,3955520,4978814,9241,1778287,2289589,335536,2766,1778076,2234942,335421,2757,4070642,43,4937563,54.2,34.8,4015775,44.1,5027138,1652507,80.8,1540389,75.3,704429,767867,66516,1577,3181273,155463,554387,5026991,50.3,4406146,44.1,1778278,2289578,335524,2766,9291646,92910,113437
Oklahoma,3860065,97551,128466,2850488,72037,2813211,93626,1586955,40.1,1564009,52.1,1281073,32.4,1267403,42.2,1970865,1675200,214000,0,78375,1334609,1437465,39,579065,624759,77227,22,578915,611280,77186,22,1203846,40.1,1564009,52.1,30.4,1190217,39.6,1586955,514340,81,438328,69,231473,192917,13932,6,948802,149387,607758,1586835,47.7,1281044,38.5,579053,624750,77219,22,2850338,85719,116084
Oregon,4539165,107621,135450,3635946,86206,3569933,106528,2129818,50.5,2080454,62.1,1643042,39,1625566,48.5,2335125,1926840,277200,0,122886,1527395,1983712,1953,662431,858067,122201,343,661390,842040,121798,338,1520841,50.5,2080454,62.1,36.1,1503768,44.9,2129818,633358,82.7,578066,75.5,263663,277212,37014,177,1167747,152431,592518,2129214,58.4,1643032,45,662429,858060,122200,343,3635336,99659,124437
Pennsylvania,14115885,110263,138835,11557842,90282,11395790,112082,6984945,54.6,6861786,67.5,5001289,39.1,4961997,48.8,7153965,5956920,1005000,0,419112,4934257,6204177,296,1984965,2592282,423801,241,1984227,2553932,423601,237,4577488,54.6,6861786,67.5,35.8,4538396,44.6,6984945,2303202,96.2,1782591,74.5,837101,886428,58927,135,4043965,168966,589793,6983818,63,5000930,45.1,1984859,2592061,423769,241,11556393,104285,127382
Puerto Rico,3673280,115017,140150,2365256,74060,2325212,88716,1455245,45.6,1423533,54.3,1007048,31.5,997671,38.1,1882140,1601140,190000,0,76132,963812,1325030,282,370464,560251,76314,19,370378,551052,76222,19,930734,45.6,1423533,54.3,29.1,921449,35.2,1455245,418741,77.1,342421,63.1,159095,170703,12620,3,744977,137215,676569,1454793,53.3,1006967,36.9,370452,560214,76282,19,2364755,86705,134683
Rhode Island,1357925,128183,158847,1063244,100367,1042349,121931,601520,56.8,586659,68.6,491332,46.4,485682,56.8,758745,538080,61100,0,40706,437261,585246,31,191792,258942,40589,9,191765,253334,40574,9,450743,56.8,586659,68.6,42.5,445108,52.1,601520,173317,92.7,160707,85.9,73918,81578,5208,3,330094,176477,725985,601475,64.8,491326,53,191788,258940,40589,9,1063191,114631,146408
Republic of Palau,24600,137376,176129,20625,115178,20625,147670,12976,72.5,12976,92.9,9131,51,9131,65.4,0,20800,3800,0,1299,19325,1,0,7813,19,1299,0,7813,19,1299,0,7832,72.5,12976,92.9,43.7,7832,56.1,12976,1610,52.9,1503,49.4,1344,8,151,0,2920,95926,808147,12976,84.9,9131,59.7,7813,19,1299,0,20625,134874,160868
South Carolina,4855205,94299,120252,3565555,69251,3522873,87253,1995829,38.8,1968426,48.8,1628925,31.6,1613404,40,2531685,2026520,297000,0,113247,1455629,1995618,1061,617767,900365,110585,208,616970,885905,110321,208,1518340,38.8,1968426,48.8,29.5,1503083,37.2,1995829,762957,81.4,659601,70.4,277237,361788,20432,144,1406046,150055,518152,1994592,45.1,1628444,36.8,617701,899972,110563,208,3563831,80630,109847
South Dakota,922975,104331,138261,749370,84707,738628,110646,410082,46.4,403345,60.4,363115,41,359067,53.8,448695,417680,56600,0,20903,341633,386821,13,161091,180911,21102,11,161054,176908,21094,11,342013,46.4,403345,60.4,38.7,337973,50.6,410082,136166,89.7,126425,83.2,65447,57923,3050,5,256119,168642,607736,410064,55.6,363113,49.2,161090,180910,21102,11,749351,101524,125047
Tennessee,5806670,85027,109166,4572341,66953,4521428,85003,2536834,37.1,2503606,47.1,2031846,29.8,2014867,37.9,3024450,2429620,352600,0,126543,1947381,2491050,7367,836220,1070184,123278,2164,836016,1053547,123145,2159,1908568,37.1,2503606,47.1,27.9,1891722,35.6,2536834,864340,75.6,751731,65.7,381461,346297,22613,1360,1643122,143706,507846,2536457,43.5,2031766,34.8,836207,1070150,123245,2164,4571890,78345,99505
Texas,28654065,98821,132682,21179788,73044,20786249,96250,11881680,41,11663058,54,9377315,32.3,9199235,42.6,15120105,11769660,1764300,0,765068,9195212,11218707,801,3899143,4728861,748664,647,3825096,4639057,734446,635,8630976,41,11663058,54,29.8,8515321,39.4,11881680,2973985,79.6,2560007,68.6,1064466,1290979,204385,177,5552256,148685,767336,11878116,49.3,9375440,38.9,3898363,4727915,748514,647,21175617,87862,118891
