COVID-19 Vaccinations in the United States
Date generated: Sat May 15 2021 15:12:57 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4141980,N/A,N/A,3249032,N/A,3220129,N/A,1942920,N/A,1923193,N/A,1318651,N/A,1309808,N/A,2235480,1723800,182700,0,94071,1422632,1731930,399,532366,695129,91156,0,532311,686366,91131,0,1227495,N/A,1923193,N/A,0,1218677,0,1942920,168644,0,119753,0,42240,73551,3962,0,293067,0,0,1940477,0,1318548,0,532345,695057,91146,0,3246495,0,0
Delaware,1114215,114424,144667,851363,87430,838431,108860,487833,50.1,479810,62.3,375104,38.5,371557,48.2,582855,470260,61100,0,36773,343668,470649,273,138329,200417,36228,130,138271,196953,36203,130,338876,50.1,479810,62.3,34.8,335354,43.5,487833,169387,89.7,145233,76.9,59221,78569,7362,81,315409,166966,589825,487708,58.1,375086,44.7,138327,200406,36223,130,851221,101359,132675
Florida,22482555,104678,130350,17052882,79398,16897171,97967,9696388,45.1,9592104,55.6,7437086,34.6,7386962,42.8,11673675,9257080,1551800,0,663463,7299041,9060745,29633,2984704,3788326,654407,9649,2983971,3739251,654094,9646,6782679,45.1,9592104,55.6,31.6,6732868,39,9696388,3870186,86.1,3245548,72.2,1622830,1470036,145371,7311,7394753,164425,499908,9690148,51.8,7436299,39.8,2984136,3788257,654257,9649,17045960,91174,120253
Federated States of Micronesia,77800,75065,96237,38461,37109,38437,47546,22510,21.7,22490,27.8,16605,16,16601,20.5,0,67600,10200,0,657,37804,0,0,15916,29,660,0,15912,29,660,0,15945,21.7,22490,27.8,15.4,15941,19.7,22510,1957,11.1,1612,9.1,1495,5,112,0,3442,19536,441569,22504,25.4,16604,18.8,15915,29,660,0,38454,43446,87901
Georgia,10159755,95689,125220,7004624,65973,6912864,85202,3952119,37.2,3891270,48,3064613,28.9,3033560,37.4,5268315,4326340,565100,0,170720,3148017,3685371,516,1343714,1553124,167481,294,1343411,1522604,167256,289,2897132,37.2,3891270,48,27.3,2866304,35.3,3952119,1179602,77.8,1001249,66,562744,416656,21694,155,2252645,148498,669747,3950797,44,3064435,34.1,1343680,1553069,167392,294,7003222,77917,113036
Guam,173470,104646,134162,145680,87882,141625,109533,81890,49.4,79449,61.4,64798,39.1,63185,48.9,98670,63700,11100,0,1794,57342,86544,0,23156,39843,1799,0,23151,38235,1799,0,62999,49.4,79449,61.4,38,61386,47.5,81890,14083,50,12341,43.8,5191,7005,145,0,26437,93811,615557,81884,57.8,64797,45.8,23155,39843,1799,0,145673,102904,122540
Hawaii,1652620,116721,148084,1421294,100383,1400837,125523,851363,60.1,834388,74.8,595526,42.1,591419,53,922740,653980,75900,0,27183,516458,783893,93760,212276,337700,27479,18071,212052,333918,27395,18054,568047,60.1,834388,74.8,40.1,564024,50.5,851363,257139,95.8,211344,78.7,88254,114987,6694,1409,462107,172140,615620,850247,70.2,595380,49.2,212238,337627,27455,18060,1420742,117309,136455
Iowa,3086355,97822,127103,2628372,83306,2595140,106874,1456896,46.2,1436066,59.1,1253317,39.7,1241231,51.1,1584375,1326580,175400,0,101683,1180124,1346443,122,547430,606058,99768,61,547342,594113,99715,61,1153549,46.2,1436066,59.1,36.6,1141516,47,1456896,477511,86.4,448712,81.1,241449,198472,8747,44,922630,166855,558158,1456866,54.4,1253306,46.8,547424,606055,99766,61,2628357,98209,115323
Idaho,1529175,85569,114214,1166827,65293,1166780,87147,638168,35.7,638021,47.7,543103,30.4,543042,40.6,781755,651320,96100,0,34973,516634,614611,609,229671,278406,34834,192,229662,278366,34823,191,508269,35.7,638021,47.7,28.4,508219,38,638168,226011,77.8,208794,71.8,97739,103572,7403,80,433310,149073,526086,638154,42.7,543092,36.3,229669,278404,34827,192,1166808,78026,102258
Indian Health Svc,1698405,81544,N/A,1308091,62804,1274813,N/A,736725,35.4,717385,N/A,584594,28.1,570702,N/A,713505,911200,73700,0,21073,731687,555331,0,315897,247787,20910,0,315707,234119,20876,0,563684,35.4,717385,N/A,27.1,549826,0,736725,146820,0,119685,0,68942,48498,2245,0,267273,0,0,736465,0,584481,0,315834,247749,20898,0,1307701,0,0
Illinois,13143195,103720,133380,10503920,82892,10323107,104761,6330161,50,6199610,62.9,4516845,35.6,4459796,45.3,6938295,5402200,802700,0,349312,4395023,5753238,6347,1769959,2394867,349875,2144,1767404,2341906,348353,2133,4166970,50,6199610,62.9,32.9,4111443,41.7,6330161,1757883,86,1394530,68.3,647016,693448,52804,1262,3106544,152041,643255,6329429,58.4,4516760,41.7,1769921,2394845,349850,2144,10503137,96912,121272
Indiana,5927240,88043,114775,4660880,69232,4604386,89159,2609929,38.8,2573385,49.8,2133785,31.7,2117707,41,3152760,2396180,378300,0,153002,1922529,2575188,10161,847790,1131529,151131,3335,847692,1115641,151041,3333,1982654,38.8,2573385,49.8,29.5,1966666,38.1,2609929,865250,79.7,807902,74.4,403965,383279,18611,2047,1682703,154982,545916,2609822,45.7,2133754,37.4,847782,1131520,151117,3335,4660770,81696,103895
Kansas,2876225,98727,129966,2189018,75138,2162893,97733,1291346,44.3,1273115,57.5,1047374,36,1036125,46.8,1438125,1275400,162700,0,65013,998104,1125330,571,454734,527338,65117,185,454621,516250,65070,184,982257,44.3,1273115,57.5,33.7,971055,43.9,1291346,424277,89.2,356794,75,173630,171064,11995,105,750952,157933,604901,1291249,52.7,1047356,42.7,454727,527332,65112,185,2188912,89282,117316
Kentucky,4151085,92914,119807,3390010,75879,3352110,96748,1926862,43.1,1903112,54.9,1591177,35.6,1577208,45.5,2104245,1802240,244600,0,124540,1522056,1743057,357,675021,793856,121997,303,674927,780045,121934,302,1469180,43.1,1903112,54.9,32.9,1455274,42,1926862,616864,82.2,543427,72.4,247197,267912,28130,188,1117401,148875,553062,1926562,50.6,1591141,41.8,675009,793850,121979,303,3389038,89041,109062
Louisiana,3789000,81505,106398,2912089,62642,2889414,81137,1574575,33.9,1560941,43.8,1363710,29.3,1354856,38,1914900,1640800,233300,0,97340,1368223,1445515,1011,609581,660378,93242,509,609432,651751,93166,507,1270468,33.9,1560941,43.8,27.3,1261690,35.4,1574575,560829,75.7,523188,70.6,249832,256731,16520,105,1091014,147231,511321,1574471,40.1,1363681,34.8,609576,660371,93225,509,2911970,74222,96576
Massachusetts,8435810,122391,152279,7156323,103828,7025673,126824,4240870,61.5,4146592,74.9,3126883,45.4,3089578,55.8,4584450,3436560,414800,0,237197,2984106,3934891,129,1217148,1671182,238521,32,1215550,1636228,237770,30,2888362,61.5,4146592,74.9,41.9,2851808,51.5,4240870,1090607,93.3,943806,80.7,429777,456652,57364,13,1976350,169015,721421,4240789,70.5,3126865,52,1217142,1671175,238516,32,7156278,118939,140206
Maryland,7040650,116458,149452,5463081,90363,5361768,113814,3173378,52.5,3104563,65.9,2502077,41.4,2470477,52.4,3829410,2810340,400900,0,212217,2268973,2977948,3943,982042,1313183,205712,1140,981888,1281889,205565,1135,2296365,52.5,3104563,65.9,38,2264912,48.1,3173378,831378,86.7,745442,77.7,364569,337927,42507,439,1522300,158673,733863,3173052,61.5,2501974,48.5,982020,1313168,205646,1140,5462871,105810,136370
Maine,1608860,119688,146878,1337725,99517,1319937,120501,785948,58.5,773657,70.6,645605,48,640064,58.4,810420,701840,96600,0,86582,582792,668162,189,253286,305930,86328,61,253255,300456,86297,56,559277,58.5,773657,70.6,41.6,553767,50.6,785948,262986,92.2,244921,85.9,111466,114059,19380,16,486564,170566,563988,785884,66.3,645582,54.5,253283,305927,86311,61,1337656,112888,135776
Marshall Islands,51300,87823,112594,28726,49177,28662,62908,15604,26.7,15559,34.1,13187,22.6,13168,28.9,0,40500,10800,0,95,28631,0,0,13083,5,99,0,13064,5,99,0,13088,26.7,15559,34.1,22.4,13069,28.7,15604,952,9.6,807,8.1,798,0,9,0,1750,17623,516616,15588,31.2,13180,26.4,13076,5,99,0,28703,57539,102839
Michigan,10489310,105031,133742,7933809,79443,7814761,99641,4520552,45.3,4445060,56.7,3768758,37.7,3723664,47.5,5499390,4371220,618700,0,263147,3364153,4305218,1291,1511520,1988680,267996,562,1511213,1944026,267865,560,3500762,45.3,4445060,56.7,35.1,3455799,44.1,4520552,1435156,81.3,1316523,74.6,659435,605546,51162,380,2673609,151445,594160,4520378,52.6,3768716,43.8,1511502,1988666,267986,562,7933615,92305,122040
Minnesota,5737890,101742,132317,4887255,86659,4804758,110799,2837045,50.3,2781051,64.1,2285389,40.5,2258579,52.1,3072030,2364660,301200,0,215046,2030394,2641518,297,899023,1169186,217086,94,898612,1142957,216918,92,2068303,50.3,2781051,64.1,36.7,2041661,47.1,2837045,818112,88.9,751368,81.6,317639,393567,40135,27,1514438,164545,623425,2836824,59.4,2285352,47.8,899016,1169175,217067,94,4887016,102280,120088
Missouri,5641555,91921,118350,4366210,71141,4317413,90572,2425424,39.5,2395952,50.3,1952734,31.8,1936365,40.6,3029715,2311940,299900,0,133511,1716141,2516195,363,743699,1074873,134099,63,743539,1058787,133978,61,1818635,39.5,2395952,50.3,29.6,1802387,37.8,2425424,820824,77.3,718207,67.6,328085,363192,26902,28,1551545,146091,531201,2425222,46.3,1952704,37.3,743691,1074866,134084,63,4365995,83389,107751
Northern Mariana Islands,72330,127158,163023,44086,77504,43077,97090,23754,41.8,23127,52.1,20432,35.9,20050,45.2,49530,20200,2600,0,90,5830,38166,0,2411,17927,94,0,2411,17545,94,0,20338,41.8,23127,52.1,35.8,19956,45,23754,2533,26.2,2348,24.3,351,1954,43,0,4840,50052,747983,23754,48.9,20432,42.1,2411,17927,94,0,44086,90757,148901
Mississippi,2526875,84904,110946,1687547,56702,1677005,73631,965569,32.4,958748,42.1,766964,25.8,763141,33.5,1242735,1125440,158700,0,47798,805667,833214,868,356315,363836,46786,27,356217,360152,46745,27,720178,32.4,958748,42.1,24.2,716396,31.5,965569,358404,73.6,309262,63.5,164275,132297,12680,10,649879,133530,519193,965505,38.3,766945,30.4,356311,363830,46777,27,1687480,66926,100216
Montana,1042195,97513,124043,814652,76223,804327,95732,455075,42.6,448884,53.4,381326,35.7,377243,44.9,509535,465460,67200,0,25819,382229,406370,234,172234,183748,25272,72,172168,179747,25256,72,356054,42.6,448884,53.4,33.3,351987,41.9,455075,163692,79.3,147972,71.7,71794,70200,5936,42,304813,147654,504849,455016,49.6,381309,41.6,172222,183747,25268,72,814573,88772,113579
North Carolina,10687660,101903,130538,7650103,72941,7537184,92059,4293827,40.9,4225157,51.6,3520841,33.6,3476551,42.5,5640180,4444180,603300,0,254133,3164614,4231027,329,1369441,1900387,250978,35,1367821,1858622,250073,35,3269863,40.9,4225157,51.6,31.2,3226478,39.4,4293827,1366159,78,1220236,69.7,573380,619311,27520,25,2607259,148893,610342,4292397,47.8,3520229,39.2,1369359,1899885,250950,35,7648128,85116,118943
North Dakota,664790,87236,114246,588562,77233,581038,99853,307756,40.4,303756,52.2,265936,34.9,263071,45.2,327990,301300,35500,0,23322,257701,307539,0,112196,133113,20626,1,112082,130436,20552,1,245310,40.4,303756,52.2,32.2,242519,41.7,307756,98035,81.8,86442,72.1,42788,40666,2988,0,189683,158274,554708,307711,48.3,265928,41.7,112192,133111,20624,1,588506,92351,104322
Nebraska,1894490,97936,129908,1584643,81919,1561883,107100,879765,45.5,865298,59.3,755723,39.1,747284,51.2,1017510,773680,103300,0,56743,652356,872760,2784,294321,403487,57098,817,294248,395158,57064,814,698625,45.5,865298,59.3,36.1,690220,47.3,879765,266480,85.3,245983,78.7,119048,122077,4279,579,515751,165063,606318,879589,54.4,755684,46.7,294307,403475,57085,817,1584430,97961,117131
New Hampshire,1513425,111305,137029,1204745,88603,1190794,107817,808746,59.5,797007,72.2,479672,35.3,478176,43.3,777465,625160,110800,0,55016,504074,645620,35,196063,227782,55811,16,195922,226452,55786,16,423861,59.5,797007,72.2,31.2,422390,38.2,808746,245895,96.9,198288,78.1,86728,99246,12303,11,420821,165766,596156,808397,67.4,479537,40,195978,227739,55804,16,1204255,100474,126269
New Jersey,10005875,112651,144102,8218240,92525,8090979,116524,4918197,55.4,4832567,69.6,3841128,43.2,3798111,54.7,5306535,4127740,571600,0,315194,3514153,4388418,475,1507441,2016065,317590,32,1507226,1973399,317457,29,3523538,55.4,4832567,69.6,39.7,3480654,50.1,4918197,1298776,88,1124746,76.2,526974,526412,71345,15,2305042,156217,678118,4917700,64.6,3841063,50.4,1507430,2016052,317549,32,8217748,107867,131339
New Mexico,2165115,103257,133567,1982001,94524,1946770,120098,1127199,53.8,1103705,68.1,911391,43.5,897642,55.4,1089075,943140,132900,0,53609,886192,1039654,2546,377615,480419,52630,727,377391,466983,52541,727,858761,53.8,1103705,68.1,41,845101,52.1,1127199,334923,88.7,290839,77,132472,144041,13902,424,607662,160925,573379,1127098,63.1,911360,51,377602,480408,52623,727,1981881,110879,121130
Nevada,2705030,87821,113299,2277475,73940,2250604,94265,1296725,42.1,1279178,53.6,1016557,33,1007460,42.2,1414530,1124700,165800,0,86197,951241,1240037,0,405255,526477,84820,5,405200,517462,84793,5,931737,42.1,1279178,53.6,30.2,922667,38.6,1296725,387965,78.2,337016,68,161351,159041,16620,4,726780,146536,545400,1296698,49.5,1016550,38.8,405252,526475,84818,5,2277443,86866,103174
New York State,21037975,108145,136387,17632107,90637,17391756,112749,9943227,51.1,9789533,63.5,8093911,41.6,8006793,51.9,11011455,8858820,1167700,0,679384,7440946,9508330,3447,3226786,4201779,664645,701,3226173,4115638,664299,683,7429266,51.1,9789533,63.5,38.2,7342494,47.6,9943227,2676427,81.2,2356921,71.5,1138370,1086149,132019,383,4932813,149654,638260,9942351,59.3,8093625,48.3,3226685,4201688,664565,687,17631073,105114,125426
Ohio,11272375,96435,123722,9180934,78543,9049355,99323,4978466,42.6,4901021,53.8,4340110,37.1,4287940,47.1,5958615,4697460,616300,0,341373,3913097,4917467,8997,1751065,2257489,328867,2689,1750839,2205707,328715,2679,4011243,42.6,4901021,53.8,34.3,3959225,43.5,4978466,1647129,80.5,1531222,74.8,700248,764016,65411,1547,3166849,154758,550861,4978029,49.8,4340004,43.4,1751034,2257467,328815,2688,9180790,91801,112716
Oklahoma,3851825,97343,128192,2825320,71401,2791759,92912,1575654,39.8,1555900,51.8,1266945,32,1253771,41.7,1963845,1673980,214000,0,77203,1322704,1425375,38,571546,619307,76070,22,571402,606320,76027,22,1190875,39.8,1555900,51.8,30.1,1177744,39.2,1575654,513384,80.8,436647,68.7,230418,192468,13755,6,946280,148990,606461,1575533,47.4,1266915,38.1,571534,619298,76061,22,2825172,84962,115837
Oregon,4501785,106735,134335,3556202,84315,3501021,104471,2096501,49.7,2056181,61.4,1592964,37.8,1577348,47.1,2302365,1922220,277200,0,119430,1498473,1936417,1882,642373,831450,118817,324,641462,817138,118428,320,1474147,49.7,2056181,61.4,35,1458920,43.5,2096501,630784,82.3,574263,75,261632,276050,36412,169,1161924,151671,587639,2096468,57.5,1592953,43.7,642371,831442,118816,324,3556166,97489,123412
Pennsylvania,13988115,109265,137578,11362846,88758,11230832,110459,6896760,53.9,6797931,66.9,4889879,38.2,4855874,47.8,7070895,5912620,1004600,0,408425,4862741,6091389,291,1941835,2534638,413173,233,1941149,2501543,412953,229,4476706,53.9,6797931,66.9,35,4442921,43.7,6896760,2294392,95.9,1767918,73.9,830861,879536,57392,129,4019395,167939,584455,6895574,62.2,4889492,44.1,1941726,2534422,413111,233,11361460,102526,126229
Puerto Rico,3662730,114686,139747,2296608,71911,2265765,86448,1422790,44.5,1398304,53.4,968908,30.3,961608,36.7,1878630,1594100,190000,0,74525,931360,1290441,282,351135,543052,74702,19,351061,535917,74611,19,894206,44.5,1398304,53.4,28,886997,33.8,1422790,416031,76.6,339036,62.4,157372,169273,12388,3,739120,136136,674625,1422355,52.2,968828,35.5,351124,543015,74670,19,2296124,84189,134296
Rhode Island,1350905,127521,158025,1035263,97725,1018873,119185,593817,56.1,582152,68.1,471623,44.5,467178,54.6,751725,538080,61100,0,40361,427765,567108,29,184188,247186,40241,8,184163,242781,40226,8,431382,56.1,582152,68.1,40.7,426952,49.9,593817,172970,92.5,159872,85.5,73610,81089,5170,3,328887,175832,722231,593776,64,471617,50.8,184184,247184,40241,8,1035215,111615,145652
Republic of Palau,24600,137376,176129,20625,115178,20625,147670,12975,72.5,12975,92.9,9130,51,9130,65.4,0,20800,3800,0,1299,19325,1,0,7813,18,1299,0,7813,18,1299,0,7831,72.5,12975,92.9,43.7,7831,56.1,12975,1610,52.9,1503,49.4,1344,8,151,0,2920,95926,808147,12975,84.8,9130,59.7,7813,18,1299,0,20625,134874,160868
South Carolina,4827755,93766,119572,3522953,68424,3484364,86299,1978433,38.4,1954300,48.4,1602108,31.1,1587371,39.3,2514135,2016620,297000,0,110889,1434420,1976583,1061,603098,890546,108254,210,602368,876799,107994,210,1493854,38.4,1954300,48.4,29,1479377,36.6,1978433,761120,81.2,655635,70,274800,360562,20128,145,1400488,149461,515223,1977376,44.7,1601627,36.2,603035,890154,108228,210,3521432,79671,109226
South Dakota,919125,103896,137685,742206,83897,732762,109768,406941,46,401355,60.1,358626,40.5,354739,53.1,445185,417340,56600,0,20474,338249,383470,13,158359,179583,20673,11,158322,175740,20666,11,337953,46,401355,60.1,38.2,334073,50,406941,135905,89.5,125912,82.9,65135,57791,2981,5,255464,168211,605201,406923,55.1,358624,48.6,158358,179582,20673,11,742187,100554,124526
Tennessee,5762400,84379,108334,4462860,65350,4419808,83093,2490594,36.5,2463496,46.3,1969982,28.8,1954651,36.7,2983500,2426400,352500,0,124220,1925845,2405696,7099,822403,1024469,121034,2076,822206,1009467,120905,2073,1848948,36.5,2463496,46.3,27.1,1833746,34.5,2490594,856323,74.9,739450,64.7,379260,336726,22154,1310,1622017,141860,503974,2490224,42.7,1969902,33.8,822390,1024435,121001,2076,4462420,76469,98746
Texas,28474075,98200,131848,20816039,71790,20471927,94795,11714260,40.4,11498718,53.2,9156193,31.6,9001574,41.7,14976195,11734380,1763500,0,730261,9067921,11017060,797,3813667,4627355,714528,643,3749266,4549214,702462,632,8443804,40.4,11498718,53.2,29.1,8330658,38.6,11714260,2932080,78.5,2499641,66.9,1041131,1263268,195066,176,5523372,147912,762516,11710746,48.6,9154363,38,3812904,4626430,714385,643,20811940,86353,118144
