COVID-19 Vaccinations in the United States
Date generated: Fri Mar 12 2021 15:15:15 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence
Louisiana,1824270,39242,51227,1340630,28838,1340350,37638,846690,18.2,846464,23.8,487828,10.5,487782,13.7,874770,898300,51200,0,17708,579224,742907,791,177107,293216,17147,358,177102,293178,17145,357,470681,18.2,846464,23.8,10.1,470637,13.2,846690
Massachusetts,2859820,41492,51624,2376322,34477,2374591,42865,1608665,23.3,1607386,29,776259,11.3,775818,14,1321320,1460500,78000,0,32808,1177220,1166253,41,331282,412409,32562,6,331266,411985,32561,6,743697,23.3,1607386,29,10.8,743257,13.4,1608665
Maryland,2390890,39547,50751,1812309,29977,1811501,38453,1211872,20,1211243,25.7,688419,11.4,688215,14.6,1143090,1182700,65100,0,41630,893682,875917,1080,297471,350042,40609,297,297457,349854,40607,297,647810,20,1211243,25.7,10.7,647608,13.7,1211872
Maine,581920,43291,53125,442593,32926,442411,40389,297824,22.2,297701,27.2,157423,11.7,157354,14.4,260520,305000,16400,0,8295,220307,213961,30,71739,77361,8318,5,71729,77304,8316,5,149105,22.2,297701,27.2,11.1,149038,13.6,297824
Marshall Islands,35600,60945,78135,15516,26563,15506,34033,11050,18.9,11039,24.2,4415,7.6,4414,9.7,0,35000,600,0,0,15516,0,0,4412,1,2,0,4411,1,2,0,4413,18.9,11039,24.2,7.6,4412,9.7,11050
Michigan,3826540,38316,48790,2899309,29031,2898613,36958,1880098,18.8,1879602,24,1050447,10.5,1050238,13.4,1808040,1909000,109500,0,6075,1324389,1568845,0,409006,635135,6269,37,408996,634937,6268,37,1044178,18.8,1879602,24,10.5,1043970,13.3,1880098
Minnesota,2210960,39204,50985,1823592,32335,1822704,42032,1213677,21.5,1213048,28,646257,11.5,645973,14.9,1046760,1105200,59000,0,28621,843278,951544,149,257250,360378,28588,41,257238,360111,28583,41,617669,21.5,1213048,28,11,617390,14.2,1213677
Missouri,2249725,36656,47195,1724580,28099,1723836,36163,1085613,17.7,1085083,22.8,581876,9.5,581711,12.2,1114425,1081800,53500,0,10897,703067,1010404,212,198241,372723,10888,24,198230,372570,10888,23,570988,17.7,1085083,22.8,9.3,570823,12,1085613
Northern Mariana Islands,44010,77371,99193,21323,37486,21317,48046,12429,21.9,12424,28,8881,15.6,8880,20,30810,12800,400,0,0,2349,18974,0,618,8263,0,0,618,8262,0,0,8881,21.9,12424,28,15.6,8880,20,12429
Mississippi,1195775,40179,52502,823604,27673,823400,36153,538774,18.1,538620,23.6,298373,10,298320,13.1,531375,632400,32000,0,10876,439637,372596,495,152473,135288,10602,10,152466,135246,10598,10,287771,18.1,538620,23.6,9.7,287722,12.6,538774
Montana,450635,42164,53635,359446,33631,359027,42732,230731,21.6,230414,27.4,131017,12.3,130918,15.6,193635,244600,12400,0,1981,195570,161806,89,69994,59000,1997,26,69983,58912,1997,26,129020,21.6,230414,27.4,12.1,128921,15.3,230731
North Carolina,4121260,39295,50337,3048105,29063,3045978,37203,1950352,18.6,1948841,23.8,1071902,10.2,1071274,13.1,1971060,2038500,111700,0,14902,1309773,1723101,329,395828,661141,14911,22,395752,660597,14903,22,1056991,18.6,1948841,23.8,10.1,1056371,12.9,1950352
North Dakota,339590,44562,58360,286495,37595,286201,49185,178388,23.4,178176,30.6,96489,12.7,96427,16.6,152490,178300,8800,0,1018,141546,143931,0,45797,49716,976,0,45795,49656,976,0,95513,23.4,178176,30.6,12.5,95451,16.4,178388
Nebraska,786200,40643,53911,629765,32556,629270,43150,411300,21.3,410954,28.2,226435,11.7,226279,15.5,382200,380500,23500,0,14039,305336,309131,1259,102311,109549,14273,302,102300,109408,14269,302,212162,21.3,410954,28.2,11,212010,14.5,411300
New Hampshire,547455,40263,49568,418658,30790,417956,37843,306918,22.6,306395,27.7,134741,9.9,134584,12.2,247455,284200,15800,0,7259,232639,178733,27,75316,51944,7476,5,75262,51843,7474,5,127265,22.6,306395,27.7,9.4,127110,11.5,306918
New Jersey,3402540,38307,49002,2834934,31917,2831480,40778,1958556,22.1,1955972,28.2,998133,11.2,997265,14.4,1566240,1740900,95400,0,24583,1481747,1328129,475,490212,483478,24438,5,490187,482640,24433,5,973695,22.1,1955972,28.2,11,972832,14,1958556
New Mexico,997385,47566,61529,867690,41381,864746,53347,563149,26.9,560462,34.6,316298,15.1,315495,19.5,484185,487600,25600,0,2127,389517,475018,1028,123294,190721,2035,248,123266,189947,2034,248,314263,26.9,560462,34.6,15,313461,19.3,563149
Nevada,1161380,37705,48644,904504,29366,904232,37873,568912,18.5,568715,23.8,316682,10.3,316609,13.3,542880,586000,32500,0,4830,418549,481125,0,142095,169797,4790,0,142092,169728,4789,0,311892,18.5,568715,23.8,10.1,311820,13.1,568912
New York State,7894985,40584,51182,5840907,30025,5837317,37843,3892844,20,3889686,25.2,1899848,9.8,1899377,12.3,3838185,3860800,196000,0,63996,2883939,2892362,610,934211,902434,63101,102,934154,902020,63101,102,1836747,20,3889686,25.2,9.4,1836276,11.9,3892844
Ohio,4589515,39263,50373,3391091,29011,3389611,37203,2161650,18.5,2160627,23.7,1242387,10.6,1241934,13.6,2144415,2312100,133000,0,44653,1739928,1604111,2399,612146,585261,44275,705,612137,584820,44273,704,1198112,18.5,2160627,23.7,10.2,1197661,13.1,2161650
Oklahoma,1915285,48403,63742,1364914,34494,1363625,45383,863480,21.8,862392,28.7,486421,12.3,486279,16.2,866385,1000700,48200,0,4667,647187,713053,7,226896,254944,4580,1,226892,254807,4579,1,481841,21.8,862392,28.7,12.2,481700,16,863480
Oregon,1629635,38638,48629,1239800,29395,1238244,36950,785467,18.6,784535,23.4,448006,10.6,447399,13.4,747435,834400,47800,0,2804,616724,619364,908,209884,235115,2860,147,209859,234533,2860,147,445146,18.6,784535,23.4,10.6,444539,13.3,785467
Pennsylvania,5157695,40288,50728,3737143,29192,3734104,36726,2530355,19.8,2528054,24.9,1203908,9.4,1203165,11.8,2367495,2646300,143900,0,1441,1913754,1821850,98,611347,589873,2623,65,611309,589169,2623,64,1201285,19.8,2528054,24.9,9.4,1200542,11.8,2530355
Puerto Rico,1377520,43132,52558,675568,21153,675363,25768,428103,13.4,427934,16.3,249152,7.8,249115,9.5,634920,704100,38500,0,139,286747,388435,247,102701,146294,150,7,102699,146260,149,7,249002,13.4,427934,16.3,7.8,248966,9.5,428103
Rhode Island,433095,40883,50662,350979,33131,350832,41039,252545,23.8,252439,29.5,101364,9.6,101321,11.9,202995,218200,11900,0,1577,188902,160500,0,55730,43935,1698,1,55728,43894,1698,1,99666,23.8,252439,29.5,9.4,99623,11.7,252545
Republic of Palau,14800,82649,105964,8902,49712,8902,63736,5867,32.8,5867,42,3136,17.5,3136,22.5,0,14600,200,0,0,8901,1,0,3124,12,0,0,3124,12,0,0,3136,32.8,5867,42,17.5,3136,22.5,5867
South Carolina,1890025,36709,46811,1461672,28389,1460565,36175,928283,18,927495,23,531345,10.3,531040,13.2,977925,853100,59000,0,7147,533788,919713,1024,150607,373767,6766,205,150599,373470,6766,205,524579,18,927495,23,10.2,524274,13,928283
South Dakota,440745,49821,66023,339564,38384,339107,50798,221398,25,221070,33.1,119696,13.5,119574,17.9,197145,233000,10600,0,1093,171342,167116,13,57321,61144,1227,4,57319,61024,1227,4,118469,25,221070,33.1,13.4,118347,17.7,221398
Tennessee,2568860,37616,48295,1757433,25734,1757080,33033,1123145,16.4,1122845,21.1,607004,8.9,606937,11.4,1191060,1309000,68800,0,3417,842740,909361,1915,261493,341382,3619,510,261486,341325,3616,510,603385,16.4,1122845,21.1,8.8,603321,11.3,1123145
Texas,10660615,36766,49364,7730664,26661,7701885,35663,4893813,16.9,4874976,22.6,2598847,9,2588844,12,5155215,5161700,343700,0,61895,3793941,3874588,240,1265498,1272770,60483,96,1260627,1267871,60250,96,2538405,16.9,4874976,22.6,8.8,2528634,11.7,4893813
Utah,1134110,35375,49856,903758,28190,902610,39679,529682,16.5,528830,23.2,244148,7.6,243972,10.7,518310,585400,30400,0,13327,431534,458897,0,114691,116384,13073,0,114673,116234,13065,0,231075,16.5,528830,23.2,7.2,230907,10.2,529682
Virginia,3190155,37375,47795,2685399,31461,2683394,40203,1730680,20.3,1729184,25.9,985449,11.5,984990,14.8,1511055,1590500,88600,0,45812,1271996,1367318,273,444548,495388,45423,90,444475,495017,45408,90,940026,20.3,1729184,25.9,11,939582,14.1,1730680
Veterans Health,3552305,N/A,N/A,2844311,N/A,2844290,N/A,1804344,N/A,1804329,N/A,1052098,N/A,1052092,N/A,1528605,1952100,71600,0,13598,1521091,1309621,1,516504,522000,13594,0,516504,521994,13594,0,1038504,N/A,1804329,N/A,0,1038498,0,1804344
Virgin Islands,46200,44135,56583,25361,24227,25310,30998,16683,15.9,16633,20.4,8102,7.7,8099,9.9,27300,18700,200,0,0,11313,14048,0,4020,4077,5,0,4018,4076,5,0,8097,15.9,16633,20.4,7.7,8094,9.9,16683
Vermont,289750,46435,56816,212062,33985,211927,41556,135916,21.8,135820,26.6,71639,11.5,71593,14,134550,147900,7300,0,3,110331,101537,191,35727,35824,33,55,35725,35780,33,55,71606,21.8,135820,26.6,11.5,71560,14,135916
Washington,3034110,39844,50978,2381471,31274,2380056,39989,1515461,19.9,1514425,25.4,854645,11.2,854270,14.4,1430910,1518400,84800,0,6310,1194171,1179868,1122,443063,404850,6409,323,443046,404492,6409,323,848236,19.9,1514425,25.4,11.1,847861,14.2,1515461
Wisconsin,2210455,37964,48519,1881901,32322,1881019,41288,1199903,20.6,1199242,26.3,668194,11.5,667976,14.7,1031355,1115900,63200,0,1611,849704,1030428,158,264360,402037,1751,46,264358,401821,1751,46,666443,20.6,1199242,26.3,11.4,666225,14.6,1199903
West Virginia,778825,43458,54365,626149,34938,625596,43669,379579,21.2,379216,26.5,238717,13.3,238557,16.7,350025,407400,21400,0,465,317325,308359,0,116842,121138,726,11,116806,121015,725,11,237991,21.2,379216,26.5,13.3,237832,16.6,379579
Wyoming,262995,45441,59097,190570,32927,190477,42801,116948,20.2,116874,26.3,71215,12.3,71197,16,113295,143200,6500,0,542,98435,91529,64,34834,35836,536,9,34833,35819,536,9,70679,20.2,116874,26.3,12.2,70661,15.9,116948
