COVID-19 Vaccinations in the United States
Date generated: Wed Mar 31 2021 15:15:24 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Dept of Defense,2448590,N/A,N/A,1895711,N/A,1889853,N/A,1197277,N/A,1192316,N/A,668695,N/A,667963,N/A,1291290,1075400,81900,0,21667,873725,999920,399,287419,362524,18752,0,287385,361835,18743,0,649943,N/A,1192316,N/A,0,649220,0,1197277,134315,0,84511,0,27170,56311,1030,0,222921,0,0
Delaware,585465,60124,76015,453447,46566,452343,58731,295396,30.3,294539,38.2,155441,16,155351,20.2,305565,266100,13800,0,8800,191981,252607,59,65470,80759,9192,20,65457,80683,9191,20,146249,30.3,294539,38.2,15,146160,19,295396,148655,78.7,95568,50.6,42679,47995,4881,13,245651,130039,309924
Florida,12577115,58559,72920,9405368,43791,9392695,54457,5916809,27.5,5905720,34.2,3313207,15.4,3311668,19.2,6446115,5625200,505800,0,228591,4477216,4686858,12703,1470276,1611844,226884,4203,1469691,1610995,226779,4203,3086323,27.5,5905720,34.2,14.4,3084889,17.9,5916809,3394140,75.5,2344414,52.1,1113902,1151758,75149,3605,6021810,133897,279657
Federated States of Micronesia,53900,52005,66673,24538,23676,24528,30341,15046,14.5,15036,18.6,9551,9.2,9551,11.8,0,52600,1300,0,0,24538,0,0,9531,19,1,0,9531,19,1,0,9550,14.5,15036,18.6,9.2,9550,11.8,15046,1417,8,1022,5.8,1018,4,0,0,2411,13684,305920
Georgia,5724605,53917,70556,3786303,35661,3776363,46544,2465539,23.2,2456235,30.3,1280161,12.1,1279458,15.8,2842905,2706400,175300,0,68644,1927536,1789863,260,655504,558269,66219,169,655429,557760,66100,169,1213942,23.2,2456235,30.3,11.4,1213358,15,2465539,1035616,68.3,743811,49,429033,306136,8537,105,1837799,121151,377375
Guam,87860,53002,67951,85003,51278,84446,65311,52535,31.7,52000,40.2,31865,19.2,31845,24.6,48360,38200,1300,0,177,38862,45964,0,15939,15750,176,0,15937,15732,176,0,31689,31.7,52000,40.2,19.1,31669,24.5,52535,12297,43.6,10024,35.6,4413,5585,26,0,22472,79742,311770
Hawaii,938870,66310,84128,692706,48924,690979,61915,444099,31.4,442043,39.6,262135,18.5,261820,23.5,512070,398300,28500,0,9149,248846,340951,93760,97227,137580,9292,18036,97179,137348,9274,18019,252843,31.4,442043,39.6,17.9,252546,22.6,444099,166211,61.9,99557,37.1,46384,49064,2701,1408,261210,97304,349740
Iowa,1773355,56207,73031,1525091,48338,1521572,62662,962503,30.5,959836,39.5,603095,19.1,602170,24.8,863655,845900,63800,0,40086,785087,699799,119,303913,258937,40220,25,303901,258035,40209,25,562875,30.5,959836,39.5,17.8,561961,23.1,962503,436220,78.9,325484,58.9,167613,154590,3263,18,758721,137212,320706
Idaho,942735,52753,70413,740943,41461,740914,55339,454535,25.4,454497,33.9,289287,16.2,289270,21.6,458835,452500,31400,0,14861,357562,368276,244,137201,137362,14672,52,137199,137353,14666,52,274615,25.4,454497,33.9,15.4,274604,20.5,454535,205885,70.8,159414,54.8,72368,82757,4260,29,363173,124943,324332
Indian Health Svc,1473725,70756,N/A,948459,45537,933278,N/A,593604,28.5,582948,N/A,355817,17.1,351341,N/A,603525,831300,38900,0,8052,530105,410302,0,186854,161034,7929,0,186764,156660,7917,0,347888,28.5,582948,N/A,16.7,343424,0,593604,134066,0,96700,0,54186,41618,896,0,232789,0,0
Illinois,7256585,57266,73641,5843688,46116,5826375,59127,3865951,30.5,3852144,39.1,2060967,16.3,2057396,20.9,3693885,3306200,256500,0,120108,2731905,2989185,2490,924094,1018568,117492,813,923789,1015539,117256,812,1943475,30.5,3852144,39.1,15.3,1940140,19.7,3865951,1501935,73.5,919484,45,436705,457358,24888,533,2393281,117132,355152
Indiana,3519900,52284,68159,2744163,40762,2742498,53105,1678147,24.9,1676884,32.5,1103261,16.4,1102829,21.4,1751100,1630300,138500,0,55696,1236788,1447722,3957,484279,561577,56038,1367,484244,561188,56030,1367,1047223,24.9,1676884,32.5,15.6,1046799,20.3,1678147,783535,72.2,658037,60.6,342742,306706,7595,994,1453704,133890,324193
Kansas,1670955,57356,75504,1269292,43569,1266096,57210,859214,29.5,856464,38.7,481373,16.5,480587,21.7,793455,821200,56300,0,21926,654369,592752,245,240595,218056,22615,107,240572,217303,22605,107,458758,29.5,856464,38.7,15.7,457982,20.7,859214,371637,78.2,242670,51,121938,115472,5189,71,586324,123310,351420
Kentucky,2559795,57296,73880,2074948,46444,2068816,59710,1373108,30.7,1368383,39.5,761804,17.1,761048,22,1291095,1180100,88600,0,45227,983669,1045896,156,342520,376127,43052,105,342500,375411,43032,105,718752,30.7,1368383,39.5,16.1,718016,20.7,1373108,539049,71.8,358105,47.7,152226,192672,13138,69,866985,115511,341050
Louisiana,2705530,58199,75973,1920242,41306,1916758,53824,1195911,25.7,1192676,33.5,739320,15.9,739090,20.8,1363830,1248800,92900,0,52525,852310,1014593,814,281233,406652,51069,366,281209,406478,51038,365,688251,25.7,1192676,33.5,14.8,688052,19.3,1195911,513692,69.3,414204,55.9,180108,222822,11199,75,935672,126268,365108
Massachusetts,4117900,59745,74334,3535818,51299,3525562,63642,2316988,33.6,2309308,41.7,1275456,18.5,1273011,23,2063100,1935200,119600,0,84966,1717158,1733633,61,584773,605590,85084,9,584629,603350,85023,9,1190372,33.6,2309308,41.7,17.3,1187988,21.4,2316988,952267,81.4,619978,53,265545,315130,39298,5,1533199,131118,352158
Maryland,3531380,58412,74960,2736823,45269,2730226,57954,1842092,30.5,1836567,39,1007396,16.7,1006349,21.4,1818180,1610200,103000,0,72103,1307625,1355361,1734,456593,479288,71031,484,456546,478305,71014,484,936365,30.5,1836567,39,15.5,935335,19.9,1842092,715945,74.6,447522,46.6,210850,210697,25746,229,1119639,116702,368084
Maine,823870,61290,75214,687989,51182,687402,62755,455583,33.9,455192,41.6,260703,19.4,260486,23.8,395070,397700,31100,0,21858,332972,333104,55,117864,120866,21957,16,117842,120675,21953,16,238746,33.9,455192,41.6,17.8,238533,21.8,455583,235743,82.6,157707,55.3,65939,80960,10801,7,380483,133379,288809
Marshall Islands,35800,61288,78574,20342,34824,20308,44572,12452,21.3,12421,27.3,7841,13.4,7836,17.2,0,35000,800,0,0,20342,0,0,7837,2,2,0,7832,2,2,0,7839,21.3,12421,27.3,13.4,7834,17.2,12452,831,8.4,557,5.6,555,0,2,0,1388,13978,360524
Michigan,5813980,58216,74130,4329057,43348,4322604,55115,2801025,28,2795295,35.6,1661102,16.6,1660176,21.2,2933580,2720900,159500,0,85651,2044686,2198720,0,709659,864750,86624,69,709579,863945,86583,69,1574478,28,2795295,35.6,15.8,1573593,20.1,2801025,1245112,70.5,911613,51.6,423152,465209,23196,56,2106404,119316,329329
Minnesota,3009780,53368,69406,2702080,47912,2695668,62163,1753301,31.1,1747773,40.3,1031750,18.3,1030776,23.8,1510080,1403500,96200,0,67405,1248786,1385692,197,435457,528107,68139,47,435413,527203,68113,47,963611,31.1,1747773,40.3,17.1,962663,22.2,1753301,752343,81.7,548739,59.6,215617,301626,31477,19,1252506,136085,327014
Missouri,3303985,53833,69312,2481467,40432,2477837,51981,1550103,25.3,1547362,32.5,899208,14.7,898518,18.8,1685385,1527600,91000,0,45087,1029058,1407005,317,342191,510507,46470,40,342151,509878,46450,39,852738,25.3,1547362,32.5,13.9,852068,17.9,1550103,703022,66.2,461145,43.4,201109,246030,13988,18,1187349,111799,311099
Northern Mariana Islands,61310,107785,138185,28165,49515,28051,63223,16374,28.8,16273,36.7,11810,20.8,11797,26.6,42510,17800,1000,0,34,3829,24302,0,1540,10235,35,0,1540,10222,35,0,11775,28.8,16273,36.7,20.7,11762,26.5,16374,2255,23.3,2066,21.4,298,1737,31,0,4292,44385,634023
Mississippi,1629955,54767,71566,1137212,38211,1135306,49847,724564,24.3,722860,31.7,439203,14.8,439007,19.3,781755,804800,43400,0,27547,575531,533404,730,209951,202375,26864,13,209927,202218,26849,13,412339,24.3,722860,31.7,13.9,412158,18.1,724564,316191,65,228203,46.9,118777,101569,7853,4,531475,109201,334904
Montana,644705,60322,76733,504919,47243,503045,59873,318968,29.8,317519,37.8,195804,18.3,195392,23.3,300105,321500,23100,0,9246,262253,233296,124,98946,87631,9192,35,98925,87245,9187,35,186612,29.8,317519,37.8,17.5,186205,22.2,318968,144856,70.2,104613,50.7,51410,50379,2805,19,244952,118657,312301
North Carolina,5775070,55063,70536,4609430,43949,4592817,56096,2983429,28.4,2968387,36.3,1684002,16.1,1682234,20.5,2945670,2625300,204100,0,119722,1972737,2516642,329,650899,915236,117841,26,650752,913846,117610,26,1566161,28.4,2968387,36.3,14.9,1564624,19.1,2983429,1248854,71.3,989631,56.5,454702,518264,16645,20,2266841,129453,329798
North Dakota,463590,60834,79670,410932,53924,409319,70343,244790,32.1,243594,41.9,153845,20.2,153532,26.4,222690,225000,15900,0,9862,191981,209089,0,69744,75303,8798,0,69721,75027,8784,0,145047,32.1,243594,41.9,19,144748,24.9,244790,92001,76.8,75321,62.8,36954,36972,1395,0,173655,144900,386825
Nebraska,1146140,59250,78592,916701,47389,914510,62709,585025,30.2,583292,40,347883,18,347407,23.8,583440,519700,43000,0,22041,426421,466438,1801,155089,169624,22674,496,155057,169186,22668,496,325209,30.2,583292,40,16.8,324739,22.3,585025,244011,78.1,178954,57.3,82571,94165,1832,386,425670,136233,366814
New Hampshire,768055,56487,69541,607126,44651,605412,54815,412057,30.3,410768,37.2,234147,17.2,233734,21.2,376155,370300,21600,0,14837,319963,272299,27,123884,94666,15591,6,123793,94359,15576,6,218556,30.3,410768,37.2,16.1,218158,19.8,412057,209854,82.7,123944,48.8,60336,54921,8684,3,314756,123986,302546
New Jersey,4856725,54679,69945,4292515,48327,4274829,61565,2903068,32.7,2889427,41.6,1613922,18.2,1609800,23.2,2459925,2271900,124900,0,93661,2063974,2134405,475,724072,796058,93785,7,723973,792060,93760,7,1520137,32.7,2889427,41.6,17.1,1516040,21.8,2903068,1042465,70.6,666954,45.2,300212,339717,27020,5,1642053,111285,329150
New Mexico,1428785,68140,88143,1242292,59246,1232541,76036,787206,37.5,779730,48.1,486883,23.2,483011,29.8,729885,651500,47400,0,22400,561592,656880,1420,199485,265363,21673,362,199391,261620,21638,362,465210,37.5,779730,48.1,22.2,461373,28.5,787206,281097,74.4,192167,50.9,85185,98892,7872,218,459965,121811,378380
Nevada,1607680,52195,67337,1335002,43342,1333097,55836,845896,27.5,844329,35.4,486838,15.8,486526,20.4,788580,766900,52200,0,28817,581235,724950,0,201606,256816,28415,1,201586,256527,28412,1,458423,27.5,844329,35.4,14.9,458114,19.2,845896,342623,69.1,243897,49.2,108711,126719,8467,0,593715,119707,324147
New York State,11600475,59632,75204,9023541,46385,9001785,58357,5935139,30.5,5918109,38.4,3158458,16.2,3153557,20.4,6081075,5198800,320600,0,204240,4171034,4647102,1165,1362955,1593167,202116,220,1362774,1588497,202066,220,2956342,30.5,5918109,38.4,15.2,2951491,19.1,5935139,2178373,66.1,1344533,40.8,616417,667866,60108,142,3463671,105082,351941
Ohio,6797795,58155,74610,5219217,44650,5210839,57192,3354361,28.7,3347832,36.7,1939120,16.6,1937424,21.3,3482895,3075600,239300,0,144807,2484775,2585345,4290,894500,901091,142352,1177,894447,899480,142324,1173,1796768,28.7,3347832,36.7,15.4,1795100,19.7,3354361,1469850,71.8,1102904,53.9,489296,572629,40186,793,2561371,125170,332196
Oklahoma,2584315,65310,86008,1895546,47904,1885889,62764,1206550,30.5,1198375,39.9,688345,17.4,687131,22.9,1263015,1252800,68500,0,30889,879675,984971,11,299743,357880,30721,1,299707,356714,30709,1,657624,30.5,1198375,39.9,16.6,656422,21.8,1206550,466958,73.5,349747,55.1,182704,160358,6685,0,818130,128813,406894
Oregon,2401575,56940,71664,1821492,43186,1815488,54175,1169185,27.7,1165048,34.8,687942,16.3,686063,20.5,1170975,1142000,88600,0,40080,868616,911673,1123,308794,339079,39879,190,308614,337409,39850,190,648063,27.7,1165048,34.8,15.4,646213,19.3,1169185,545212,71.2,290504,37.9,118905,147551,23953,95,805707,105173,313489
Pennsylvania,7404805,57841,72829,5947782,46460,5934441,58367,4003172,31.3,3993153,39.3,2084919,16.3,2081402,20.5,3704805,3470100,229900,0,129550,2792072,3026036,124,929846,1023213,131755,105,929645,1019911,131742,104,1953164,31.3,3993153,39.3,15.3,1949660,19.2,4003172,1761483,73.6,961083,40.2,469518,473547,17953,65,2710584,113254,309389
Puerto Rico,1893570,59291,72247,1062627,33273,1061906,40516,692863,21.7,692242,26.4,393521,12.3,393383,15,933270,911200,49100,0,17781,431808,612787,251,148638,227014,17861,8,148617,226906,17852,8,375660,21.7,692242,26.4,11.8,375531,14.3,692863,309431,57,176694,32.5,76469,95835,4389,1,478185,88075,348770
Rhode Island,645515,60934,75511,552753,52178,551953,64566,345689,32.6,345055,40.4,218881,20.7,218708,25.6,327015,301800,16700,0,13178,263767,275807,1,104957,100874,13047,3,104953,100705,13047,3,205834,32.6,345055,40.4,19.4,205661,24.1,345689,155669,83.2,114829,61.4,51341,61350,2136,2,268066,143316,345110
Republic of Palau,15000,83766,107396,13381,74725,13381,95804,8404,46.9,8404,60.2,5250,29.3,5250,37.6,0,14600,400,0,143,13237,1,0,5094,13,143,0,5094,13,143,0,5107,46.9,8404,60.2,28.5,5107,36.6,8404,1450,47.6,1342,44.1,1251,8,83,0,2674,87845,492773
South Carolina,2827065,54908,70020,2124443,41262,2120271,52514,1387610,27,1384001,34.3,762621,14.8,762083,18.9,1459965,1268700,98400,0,46244,820040,1257134,1025,255046,462258,45114,203,255009,461796,45075,203,717507,27,1384001,34.3,13.9,717008,17.8,1387610,685721,73.2,499965,53.4,195382,295092,9352,139,1178319,125751,301707
South Dakota,604605,68343,90570,489525,55335,487692,73056,304480,34.4,303089,45.4,194684,22,194247,29.1,288405,296000,20200,0,8617,240049,240846,13,91929,94188,8562,5,91915,93768,8559,5,186122,34.4,303089,45.4,21,185688,27.8,304480,127252,83.8,103271,68,51031,51010,1228,2,227578,149850,398104
Tennessee,3618130,52980,68021,2596336,38018,2592213,48734,1677569,24.6,1673742,31.5,917989,13.4,917661,17.3,1753830,1738800,125500,0,52660,1213715,1326890,3071,399431,465286,52428,844,399408,465048,52362,843,865561,24.6,1673742,31.5,12.7,865299,16.3,1677569,750282,65.6,514724,45,253045,251076,10036,567,1279980,111946,316438
Texas,15184925,52369,70313,11357324,39169,11299671,52323,7336199,25.3,7298021,33.8,3863243,13.3,3843138,17.8,7826325,6777500,581100,0,271756,5203086,5881963,519,1688406,1908368,266094,375,1679619,1898436,264709,373,3597534,25.3,7298021,33.8,12.4,3578812,16.6,7336199,2610220,69.9,1685920,45.1,736820,832812,116123,164,4202013,112527,406642
Utah,1595720,49774,70149,1327257,41400,1321021,58073,813926,25.4,809032,35.6,365762,11.4,364835,16,779220,760700,55800,0,32690,612840,681727,0,157126,177715,30921,0,157069,176871,30895,0,334841,25.4,809032,35.6,10.4,333940,14.7,813926,280139,76.6,157279,43,61557,89483,6239,0,496256,135637,436142
Virginia,4829535,56582,72356,3977862,46604,3963925,59388,2620816,30.7,2609358,39.1,1428643,16.7,1426171,21.4,2475135,2235300,119100,0,91921,1802892,2082311,738,613522,723226,91669,226,613252,721169,91524,226,1336974,30.7,2609358,39.1,15.7,1334647,20,2620816,1000741,73.6,649173,47.8,289508,327624,31876,165,1621832,119348,355399
Veterans Health,4555875,N/A,N/A,3861303,N/A,3861143,N/A,2299587,N/A,2299482,N/A,1622464,N/A,1622404,N/A,2091375,2374400,90100,0,62522,2064512,1734268,1,837130,722841,62493,0,837111,722805,62488,0,1559971,N/A,2299482,N/A,0,1559916,0,2299587,1335237,0,1097574,0,605138,469210,23226,0,2409999,0,0
Virgin Islands,57260,54700,70129,39516,37749,39227,48043,24315,23.2,24125,29.5,13575,13,13508,16.5,36660,20100,500,0,23,16047,23446,0,6261,7286,28,0,6256,7224,28,0,13547,23.2,24125,29.5,12.9,13480,16.5,24315,8616,48.4,5513,31,2957,2546,10,0,14244,80040,321758
Vermont,409540,65633,80304,323388,51826,322698,63276,206956,33.2,206403,40.5,114662,18.4,114517,22.5,201240,194600,13700,0,5770,157467,159915,236,53428,55635,5534,65,53417,55505,5530,65,109128,33.2,206403,40.5,17.5,108987,21.4,206956,108858,87.1,61453,49.1,26765,34533,113,42,174556,139601,327530
Washington,4325160,56799,72669,3537203,46451,3527984,59276,2250118,29.5,2242480,37.7,1337435,17.6,1335865,22.4,2197260,1976300,151600,0,73699,1629413,1831512,2579,600880,662222,73842,491,600812,660732,73830,491,1263593,29.5,2242480,37.7,16.6,1262035,21.2,2250118,949266,78.5,706230,58.4,329195,351318,25361,356,1644230,135918,357533
Wisconsin,3348455,57510,73498,2870834,49306,2862673,62835,1829412,31.4,1822519,40,1065710,18.3,1064573,23.4,1674855,1559800,113800,0,55679,1302587,1512343,225,453366,558321,53961,62,453333,557251,53927,62,1011749,31.4,1822519,40,17.4,1010646,22.2,1829412,814310,80.1,614155,60.4,296517,310865,6740,33,1446946,142242,329170
West Virginia,1129335,63016,78832,866037,48324,862761,60224,530858,29.6,527940,36.9,334096,18.6,333773,23.3,540735,557900,30700,0,7842,427460,430735,0,155006,170747,8322,21,154949,170493,8310,21,325774,29.6,527940,36.9,18.2,325463,22.7,530858,241432,65.8,185855,50.6,89807,94420,1615,13,429371,116991,307711
Wyoming,366465,63319,82347,261963,45263,261365,58730,156638,27.1,156168,35.1,104805,18.1,104678,23.5,172965,180700,12800,0,5169,130704,125994,96,49926,50109,4750,20,49922,49987,4749,20,100055,27.1,156168,35.1,17.3,99929,22.5,156638,67665,68.2,56546,57,28950,26734,850,12,123928,124954,369499
