COVID-19 Vaccinations in the United States
Date generated: Wed May 19 2021 15:13:22 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4213680,N/A,N/A,3329620,N/A,3298399,N/A,1979284,N/A,1958399,N/A,1367194,N/A,1357194,N/A,2282280,1748700,182700,0,98832,1456294,1774095,399,553160,718118,95916,0,553105,708198,95891,0,1271278,N/A,1958399,N/A,0,1261303,0,1979284,169875,0,121596,0,43204,74238,4154,0,295992,0,0,1976841,0,1367091,0,553139,718046,95906,0,3327083,0,0
Delaware,1122975,115323,145805,870394,89384,854134,110899,496857,51,486358,63.1,385329,39.6,381154,49.5,589875,472000,61100,0,37568,351610,480941,275,143073,205127,36998,131,143008,201043,36972,131,348331,51,486358,63.1,35.8,344182,44.7,496857,170151,90.1,146480,77.5,59812,79095,7491,82,317312,167973,594462,496731,59.1,385309,45.9,143071,205115,36992,131,870247,103625,133718
Florida,22612025,105281,131101,17502836,81493,17308412,100351,9894458,46.1,9759721,56.6,7708335,35.9,7650413,44.4,11754405,9302320,1555300,0,695774,7486679,9289705,30678,3109610,3902643,686109,9973,3108863,3845797,685783,9970,7022226,46.1,9759721,56.6,32.7,6964630,40.4,9894458,3890356,86.5,3276804,72.9,1638519,1481639,149143,7503,7447479,165598,502787,9888182,52.9,7707545,41.2,3109040,3902573,685959,9973,17495838,93581,120946
Federated States of Micronesia,77800,75065,96237,38461,37109,38437,47546,22512,21.7,22492,27.8,16607,16,16603,20.5,0,67600,10200,0,657,37804,0,0,15917,31,659,0,15913,31,659,0,15948,21.7,22492,27.8,15.4,15944,19.7,22512,1957,11.1,1612,9.1,1495,5,112,0,3442,19536,441569,22506,25.4,16606,18.8,15916,31,659,0,38454,43446,87901
Georgia,10223635,96291,126007,7120836,67067,7015902,86472,4002403,37.7,3930440,48.4,3133560,29.5,3100432,38.2,5322135,4335600,565900,0,175446,3197768,3747098,524,1373668,1587335,172252,305,1373340,1554763,172030,299,2961308,37.7,3930440,48.4,27.9,2928402,36.1,4002403,1183712,78,1008894,66.5,566681,419801,22253,159,2264774,149297,673958,4001048,44.5,3133386,34.9,1373633,1587279,172169,305,7119394,79209,113746
Guam,173470,104646,134162,145756,87928,141699,109590,81933,49.4,79491,61.5,64846,39.1,63232,48.9,98670,63700,11100,0,1805,57374,86577,0,23174,39861,1811,0,23169,38252,1811,0,63035,49.4,79491,61.5,38,61421,47.5,81933,14091,50,12352,43.8,5196,7008,148,0,26451,93861,615557,81927,57.9,64845,45.8,23173,39861,1811,0,145749,102958,122540
Hawaii,1691760,119485,151591,1482502,104706,1446889,129649,883783,62.4,854948,76.6,625841,44.2,618411,55.4,955500,659160,77100,0,28744,530751,829247,93760,221009,357732,29029,18071,220728,350694,28935,18054,596812,62.4,854948,76.6,42.2,589476,52.8,883783,259345,96.6,214257,79.8,89460,116426,6962,1409,466952,173945,630200,882087,72.8,625689,51.7,220970,357656,29003,18060,1481365,122315,139687
Iowa,3135395,99376,129123,2690038,85261,2645734,108957,1479457,46.9,1449559,59.7,1294912,41,1280890,52.7,1626495,1331500,177400,0,104668,1198692,1386556,122,561769,630357,102724,62,561676,616481,102671,62,1192188,46.9,1449559,59.7,37.8,1178219,48.5,1479457,478913,86.6,452341,81.8,243034,200164,9098,45,927364,167711,567026,1479424,55.3,1294901,48.4,561763,630354,102722,62,2690022,100513,117155
Idaho,1543915,86394,115315,1183228,66211,1183162,88371,644589,36.1,644391,48.1,553850,31,553780,41.4,791115,655700,97100,0,35944,523563,623091,630,234508,283327,35818,197,234499,283279,35806,196,518032,36.1,644391,48.1,29,517974,38.7,644589,226829,78,210028,72.3,98296,104084,7566,82,435328,149767,531157,644575,43.1,553839,37,234506,283325,35811,197,1183209,79123,103244
Indian Health Svc,1702335,81732,N/A,1321131,63430,1284190,N/A,743441,35.7,720913,N/A,591243,28.4,576877,N/A,717015,911620,73700,0,21415,736626,563090,0,319477,250513,21253,0,319286,236372,21219,0,569990,35.7,720913,N/A,27.4,555658,0,743441,147106,0,120266,0,69307,48680,2279,0,268108,0,0,743176,0,591129,0,319414,250474,21241,0,1320734,0,0
Illinois,13306375,105008,135036,10807457,85287,10566867,107235,6479402,51.1,6299722,63.9,4676621,36.9,4608625,46.8,7097415,5406160,802800,0,357840,4492177,5950847,6593,1832298,2483782,358322,2219,1829276,2420380,356761,2208,4318299,51.1,6299722,63.9,34.1,4251864,43.1,6479402,1766519,86.5,1408134,68.9,652823,700017,54000,1294,3129136,153146,651242,6475697,59.8,4676538,43.2,1832259,2483760,358300,2219,10803680,99685,122777
Indiana,6051890,89894,117188,4778503,70980,4703687,91082,2658592,39.5,2607116,50.5,2203604,32.7,2184234,42.3,3242850,2408140,400900,0,156703,1970872,2640374,10554,881087,1164337,154730,3450,880974,1145173,154639,3448,2048874,39.5,2607116,50.5,30.4,2029595,39.3,2658592,868097,80,813336,74.9,406591,385510,19145,2090,1691461,155788,557396,2658471,46.6,2203575,38.6,881079,1164328,154718,3450,4778373,83757,106080
Kansas,2894765,99363,130803,2217195,76106,2187100,98827,1304916,44.8,1282734,58,1064359,36.5,1052436,47.6,1454505,1277560,162700,0,66802,1009423,1140370,600,462347,534959,66858,195,462232,523201,66809,194,997501,44.8,1282734,58,34.2,985627,44.5,1304916,425472,89.5,358709,75.4,174576,171743,12281,109,753969,158568,608800,1304818,53.2,1064341,43.4,462340,534953,66853,195,2217089,90431,118072
Kentucky,4174555,93439,120485,3448823,77195,3402488,98202,1955185,43.8,1924163,55.5,1624639,36.4,1609525,46.5,2117115,1811640,245800,0,128393,1548767,1771296,367,691558,807002,125755,324,691465,792041,125696,323,1498884,43.8,1924163,55.5,33.5,1483829,42.8,1955185,619640,82.6,547803,73,249599,269273,28732,199,1124168,149776,556189,1954919,51.4,1624612,42.7,691551,806996,125741,324,3447849,90586,109679
Louisiana,3798220,81703,106657,2949415,63445,2922801,82074,1592554,34.3,1575456,44.2,1383370,29.8,1374087,38.6,1919580,1645240,233400,0,99205,1385967,1463228,1015,620798,667180,94882,510,620644,658130,94805,508,1288488,34.3,1575456,44.2,27.7,1279282,35.9,1592554,562701,75.9,526057,71,251658,257595,16698,106,1095784,147875,512565,1592450,40.6,1383341,35.3,620792,667173,94866,510,2949293,75173,96811
Massachusetts,8651950,125527,156181,7372714,106967,7194768,129876,4328468,62.8,4196072,75.7,3259602,47.3,3212910,58,4771650,3460000,420300,0,242263,3043625,4086697,129,1259353,1756538,243678,33,1257547,1712430,242902,31,3015924,62.8,4196072,75.7,43.8,2970008,53.6,4328468,1094455,93.6,951036,81.3,432611,460279,58132,14,1987388,169959,739905,4326094,71.9,3259583,54.2,1259347,1756530,243673,33,7370366,122498,143798
Maryland,7247020,119871,153832,5616811,92906,5483035,116388,3244111,53.7,3147709,66.8,2592361,42.9,2556092,54.3,3968640,2856280,422100,0,217970,2314045,3080644,4152,1015160,1364602,211393,1206,1014991,1328607,211294,1200,2380968,53.7,3147709,66.8,39.4,2344798,49.8,3244111,835258,87.1,752833,78.5,367876,341290,43220,447,1533337,159823,755373,3243901,62.8,2592305,50.2,1015138,1364586,211375,1206,5616595,108788,140368
Maine,1645830,122438,150253,1373335,102167,1350135,123258,800275,59.5,783501,71.5,669080,49.8,662600,60.5,844350,704880,96600,0,88820,598233,686042,240,264544,315883,88589,64,264512,309471,88558,59,580491,59.5,783501,71.5,43.2,574042,52.4,800275,263946,92.5,246456,86.4,112129,114651,19658,18,488858,171370,576948,800211,67.5,669058,56.5,264541,315880,88573,64,1373264,115894,138896
Marshall Islands,51300,87823,112594,29328,50208,29262,64225,15872,27.2,15826,34.7,13547,23.2,13526,29.7,0,40500,10800,0,125,29203,0,0,13413,6,128,0,13393,5,128,0,13419,27.2,15826,34.7,23,13398,29.4,15872,959,9.7,816,8.2,807,0,9,0,1766,17784,516616,15856,31.8,13540,27.1,13406,6,128,0,29305,58746,102839
Michigan,10577110,105910,134862,8137664,81484,7981172,101763,4607412,46.1,4500965,57.4,3892532,39,3840848,49,5560230,4397180,619700,0,270179,3433949,4432243,1293,1560050,2056791,275123,568,1559724,2005568,274990,566,3617409,46.1,4500965,57.4,36.2,3565858,45.5,4607412,1442276,81.7,1330664,75.4,666406,611544,52332,382,2694290,152616,599134,4607228,53.6,3892489,45.3,1560033,2056776,275112,568,8137458,94677,123061
Minnesota,5879800,104259,135589,5025463,89110,4915940,113363,2893450,51.3,2817247,65,2370898,42,2337354,53.9,3171480,2405220,303100,0,220376,2070985,2733803,299,922972,1225424,222408,94,922400,1192652,222210,92,2148490,51.3,2817247,65,38.1,2115144,48.8,2893450,820833,89.2,755905,82.1,319468,395716,40694,27,1521853,165350,638843,2891900,60.5,2370861,49.6,922965,1225412,222390,94,5023879,105144,123058
Missouri,5675825,92479,119069,4460584,72678,4395958,92219,2468472,40.2,2426448,50.9,2005281,32.7,1986421,41.7,3058965,2316460,300400,0,136566,1746865,2576786,367,764323,1103824,137071,63,764150,1085261,136949,61,1868210,40.2,2426448,50.9,30.4,1849472,38.8,2468472,824496,77.6,723789,68.2,330800,365563,27398,28,1560524,146937,534428,2468230,47.1,2005255,38.3,764315,1103817,137060,63,4460320,85190,108406
Northern Mariana Islands,72330,127158,163023,45237,79528,44013,99200,24334,42.8,23528,53,21069,37,20652,46.5,49530,20200,2600,0,155,6210,38872,0,2692,18217,160,0,2692,17800,160,0,20909,42.8,23528,53,36.8,20492,46.2,24334,2552,26.4,2387,24.7,372,1965,50,0,4891,50579,747983,24334,50.1,21069,43.4,2692,18217,160,0,45237,93126,148901
Mississippi,2539975,85344,111521,1708451,57405,1696629,74493,975579,32.8,967751,42.5,778532,26.2,774400,34,1254435,1126440,159100,0,48614,813840,845129,868,361015,369882,47608,27,360908,365896,47569,27,730924,32.8,967751,42.5,24.6,726831,31.9,975579,359876,73.9,311507,64,165319,133297,12881,10,653506,134275,521884,975518,38.7,778515,30.9,361011,369876,47601,27,1708383,67755,100736
Montana,1049545,98200,124918,828344,77504,816356,97163,461593,43.2,453936,54,389396,36.4,385123,45.8,515385,466960,67200,0,27369,387737,412999,239,175812,186745,26766,73,175745,182554,26751,73,362630,43.2,453936,54,33.9,358372,42.7,461593,164446,79.7,149154,72.3,72383,70549,6180,42,306764,148599,508409,461532,50.3,389379,42.4,175799,186744,26763,73,828261,90264,114380
North Carolina,10886100,103795,132962,7782069,74199,7639523,93309,4357615,41.5,4263000,52.1,3592831,34.3,3544957,43.3,5818020,4464680,603400,0,257886,3210641,4313213,329,1400326,1937658,254812,35,1398566,1892458,253898,35,3338019,41.5,4263000,52.1,31.8,3291059,40.2,4357615,1369561,78.2,1227030,70.1,576650,622433,27922,25,2617075,149454,621674,4355213,48.5,3592232,40,1400244,1937157,254796,35,7779093,86574,121152
North Dakota,670640,88003,115252,593472,77877,585240,100576,310007,40.7,305511,52.5,268635,35.3,265640,45.7,333840,301300,35500,0,23694,259806,309972,0,113486,134176,20972,1,113364,131379,20896,1,247663,40.7,305511,52.5,32.5,244744,42.1,310007,98203,81.9,86700,72.3,42929,40748,3023,0,190089,158612,559589,309925,48.6,268626,42.2,113482,134173,20970,1,593374,93115,105240
Nebraska,1947700,100687,133557,1614694,83472,1585565,108724,892754,46.2,872943,59.9,773286,40,763817,52.4,1058460,785840,103400,0,57734,662658,891480,2822,301831,412608,58022,825,301757,403250,57988,822,715264,46.2,872943,59.9,37,705829,48.4,892754,267213,85.5,247458,79.2,119748,122733,4393,584,518035,165793,623348,892578,55.2,773247,47.8,301817,412596,58009,825,1614480,99819,120421
New Hampshire,1524585,112126,138039,1217534,89544,1201752,108809,817350,60.1,804071,72.8,485455,35.7,483874,43.8,782145,631640,110800,0,56540,506876,654078,40,197243,230978,57216,18,197102,229563,57191,18,428239,60.1,804071,72.8,31.5,426683,38.6,817350,246560,97.1,198810,78.3,86878,99460,12459,13,421755,166134,600552,816999,68.2,485321,40.5,197158,230935,57210,18,1217044,101541,127200
New Jersey,10192505,114752,146790,8431873,94930,8264310,119020,5020196,56.5,4902287,70.6,3965605,44.6,3914289,56.4,5450445,4169160,572900,0,324595,3590226,4516577,475,1556620,2081828,327126,31,1556396,2030875,326990,28,3638479,56.5,4902287,70.6,41,3587299,51.7,5020196,1306100,88.5,1137794,77.1,533211,531829,72739,15,2324309,157523,690767,5019693,65.9,3965542,52.1,1556608,2081816,327087,31,8431367,110671,133788
New Mexico,2178715,103905,134406,2022852,96472,1979289,122104,1145094,54.6,1114890,68.8,936258,44.7,920291,56.8,1091415,954000,133300,0,55919,901064,1063254,2615,386776,493852,54879,751,386544,478209,54788,750,881379,54.6,1114890,68.8,42,865503,53.4,1145094,336257,89,294196,77.9,134055,145463,14240,438,612236,162136,576981,1144984,64.1,936227,52.4,386763,493841,54872,751,2022727,113164,121891
Nevada,2752080,89349,115270,2349915,76292,2315532,96985,1319636,42.8,1297197,54.3,1049676,34.1,1039456,43.5,1455480,1130200,166400,0,89895,976510,1283510,0,420859,540514,88298,5,420801,530380,88270,5,961378,42.8,1297197,54.3,31.2,951186,39.8,1319636,389764,78.6,339861,68.5,162862,159882,17113,4,731786,147546,554886,1319607,50.3,1049669,40,420856,540512,88296,5,2349883,89629,104969
New York State,21227485,109119,137615,18093878,93011,17779510,115262,10142382,52.1,9926608,64.4,8370512,43,8270487,53.6,11143665,8915120,1168700,0,705557,7592023,9792744,3554,3332894,4346468,690430,720,3332249,4247467,690069,702,7680082,52.1,9926608,64.4,39.5,7580418,49.1,10142382,2691334,81.7,2384287,72.3,1150193,1098686,135015,393,4978579,151042,644009,10141474,60.5,8370215,49.9,3332788,4346371,690350,706,18092782,107867,126556
Ohio,11344735,97054,124516,9357282,80051,9196353,100936,5059492,43.3,4957404,54.4,4436209,38,4379873,48.1,6012435,4715600,616700,0,351322,3976698,5019998,9264,1790812,2304040,338584,2773,1790599,2248043,338467,2764,4097625,43.3,4957404,54.4,35.1,4041406,44.4,5059492,1654619,80.9,1543947,75.4,705993,769456,66917,1581,3189579,155869,554397,5059342,50.6,4436177,44.4,1790803,2304029,338572,2773,9357132,93565,113439
Oklahoma,3862965,97624,128563,2858862,72249,2820107,93855,1591345,40.2,1567063,52.2,1284957,32.5,1271158,42.3,1970865,1678100,214000,0,78695,1337981,1442147,39,580707,626691,77535,24,580557,613083,77494,24,1207422,40.2,1567063,52.2,30.5,1193664,39.7,1591345,514582,81,438739,69.1,231646,193129,13956,8,949470,149492,608215,1591225,47.9,1284928,38.6,580695,626682,77527,24,2858712,85971,116172
Oregon,4723175,111984,140941,3683177,87326,3605015,107575,2152671,51,2092676,62.4,1670204,39.6,1651158,49.3,2439255,2006720,277200,0,125312,1538483,2017425,1957,669697,875625,124537,345,668602,858097,124119,340,1545667,51,2092676,62.4,36.6,1527039,45.6,2152671,634329,82.8,579615,75.7,264308,277847,37283,177,1169984,152723,616538,2151339,59,1670194,45.8,669695,875618,124536,345,3681830,100934,129481
Pennsylvania,14166565,110659,139334,11675948,91204,11491398,113022,7038721,55,6897910,67.8,5071114,39.6,5027024,49.4,7153965,6007500,1005100,0,425707,4970328,6279616,297,2006616,2633936,430320,242,2005865,2590811,430110,238,4640794,55,6897910,67.8,36.3,4596914,45.2,7038721,2307569,96.4,1789945,74.8,840320,889769,59721,135,4055125,169432,591911,7037492,63.5,5070752,45.8,2006510,2633712,430288,242,11674394,105350,127839
Puerto Rico,3733410,116899,142444,2370464,74223,2329526,88881,1457782,45.6,1425409,54.4,1010147,31.6,1000458,38.2,1939470,1603940,190000,0,76231,965908,1328043,282,371788,561921,76419,19,371700,552412,76327,19,933728,45.6,1425409,54.4,29.2,924131,35.3,1457782,418920,77.2,342627,63.1,159198,170785,12641,3,745323,137278,687644,1457329,53.4,1010066,37,371776,561884,76387,19,2369962,86896,136888
Rhode Island,1359095,128294,158983,1083323,102262,1059359,123921,607256,57.3,590102,69,505752,47.7,499374,58.4,759915,538080,61100,0,41237,445705,596350,31,198996,265617,41130,9,198969,259281,41115,9,464622,57.3,590102,69,43.9,458259,53.6,607256,173579,92.8,161419,86.3,74151,82007,5258,3,331050,176989,726610,607206,65.5,505746,54.5,198992,265615,41130,9,1083267,116795,146535
Republic of Palau,24600,137376,176129,21024,117407,21024,150526,12978,72.5,12977,92.9,9530,53.2,9530,68.2,0,20800,3800,0,1299,19724,1,0,8212,19,1299,0,8212,19,1299,0,8231,72.5,12977,92.9,46,8231,58.9,12978,1610,52.9,1519,49.9,1360,8,151,0,2936,96452,808147,12978,84.9,9530,62.3,8212,19,1299,0,21024,137484,160868
South Carolina,4855305,94301,120254,3589981,69726,3542715,87745,2008472,39,1976998,49,1641574,31.9,1625545,40.3,2531685,2026620,297000,0,114188,1467199,2007533,1061,624876,904975,111513,210,624042,890053,111240,210,1530061,39,1976998,49,29.7,1514305,37.5,2008472,763842,81.5,661241,70.6,278326,362216,20555,144,1408385,150304,518163,2006992,45.4,1641090,37.1,624810,904579,111491,210,3588005,81177,109849
South Dakota,922975,104331,138261,751812,84983,740315,110899,411587,46.5,404199,60.5,364162,41.2,360014,53.9,448695,417680,56600,0,21018,342199,388582,13,161379,181550,21222,11,161342,177447,21214,11,342940,46.5,404199,60.5,38.8,338800,50.8,411587,136240,89.7,126512,83.3,65469,57970,3068,5,256253,168731,607736,411569,55.8,364160,49.3,161378,181549,21222,11,751793,101855,125047
Tennessee,5828160,85342,109570,4602551,67395,4547296,85490,2550592,37.3,2513672,47.3,2048916,30,2031298,38.2,3032640,2441220,354300,0,127669,1954095,2513373,7414,839572,1082758,124415,2171,839367,1065483,124282,2166,1924501,37.3,2513672,47.3,28.2,1907016,35.9,2550592,865641,75.7,754551,66,381978,348437,22772,1364,1647302,144071,509725,2550211,43.7,2048836,35.1,839559,1082724,124382,2171,4602096,78863,99873
Texas,28735365,99102,133058,21430921,73910,20998266,97232,12017212,41.4,11730001,54.3,9505017,32.8,9308827,43.1,15120105,11841160,1774100,0,778719,9274444,11376958,800,3941637,4800613,762121,646,3860279,4701525,746390,633,8745284,41.4,11730001,54.3,30.2,8615854,39.9,12017212,2953831,79.1,2525484,67.6,1047293,1275523,202496,172,5572332,149223,769513,12013607,49.8,9503117,39.4,3940849,4799653,761969,646,21426700,88903,119228
