COVID-19 Vaccinations in the United States
Date generated: Mon Apr 12 2021 15:17:43 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Iowa,2240975,71028,92288,1905355,60390,1896248,78092,1188039,37.7,1180340,48.6,783748,24.8,782319,32.2,1069575,1013700,157700,0,73106,926411,905719,119,375209,336068,72436,35,375194,334689,72401,35,711312,37.7,1180340,48.6,22.5,709918,29.2,1188039,456004,82.5,392372,71,211017,175396,5933,26,845650,152933,405273
Idaho,1165795,65235,87073,909981,50920,909945,67964,548331,30.7,548268,41,373212,20.9,373189,27.9,573495,514100,78200,0,28003,414829,466764,385,163584,181702,27810,116,163581,181691,27801,116,345402,30.7,548268,41,19.3,345388,25.8,548331,215591,74.2,188869,65,87925,94595,6301,48,402265,138392,401072
Indian Health Svc,1623385,77942,N/A,1091286,52395,1071013,N/A,657255,31.6,644004,N/A,441943,21.2,434960,N/A,683085,878700,61600,0,15208,611386,464692,0,233768,193105,15070,0,233645,186270,15045,0,426873,31.6,644004,N/A,20.5,419915,0,657255,139672,0,105924,0,60143,44154,1627,0,246912,0,0
Illinois,9270385,73157,94078,7363280,58108,7325486,74341,4826744,38.1,4794182,48.7,2747814,21.7,2741185,27.8,4618185,3985300,666900,0,247679,3275012,3836874,3715,1175246,1323979,247342,1247,1174672,1318761,246507,1245,2500472,38.1,4794182,48.7,19.7,2494678,25.3,4826744,1623336,79.4,1136641,55.6,529107,566222,40525,787,2719659,133106,453712
Indiana,4286610,63673,83006,3361921,49938,3352246,64913,2059322,30.6,2050759,39.7,1381844,20.5,1381131,26.7,2082210,1891400,313000,0,108613,1448748,1799044,5516,564380,707726,107887,1851,564338,707104,107838,1851,1273957,30.6,2050759,39.7,18.9,1273293,24.7,2059322,819046,75.4,722138,66.5,366863,340526,13481,1268,1549267,142692,394809
Kansas,2141475,73506,96765,1639400,56273,1630072,73657,1089568,37.4,1080314,48.8,659259,22.6,657885,29.7,1022775,982000,136700,0,46376,787090,805650,284,310752,301265,47122,120,310718,299956,47091,120,612137,37.4,1080314,48.8,21,610794,27.6,1089568,402663,84.7,312461,65.7,153001,150478,8907,75,686090,144292,450375
Kentucky,3130125,70062,90341,2571972,57568,2560461,73899,1617017,36.2,1607770,46.4,1060594,23.7,1058918,30.6,1535625,1385500,209000,0,95038,1177600,1299109,225,461900,506075,92455,164,461861,504483,92411,163,968139,36.2,1607770,46.4,21.7,966507,27.9,1617017,577417,76.9,454579,60.6,202720,228771,22982,106,992453,132228,417036
Louisiana,3279090,70536,92079,2317149,49844,2308072,64812,1379625,29.7,1371860,38.5,967358,20.8,966127,27.1,1630590,1442800,205700,0,82273,1045317,1188618,941,386162,501718,79018,460,386119,500592,78957,459,888340,29.7,1371860,38.5,19.1,887170,24.9,1379625,536631,72.4,463358,62.5,210113,238310,14844,91,1006464,135821,442509
Massachusetts,5331330,77350,96239,4569777,66301,4545041,82045,2964422,43,2943460,53.1,1738537,25.2,1734524,31.3,2623530,2346300,361500,0,158821,2092606,2318282,68,775159,804357,159007,14,774943,800910,158657,14,1579530,43,2943460,53.1,22.9,1575867,28.4,2964422,1018173,87.1,787056,67.3,360449,378628,47969,10,1756835,150243,455930
Maryland,4475360,74026,94998,3581978,59249,3564116,75655,2323927,38.4,2308921,49,1435290,23.7,1432586,30.4,2232360,1936300,306700,0,152586,1605926,1821266,2200,607287,678853,148535,615,607227,676271,148473,615,1286755,38.4,2308921,49,21.3,1284113,27.3,2323927,766551,79.9,603307,62.9,288765,278633,35622,287,1317995,137378,466477
Maine,1037000,77146,94671,884479,65799,883103,80621,575892,42.8,574736,52.5,369973,27.5,369712,33.8,487500,475100,74400,0,53507,399595,431302,75,152920,163451,53580,22,152896,163230,53564,22,316393,42.8,574736,52.5,23.5,316148,28.9,575892,250154,87.7,205527,72,88270,100892,16356,9,436939,153170,363522
Marshall Islands,51300,87823,112594,23156,39642,23115,50733,13374,22.9,13339,29.3,9735,16.7,9727,21.3,0,40500,10800,0,0,23156,0,0,9730,2,3,0,9722,2,3,0,9732,22.9,13339,29.3,16.7,9724,21.3,13374,871,8.8,648,6.5,646,0,2,0,1520,15307,516616
Michigan,7025100,70343,89572,5496030,55033,5470790,69754,3491441,35,3467465,44.2,2248768,22.5,2246863,28.6,3467100,3075400,482600,0,185585,2456343,2852877,1225,948238,1111620,188456,454,948135,1109920,188354,454,2060312,35,3467465,44.2,20.6,2058509,26.2,3491441,1319997,74.8,1121837,63.5,555536,526589,39400,312,2376396,134609,397932
Minnesota,3777940,66989,87120,3402218,60327,3385706,78075,2156318,38.2,2142013,49.4,1413734,25.1,1411238,32.5,1870440,1652900,254600,0,146258,1509039,1746699,222,580188,684816,148675,55,580126,682481,148576,55,1265059,38.2,2142013,49.4,22.4,1262662,29.1,2156318,777999,84.5,680745,74,287113,358011,35599,22,1406362,152802,410475
Missouri,4246325,69187,89080,3146868,51273,3136546,65799,1901428,31,1893527,39.7,1238025,20.2,1236587,25.9,2167425,1824000,254900,0,87269,1286931,1772338,330,483486,666466,88024,49,483417,665160,87962,48,1150001,31,1893527,39.7,18.7,1148625,24.1,1901428,755062,71.1,601441,56.6,275374,305212,20833,22,1374424,129414,399828
Northern Mariana Islands,62910,110597,141791,32894,57828,32583,73438,18904,33.2,18612,41.9,14024,24.7,14005,31.6,42510,17800,2600,0,43,4359,28492,0,1928,12050,46,0,1928,12031,46,0,13978,33.2,18612,41.9,24.6,13959,31.5,18904,2310,23.9,2200,22.8,329,1832,39,0,4473,46256,650569
Mississippi,2074625,69708,91090,1363366,45810,1359350,59684,829854,27.9,826326,36.3,571472,19.2,570968,25.1,993525,943200,137900,0,40088,670353,652089,836,273042,259224,39187,19,273011,258779,39159,19,532285,27.9,826326,36.3,17.9,531809,23.3,829854,335506,68.9,269971,55.5,143282,115733,10951,5,589236,121069,426270
Montana,826055,77290,98318,635147,59427,630702,75067,388207,36.3,384653,45.8,263816,24.7,262949,31.3,387855,380800,57400,0,18043,312393,304559,152,126629,119387,17755,45,126595,118563,17746,45,246061,36.3,384653,45.8,23,245203,29.2,388207,154597,74.9,128397,62.2,62479,61367,4526,25,277129,134244,400149
North Carolina,7482530,71343,91391,5640827,53783,5606596,68479,3528522,33.6,3499527,42.7,2230919,21.3,2225302,27.2,3809130,3157100,516300,0,188794,2409439,3042265,329,878947,1165586,186359,27,878576,1160876,185823,27,2044560,33.6,3499527,42.7,19.5,2039479,24.9,3528522,1299603,74.2,1092920,62.4,514977,556219,21703,21,2417284,138044,427306
North Dakota,547170,71801,94033,491433,64487,487881,83844,278831,36.6,276335,47.5,203101,26.7,202269,34.8,262470,254600,30100,0,20061,218051,253321,0,86711,98682,17708,0,86670,97949,17650,0,185393,36.6,276335,47.5,24.3,184619,31.7,278831,95167,79.4,81302,67.8,40028,38670,2604,0,181850,151738,456565
Nebraska,1397550,72247,95832,1130671,58450,1126294,77232,710342,36.7,706632,48.5,453956,23.5,453223,31.1,703950,598600,95000,0,38587,504697,585311,2076,192957,221368,39051,580,192921,220683,39039,580,414905,36.7,706632,48.5,21.4,414184,28.4,710342,253495,81.1,218161,69.8,103192,111427,3093,449,473876,151661,447276
New Hampshire,1003555,73806,90864,958018,70457,952639,86254,692179,50.9,687536,62.3,327331,24.1,326685,29.6,469755,453300,80500,0,33501,434127,490363,27,157017,135688,34617,9,156890,135187,34599,9,292714,50.9,687536,62.3,21.5,292086,26.4,692179,273908,99.9,167288,65.9,79030,77617,10636,5,419671,165313,395312
New Jersey,6362455,71632,91630,5590502,62941,5557410,80036,3682138,41.5,3656444,52.7,2288890,25.8,2281143,32.9,3230955,2711500,420000,0,218257,2525972,2845798,475,972375,1096994,219503,18,972257,1089448,219421,17,2069387,41.5,3656444,52.7,23.3,2061722,29.7,3682138,1166444,79.1,873716,59.2,401941,417878,53887,10,1942906,131675,431196
New Mexico,1710565,81579,105526,1502885,71674,1490692,91962,936846,44.7,927950,57.2,615420,29.4,610333,37.7,874965,723800,111800,0,41290,667834,791818,1943,245743,328721,40424,532,245633,323814,40354,532,574996,44.7,927950,57.2,27.4,569979,35.2,936846,308959,81.8,228427,60.5,101917,114495,11692,323,520042,137721,453003
Nevada,2014340,65397,84370,1652963,53665,1646041,68944,1028619,33.4,1022395,42.8,644363,20.9,643764,27,1008540,869500,136300,0,59699,698099,895165,0,254461,330873,59026,3,254436,330315,59010,3,585337,33.4,1022395,42.8,19,584754,24.5,1028619,362984,73.2,289994,58.5,135583,141668,12741,2,658236,132716,406140
New York State,14459595,74329,93740,12062900,62009,12012301,77874,7527413,38.7,7486866,48.5,4833937,24.8,4823644,31.3,7416045,6174300,869250,0,479266,5350201,6231446,1987,1996987,2361551,474991,408,1996694,2351777,474766,407,4358946,38.7,7486866,48.5,22.4,4348878,28.2,7527413,2391488,72.6,1906019,57.8,911172,892037,102569,241,4206435,127617,438682
Ohio,8322065,71195,91340,6460600,55270,6425067,70519,4052665,34.7,4020278,44.1,2526025,21.6,2523481,27.7,4267965,3585300,468800,0,226877,2904652,3323464,5607,1101278,1201844,221320,1583,1101213,1199451,221239,1578,2304705,34.7,4020278,44.1,19.7,2302242,25.3,4052665,1539027,75.2,1309872,64,599685,657611,51570,1006,2833914,138488,406684
Oklahoma,3123625,78940,103957,2312369,58438,2294242,76354,1402339,35.4,1388910,46.2,926868,23.4,922616,30.7,1535625,1405300,182700,0,60607,1065951,1185777,34,401034,465853,59961,20,400953,461712,59931,20,866907,35.4,1388910,46.2,21.9,862685,28.7,1402339,491800,77.4,391669,61.7,204401,175975,11288,5,881271,138754,491807
Oregon,2927765,69416,87365,2321846,55050,2310491,68946,1473448,34.9,1464375,43.7,923545,21.9,921068,27.5,1424865,1290600,212300,0,74544,1062083,1183891,1328,410765,438594,73955,231,410531,436518,73788,231,849590,34.9,1464375,43.7,20.1,847280,25.3,1473448,581962,76,441226,57.6,194525,216857,29725,119,986665,128794,382175
Pennsylvania,9542955,74543,93859,7559762,59051,7534252,74102,4986237,38.9,4965689,48.8,2837612,22.2,2831977,27.9,4705155,4059800,778000,0,238580,3330584,3990415,183,1139340,1454636,243477,159,1139095,1449326,243398,158,2594135,38.9,4965689,48.8,20.3,2588579,25.5,4986237,1994500,83.3,1263822,52.8,577048,649989,36688,97,3227658,134859,398726
Puerto Rico,2426730,75985,92589,1311597,41068,1310154,49988,847783,26.5,846432,32.3,506765,15.9,506567,19.3,1200030,1078800,147900,0,31274,524663,755400,260,187717,287647,31393,8,187693,287496,31370,8,475372,26.5,846432,32.3,14.9,475197,18.1,847783,338353,62.3,239585,44.1,107528,125782,6274,1,567737,104569,446971
Rhode Island,803105,75810,93945,696609,65757,694671,81261,420639,39.7,418997,49,297589,28.1,297273,34.8,393705,357400,52000,0,24798,315600,356187,24,131097,141791,24698,3,131092,141487,24691,3,272891,39.7,418997,49,25.8,272582,31.9,420639,162971,87.1,143955,77,67321,72784,3848,2,303543,162283,429362
Republic of Palau,24600,137376,176129,14533,81158,14533,104052,8470,47.3,8470,60.6,6407,35.8,6407,45.9,0,20800,3800,0,197,14335,1,0,6196,14,197,0,6196,14,197,0,6210,47.3,8470,60.6,34.7,6210,44.5,8470,1459,47.9,1386,45.5,1287,8,91,0,2717,89258,808147
South Carolina,3494775,67877,86557,2653698,51541,2640449,65398,1663746,32.3,1652014,40.9,1035551,20.1,1034169,25.6,1802775,1447000,245000,0,85112,1040829,1526702,1055,364687,588253,82406,205,364610,587097,82257,205,953145,32.3,1652014,40.9,18.5,951912,23.6,1663746,722477,77.1,579786,61.9,241544,322044,16058,140,1290342,137707,372966
South Dakota,740285,83680,110894,594431,67193,590750,88494,362791,41,359776,53.9,249944,28.3,249268,37.3,339885,347800,52600,0,16531,280003,297884,13,115744,117655,16540,5,115725,117004,16534,5,233404,41,359776,53.9,26.4,232734,34.9,362791,131467,86.6,117070,77.1,60267,54458,2343,2,243807,160536,487443
Tennessee,4635700,67881,87152,3255070,47664,3241830,60947,2049823,30,2038122,38.3,1227764,18,1226286,23.1,2293200,2043900,298600,0,98286,1466481,1686255,4048,532571,598275,95746,1172,532511,596971,95634,1170,1132018,30,2038122,38.3,16.6,1130652,21.3,2049823,801791,70.1,623622,54.5,319061,286395,17408,758,1439330,125882,405434
Texas,19312495,66604,89426,14959669,51592,14839126,68712,9293759,32.1,9217074,42.7,5650179,19.5,5603558,25.9,9734595,8108300,1469600,0,503671,6707858,7747453,687,2368551,2788186,492899,543,2349007,2765180,488832,539,5158286,32.1,9217074,42.7,17.8,5115724,23.7,9293759,3080882,82.5,2538061,68,1063953,1252453,221410,244,4853043,129961,517175
Utah,1954460,60963,85919,1662712,51863,1647657,72432,1019689,31.8,1006737,44.3,515888,16.1,514234,22.6,945360,879900,129200,0,62876,743104,856732,0,212384,243188,60316,0,212310,241657,60267,0,455572,31.8,1006737,44.3,14.2,453967,20,1019689,293894,80.3,185294,50.6,79382,97062,8850,0,540213,147651,534192
Virginia,5965125,69886,89370,5071677,59418,5042553,75548,3294755,38.6,3270256,49,1933675,22.7,1928612,28.9,2998125,2586500,380500,0,181020,2208678,2680767,1212,803569,949267,180472,367,803170,945072,180003,367,1753203,38.6,3270256,49,20.5,1748609,26.2,3294755,1075984,79.2,833691,61.4,393582,395563,44296,250,1871097,137691,438965
Veterans Health,5511825,N/A,N/A,4407399,N/A,4407170,N/A,2512833,N/A,2512671,N/A,1988201,N/A,1988126,N/A,2413125,2652200,446500,0,95582,2321703,1990112,2,1010426,882249,95525,1,1010405,882204,95516,1,1892676,N/A,2512671,N/A,0,1892610,0,2512833,1387701,0,1233971,0,688997,511242,33731,1,2588406,0,0
Virgin Islands,62540,59744,76595,50432,48177,49992,61227,28559,27.3,28309,34.7,19855,19,19717,24.1,41340,20500,700,0,228,17692,32512,0,7232,12384,239,0,7227,12251,239,0,19616,27.3,28309,34.7,18.7,19478,23.9,28559,9867,55.4,7372,41.4,3312,3952,108,0,17261,96994,351427
Vermont,515960,82687,101172,416718,66783,415466,81466,258219,41.4,257179,50.4,163581,26.2,163368,32,243360,234100,38500,0,13757,191731,210956,274,69766,80252,13479,84,69754,80059,13471,84,150102,41.4,257179,50.4,24.1,149897,29.4,258219,114093,91.2,87590,70.1,39664,47642,228,56,206467,165122,412639
Washington,5514040,72411,92644,4435641,58250,4418008,74229,2776113,36.5,2761752,46.4,1785182,23.4,1781910,29.9,2775240,2380400,358400,0,155106,1930265,2347209,3061,724973,904383,155169,657,724887,901263,155103,657,1630013,36.5,2761752,46.4,21.4,1626807,27.3,2776113,993111,82.1,842789,69.7,381040,427504,33786,459,1818828,150351,455810
Wisconsin,3999985,68700,87799,3652477,62731,3631395,79709,2275717,39.1,2258014,49.6,1468571,25.2,1465750,32.2,1966185,1766900,266900,0,144098,1605049,1902917,413,603053,726400,138938,180,602988,723719,138865,178,1329633,39.1,2258014,49.6,22.8,1326885,29.1,2275717,851503,83.7,743779,73.1,362779,366601,14323,76,1609754,158247,393218
West Virginia,1386215,77349,96764,1024839,57185,1017536,71028,600905,33.5,594675,41.5,432618,24.1,431706,30.1,627315,665400,93500,0,18158,493615,513066,0,196395,217524,18661,38,196317,216714,18637,38,413957,33.5,594675,41.5,23.1,413069,28.8,600905,251895,68.6,214733,58.5,108474,103208,3028,23,466144,127011,377704
Wyoming,450525,77843,101236,310702,53684,309387,69521,180223,31.1,179175,40.3,131933,22.8,131717,29.6,205725,216200,28600,0,9937,151781,148812,172,61204,61441,9263,25,61199,61234,9259,25,122670,31.1,179175,40.3,21.2,122458,27.5,180223,70530,71.1,62126,62.6,32246,28288,1579,13,131496,132585,454254
