COVID-19 Vaccinations in the United States
Date generated: Sun Mar 14 2021 15:10:10 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident
Dept of Defense,1918750,N/A,N/A,1439663,N/A,1435744,N/A,929473,N/A,926025,N/A,488731,N/A,488282,N/A,1008150,868000,42600,0,3079,680450,755735,399,217394,269907,1430,0,217366,269486,1430,0,487301,N/A,926025,N/A,0,486852,0,929473,116406,0,57854,0,17464,40357,33,0
Delaware,422015,43339,54793,317790,32635,317541,41229,196931,20.2,196757,25.5,115412,11.9,115351,15,206115,205100,10800,0,3145,143900,170708,37,54543,57629,3228,12,54531,57580,3228,12,112184,20.2,196757,25.5,11.5,112123,14.6,196931,123352,65.3,70281,37.2,34241,33009,3024,7
Florida,9145275,42580,53023,7007792,32628,6999421,40582,4325176,20.1,4317972,25,2399551,11.2,2398479,13.9,4419675,4441900,283700,0,69571,3521516,3407847,8858,1150664,1176932,68973,2982,1150105,1176441,68951,2982,2330578,20.1,4317972,25,10.9,2329528,13.5,4325176,2978768,66.2,1767365,39.3,864436,872631,27728,2570
Federated States of Micronesia,47400,45734,58633,19580,18892,19575,24214,12162,11.7,12157,15,7459,7.2,7459,9.2,0,46600,800,0,0,19580,0,0,7440,19,0,0,7440,19,0,0,7459,11.7,12157,15,7.2,7459,9.2,12162,1223,6.9,808,4.6,804,4,0,0
Georgia,3980645,37492,49062,2681373,25254,2679833,33029,1608162,15.1,1606977,19.8,1008364,9.5,1007991,12.4,1803945,2067000,109700,0,13054,1478374,1189719,226,552645,442238,13349,132,552590,441923,13346,132,995015,15.1,1606977,19.8,9.4,994645,12.3,1608162,910620,60,615535,40.6,368888,244167,2399,81
Guam,87860,53002,67951,65382,39442,65338,50532,36826,22.2,36801,28.5,28020,16.9,28003,21.7,48360,38200,1300,0,0,33469,31913,0,13851,14169,0,0,13849,14154,0,0,28020,22.2,36801,28.5,16.9,28003,21.7,36826,11061,39.2,9267,32.9,4027,5240,0,0
Hawaii,681200,48112,61039,517061,36519,516262,46260,322222,22.8,320988,28.8,199012,14.1,198809,17.8,370500,296900,13800,0,700,185519,237082,93760,75271,104998,738,18005,75235,104850,736,17988,198274,22.8,320988,28.8,14,198073,17.7,322222,123955,46.2,78219,29.1,37105,39603,105,1406
Iowa,1288785,40848,53075,1114523,35325,1112500,45815,734296,23.3,733010,30.2,407675,12.9,406938,16.8,581685,672000,35100,0,27998,600028,486378,119,208073,171413,28182,7,208063,170694,28174,7,379493,23.3,733010,30.2,12,378764,15.6,734296,400113,72.4,188750,34.1,96753,89651,2344,2
Idaho,671845,37595,50180,536191,30004,536172,40047,332271,18.6,332245,24.8,199911,11.2,199898,14.9,310245,343200,18400,0,3974,278927,253113,177,103201,92827,3852,31,103200,92821,3846,31,196059,18.6,332245,24.8,11,196052,14.6,332271,183954,63.3,97338,33.5,45199,50350,1772,17
Indian Health Svc,1239435,59508,N/A,733344,35209,724934,N/A,476051,22.9,469658,N/A,252406,12.1,250437,N/A,478335,739200,21900,0,1328,400977,331039,0,123754,127328,1324,0,123716,125397,1324,0,251082,22.9,469658,N/A,12.1,249113,0,476051,122389,0,82651,0,45542,37011,98,0
Illinois,5167015,40776,52436,4197357,33124,4189415,42515,2754782,21.7,2748960,27.9,1461858,11.5,1459766,14.8,2429115,2600400,137500,0,46377,2070914,2078430,1636,686145,730173,45040,500,685980,728309,44977,500,1416818,21.7,2748960,27.9,11.2,1414789,14.4,2754782,1238140,60.6,643319,31.5,321096,309350,12561,312
Indiana,2537330,37689,49133,2127154,31597,2126200,41172,1297780,19.3,1297163,25.1,837244,12.4,836899,16.2,1211730,1249900,75700,0,26251,989450,1108854,2599,384899,425110,26308,927,384869,424798,26305,927,810936,19.3,1297163,25.1,12,810594,15.7,1297780,725002,66.8,533545,49.1,277773,251895,3197,680
Kansas,1257325,43158,56814,850639,29198,849085,38367,586038,20.1,584945,26.4,306140,10.5,305600,13.8,584025,642600,30700,0,6597,476451,367421,170,160633,138606,6830,71,160615,138086,6828,71,299310,20.1,584945,26.4,10.3,298772,13.5,586038,295609,62.2,142887,30.1,72768,67840,2233,46
Kentucky,1798045,40246,51895,1492234,33401,1489891,43001,1020088,22.8,1018641,29.4,517761,11.6,517468,14.9,840645,911100,46300,0,24941,764882,702323,88,258756,235223,23716,66,258738,234961,23703,66,494045,22.8,1018641,29.4,11.1,493765,14.3,1020088,463455,61.7,234334,31.2,98509,127837,7948,40
Louisiana,1890870,40674,53097,1464259,31498,1463429,41094,925322,19.9,924629,26,540820,11.6,540695,15.2,898170,941500,51200,0,28719,645214,789532,794,207922,304725,27816,357,207908,304620,27811,356,513004,19.9,924629,26,11,512884,14.4,925322,475192,64.1,341115,46,143766,189819,7461,69
Massachusetts,2891100,41946,52189,2561749,37167,2557010,46158,1717752,24.9,1714440,30.9,874031,12.7,872686,15.8,1349400,1463700,78000,0,55119,1264578,1242008,44,378487,440779,54758,7,378400,439543,54736,7,819273,24.9,1714440,30.9,11.9,817950,14.8,1717752,811404,69.4,382723,32.7,133913,221255,27552,3
Maryland,2430150,40196,51585,1922161,31794,1919815,40752,1291426,21.4,1289622,27.4,725097,12,724501,15.4,1164150,1200900,65100,0,47806,945668,927501,1186,318660,359369,46752,316,318620,358822,46743,316,678345,21.4,1289622,27.4,11.2,677758,14.4,1291426,587350,61.2,302579,31.5,130345,152365,19723,146
Maine,583690,43422,53287,477511,35523,477050,43551,321118,23.9,320830,29.3,172875,12.9,172690,15.8,261690,305600,16400,0,11581,238081,227819,30,80005,81188,11677,5,79984,81026,11675,5,161198,23.9,320830,29.3,12,161015,14.7,321118,193391,67.8,89023,31.2,33192,49197,6632,2
Marshall Islands,35600,60945,78135,16007,27403,15982,35077,11204,19.2,11178,24.5,4753,8.1,4752,10.4,0,35000,600,0,0,16007,0,0,4749,2,2,0,4748,2,2,0,4751,19.2,11178,24.5,8.1,4750,10.4,11204,785,7.9,418,4.2,416,0,2,0
Michigan,3925470,39306,50051,3076878,30809,3074907,39206,2001598,20,2000205,25.5,1115924,11.2,1115339,14.2,1853670,1962300,109500,0,12162,1420149,1644567,0,451924,651288,12672,40,451875,650756,12668,40,1103252,20,2000205,25.5,11,1102671,14.1,2001598,1096337,62.1,563960,31.9,243669,314625,5635,31
Minnesota,2263220,40131,52190,2000813,35478,1998435,46084,1330070,23.6,1328352,30.6,715226,12.7,714519,16.5,1091220,1113000,59000,0,37210,936960,1026456,187,300265,377692,37228,41,300234,377026,37218,41,677998,23.6,1328352,30.6,12,677301,15.6,1330070,694423,75.4,342648,37.2,137787,182441,22405,15
Missouri,2415805,39362,50679,1867231,30424,1865605,39137,1186989,19.3,1185827,24.9,632916,10.3,632526,13.3,1212705,1149600,53500,0,21804,775199,1069986,242,229398,381759,21732,27,229370,381402,21728,26,611184,19.3,1185827,24.9,10,610798,12.8,1186989,612085,57.6,308226,29,128771,171160,8287,8
Northern Mariana Islands,44010,77371,99193,22034,38736,22010,49608,12858,22.6,12845,29,9160,16.1,9149,20.6,30810,12800,400,0,0,2535,19499,0,663,8497,0,0,663,8486,0,0,9160,22.6,12845,29,16.1,9149,20.6,12858,2096,21.7,1865,19.3,233,1632,0,0
Mississippi,1239205,41638,54409,896984,30139,896558,39365,589064,19.8,588745,25.8,326150,11,326042,14.3,565305,641900,32000,0,16911,477742,401756,575,167913,141883,16344,10,167893,141800,16339,10,309806,19.8,588745,25.8,10.4,309703,13.6,589064,285395,58.6,180771,37.1,98500,77423,4845,3
Montana,481155,45019,57267,383241,35858,382319,45504,243698,22.8,243025,28.9,143387,13.4,143152,17,212355,256300,12500,0,3414,206456,173279,92,75298,64602,3461,26,75280,64385,3461,26,139926,22.8,243025,28.9,13.1,139691,16.6,243698,124503,60.3,76458,37,36826,38499,1120,13
North Carolina,4267910,40693,52128,3391675,32338,3386351,41361,2181724,20.8,2177271,26.6,1206651,11.5,1205667,14.7,2082210,2074000,111700,0,43749,1486362,1861235,329,465580,697538,43509,24,465463,696760,43420,24,1163142,20.8,2177271,26.6,11.1,1162247,14.2,2181724,1154057,65.9,780644,44.6,342034,431190,7401,19
North Dakota,344370,45189,59181,308699,40508,307988,52929,192137,25.2,191648,32.9,106812,14,106633,18.3,157170,178400,8800,0,4362,151239,153098,0,50775,51839,4198,0,50760,51679,4194,0,102614,25.2,191648,32.9,13.5,102439,17.6,192137,87316,72.9,53953,45,25956,27152,845,0
Nebraska,833730,43100,57170,666329,34446,665201,45614,428913,22.2,428196,29.4,247438,12.8,247011,16.9,392730,417500,23500,0,15627,324374,324996,1332,112950,118079,16080,329,112923,117684,16075,329,231358,22.2,428196,29.4,12,230936,15.8,428913,221884,71,114227,36.6,51847,60962,1173,245
New Hampshire,565165,41565,51171,450103,33103,448945,40648,327787,24.1,326949,29.6,150592,11.1,150277,13.6,250965,298400,15800,0,11020,249063,189993,27,84079,55208,11300,5,84013,54970,11289,5,139292,24.1,326949,29.6,10.2,138988,12.6,327787,185114,72.9,64569,25.4,31542,24948,8077,2
New Jersey,3577765,40280,51526,3011319,33903,3003344,43253,2090835,23.5,2084827,30,1063758,12,1061772,15.3,1713465,1768700,95600,0,41024,1562178,1407642,475,519003,503989,40761,5,518926,502089,40752,5,1022997,23.5,2084827,30,11.5,1021020,14.7,2090835,854534,57.9,429816,29.1,202409,215266,12138,3
New Mexico,1035005,49360,63850,913253,43554,907422,55979,591927,28.2,586738,36.2,334582,16,332894,20.5,514605,494800,25600,0,2893,411770,497477,1113,135091,196322,2896,273,135047,194680,2894,273,331686,28.2,586738,36.2,15.8,330000,20.4,591927,225831,59.8,129170,34.2,57999,69500,1510,161
Nevada,1169770,37978,48995,958706,31125,957954,40123,603756,19.6,603236,25.3,339960,11,339751,14.2,551070,586200,32500,0,9517,440632,508557,0,151882,178617,9461,0,151868,178423,9460,0,330499,19.6,603236,25.3,10.7,330291,13.8,603756,302921,61.1,169815,34.2,76214,89953,3648,0
New York State,8237955,42347,53406,6295058,32359,6285922,40751,4226184,21.7,4218386,27.3,2048700,10.5,2047244,13.3,4038255,4003600,196100,0,94381,3072790,3127206,681,995829,959284,93469,118,995691,957970,93465,118,1955231,21.7,4218386,27.3,10.1,1953779,12.7,4226184,1814483,55,897680,27.2,419091,445655,32869,65
Ohio,4748935,40627,52123,3624261,31005,3620824,39741,2319341,19.8,2317039,25.4,1342826,11.5,1341694,14.7,2245035,2370900,133000,0,72914,1844443,1704161,2743,654947,615107,71997,775,654904,614029,71987,774,1270829,19.8,2317039,25.4,10.9,1269707,13.9,2319341,1300603,63.6,750212,36.7,323925,401170,24598,519
Oklahoma,1981405,50074,65943,1435464,36277,1432229,47666,920680,23.3,917928,30.5,502588,12.7,502230,16.7,931905,1000800,48700,0,9657,678555,747244,8,233712,259294,9581,1,233701,258948,9580,1,493007,23.3,917928,30.5,12.5,492650,16.4,920680,426719,67.2,299345,47.1,159449,137029,2867,0
Oregon,1642605,38945,49016,1334042,31629,1330289,39696,847034,20.1,844770,25.2,486303,11.5,484848,14.5,760305,834500,47800,0,8764,666624,657706,948,229404,247949,8798,152,229260,246642,8794,152,477505,20.1,844770,25.2,11.3,476054,14.2,847034,397379,51.9,154242,20.1,64786,83217,6172,67
Pennsylvania,5446125,42541,53565,4093668,31977,4086393,40191,2751412,21.5,2746035,27,1341625,10.5,1339770,13.2,2600325,2701900,143900,0,2561,2036197,2054809,101,665815,671147,4594,69,665670,669439,4593,68,1337031,21.5,2746035,27,10.4,1335177,13.1,2751412,1325484,55.4,613735,25.6,319426,292523,1749,37
Puerto Rico,1439770,45082,57797,748875,23449,748451,30045,473335,14.8,473024,19,279724,8.8,279608,11.2,675870,725400,38500,0,2186,321915,424526,248,116124,161393,2200,7,116106,161297,2198,7,277524,14.8,473024,19,8.7,277410,11.1,473335,227795,42,106432,19.6,50239,55785,408,0
Rhode Island,463415,43745,54209,367414,34683,367032,42934,263449,24.9,263185,30.8,108252,10.2,108137,12.6,210015,241500,11900,0,2844,194829,169741,0,59088,46187,2976,1,59085,46075,2976,1,105276,24.9,263185,30.8,9.9,105161,12.3,263449,142331,76.1,35240,18.8,16094,18655,491,0
Republic of Palau,14800,82649,105964,9694,54135,9694,69406,6659,37.2,6659,47.7,3137,17.5,3137,22.5,0,14600,200,0,0,9693,1,0,3124,13,0,0,3124,13,0,0,3137,37.2,6659,47.7,17.5,3137,22.5,6659,1314,43.2,1070,35.2,1062,8,0,0
South Carolina,1935035,37583,47926,1583500,30755,1581839,39178,1017396,19.8,1016161,25.2,574452,11.2,574038,14.2,993135,882900,59000,0,18532,580833,983111,1024,165780,390796,17672,204,165755,390417,17662,204,556780,19.8,1016161,25.2,10.8,556376,13.8,1017396,626975,66.9,379122,40.5,124444,250627,3912,139
South Dakota,457035,51662,68464,360667,40769,359720,53886,232966,26.3,232296,34.8,130331,14.7,130063,19.5,205335,241100,10600,0,2248,182622,175784,13,63333,64802,2192,4,63326,64541,2192,4,128139,26.3,232296,34.8,14.5,127871,19.2,232966,119241,78.5,65286,43,30468,34405,412,1
Tennessee,2718400,39806,51106,1865861,27322,1864925,35061,1201964,17.6,1201159,22.6,639623,9.4,639468,12,1275300,1374200,68900,0,8779,902518,952495,2069,279721,350234,9115,553,279706,350102,9108,552,630508,17.6,1201159,22.6,9.2,630360,11.9,1201964,655878,57.4,360880,31.6,172703,185742,2058,377
Texas,10967665,37825,50785,8261238,28491,8229948,38109,5293079,18.3,5272482,24.4,2776633,9.6,2765828,12.8,5301465,5321500,344700,0,129859,4016005,4115127,247,1348558,1300151,127821,103,1343310,1295092,127324,103,2648992,18.3,5272482,24.4,9.1,2638684,12.2,5293079,2179690,58.4,1248375,33.4,606312,584548,57468,46
Utah,1144940,35713,50332,977728,30497,974976,42860,587893,18.3,585907,25.8,261200,8.1,260695,11.5,528840,585700,30400,0,20075,465829,491824,0,119831,121820,19549,0,119783,121375,19537,0,241651,18.3,585907,25.8,7.5,241158,10.6,587893,242574,66.3,95401,26.1,36006,54703,4692,0
Virginia,3291575,38563,49314,2827745,33129,2822698,42290,1827363,21.4,1823730,27.3,1047507,12.3,1046184,15.7,1564875,1638100,88600,0,59129,1335693,1432648,275,472269,516482,58664,92,472078,515424,58590,92,988843,21.4,1823730,27.3,11.6,987594,14.8,1827363,831686,61.2,433903,31.9,200290,211782,21771,60
Veterans Health,3553105,N/A,N/A,3065623,N/A,3065501,N/A,1916934,N/A,1916862,N/A,1171560,N/A,1171508,N/A,1528605,1952100,72400,0,24415,1655802,1385405,1,598718,548437,24405,0,598701,548404,24403,0,1147155,N/A,1916862,N/A,0,1147105,0,1916934,1233188,0,818063,0,430798,377984,9281,0
Virgin Islands,46500,44421,56950,27189,25973,27072,33156,17902,17.1,17796,21.8,8559,8.2,8549,10.5,27300,18800,400,0,0,11829,15360,0,4266,4288,5,0,4261,4283,5,0,8554,17.1,17796,21.8,8.2,8544,10.5,17902,6842,38.4,3854,21.7,2123,1727,4,0
Vermont,292890,46938,57431,231610,37118,231298,45354,149120,23.9,148922,29.2,77757,12.5,77629,15.2,136890,148700,7300,0,414,119777,111207,212,38515,38697,487,58,38504,38581,486,58,77270,23.9,148922,29.2,12.4,77143,15.1,149120,89540,71.6,32416,25.9,13299,19056,25,36
Washington,3132270,41133,52627,2501778,32854,2498275,41975,1597377,21,1594791,26.8,901869,11.8,900955,15.1,1487070,1560400,84800,0,14637,1239133,1246806,1202,465520,421089,14909,351,465467,420228,14909,351,886960,21,1594791,26.8,11.6,886046,14.9,1597377,813217,67.2,471182,38.9,246263,219140,5518,261
Wisconsin,2233235,38356,49019,2071836,35584,2069116,45417,1323842,22.7,1321862,29,737344,12.7,736612,16.2,1036035,1133800,63400,0,5407,953663,1112590,176,310120,421441,5735,48,310095,420737,5732,48,731609,22.7,1321862,29,12.6,730880,16,1323842,736513,72.4,414537,40.8,187399,226556,556,26
West Virginia,823965,45976,57516,679347,37907,678464,47360,414266,23.1,413666,28.9,258175,14.4,257923,18,352365,450200,21400,0,1317,342309,335721,0,126930,129482,1751,12,126878,129284,1749,12,256424,23.1,413666,28.9,14.3,256174,17.9,414266,217193,59.2,141434,38.5,70304,70614,510,6
Wyoming,270015,46654,60674,206091,35609,205849,46256,125878,21.7,125689,28.2,78002,13.5,77950,17.5,120315,143200,6500,0,1166,106422,98434,69,38791,38080,1120,11,38788,38031,1120,11,76882,21.7,125689,28.2,13.3,76830,17.3,125878,63286,63.8,45894,46.3,22857,22785,245,7
